Vload_(V)	ILoad_(I)	RsLoad (ohm)	SunsVoc_Voltage_(V)	SunsVoc_Current_(A)	Model_Voltage_(V)	Model_Current_(I)	Carrier_Density_(cm-3)	Lifetime_(s)	Inverse_Lifetime_(s-1)
3.26732	5.93522	0.00000	52.0323	0.155949	51.9613	0.155949	10268100000000000	0.000790361	1090.22
2.79303	5.93912	-0.494678	52.6234	-0.152730	52.6906	-0.152730	12173500000000000	0.000889514	878.206
3.19100	5.93947	-0.561689	52.7774	-0.0575108	52.8024	-0.0575108	12722000000000000	0.000944363	790.244
5.32680	5.93397	3.23541	52.7647	0.212847	52.6720	0.212847	12675700000000000	0.000985384	748.113
7.64493	5.93055	3.91876	52.6870	0.543409	52.4491	0.543409	12397100000000000	0.00102280	722.584
10.1338	5.92379	4.29435	52.5841	0.869599	52.2011	0.869599	12036800000000000	0.00105703	705.535
12.1544	5.92436	3.90263	52.4698	1.19159	51.9413	1.19159	11648500000000000	0.00109237	690.198
14.3967	5.91963	3.84174	52.3511	1.49768	51.6821	1.49768	11257600000000000	0.00112853	675.735
16.6800	5.91847	3.50401	52.2306	1.78302	51.4283	1.78302	10873400000000000	0.00116492	662.168
18.9747	5.91731	3.15718	52.1092	2.04665	51.1816	2.04665	10499000000000000	0.00120107	649.610
21.5937	5.91156	2.87460	51.9873	2.29543	50.9394	2.29543	10135100000000000	0.00123868	636.794
24.0676	5.91212	2.44295	51.8643	2.52520	50.7030	2.52520	9779900000000000	0.00127581	625.044
26.4439	5.91091	2.07045	51.7414	2.73550	50.4744	2.73550	9436920000000000	0.00131198	614.374
28.7286	5.90965	1.71488	51.6207	2.92809	50.2550	2.92809	9110850000000000	0.00134777	604.175
31.0696	5.90345	1.45316	51.5006	3.10719	50.0412	3.10719	8796740000000000	0.00138371	594.238
33.4086	5.89497	1.18967	51.3808	3.27778	49.8308	3.27778	8493830000000000	0.00142183	583.556
35.7369	5.87698	0.995671	51.2612	3.43623	49.6251	3.43623	8200830000000000	0.00145983	573.371
36.5107	5.86877	0.932621	51.1406	3.58332	49.4228	3.58332	7914900000000000	0.00149705	563.990
37.2657	5.86037	0.866339	51.0213	3.71534	49.2283	3.71534	7641380000000000	0.00153126	556.126
38.0397	5.84606	0.826528	50.9019	3.83820	49.0372	3.83820	7376220000000000	0.00156473	548.768
38.8169	5.82838	0.789742	50.7832	3.95545	48.8488	3.95545	7120940000000000	0.00160004	540.809
39.5731	5.81084	0.739041	50.6652	4.06685	48.6635	4.06685	6875440000000000	0.00163699	532.407
40.3444	5.78548	0.702701	50.5427	4.17360	48.4746	4.17360	6628590000000000	0.00167385	524.488
41.1172	5.75239	0.670217	50.4224	4.27020	48.2925	4.27020	6394220000000000	0.00170835	517.489
41.8867	5.71192	0.637937	50.3051	4.35953	48.1169	4.35953	6172920000000000	0.00174272	510.562
42.6437	5.65726	0.616272	50.1887	4.44371	47.9443	4.44371	5960410000000000	0.00177770	503.551
