Vload_(V)	ILoad_(I)	RsLoad (ohm)	SunsVoc_Voltage_(V)	SunsVoc_Current_(A)	Model_Voltage_(V)	Model_Current_(I)	Carrier_Density_(cm-3)	Lifetime_(s)	Inverse_Lifetime_(s-1)
6.40803	9.67864	0.00000	38.7594	-0.449464	38.9274	-0.449464	476316000000000	0.0000321608	31093.3
6.70029	9.68983	-0.705282	38.7515	-0.339371	38.8783	-0.339371	473966000000000	0.0000323538	30907.9
9.52626	9.68113	-0.998353	38.6547	0.177076	38.5887	0.177076	446093000000000	0.0000321063	31146.2
12.5098	9.68192	-1.30638	38.5325	0.766009	38.2481	0.766009	413146000000000	0.0000316999	31545.6
15.5304	9.68028	-1.61873	38.4009	1.37154	37.8938	1.37154	380319000000000	0.0000313082	31940.2
18.5378	9.67224	0.418965	38.2633	1.96290	37.5406	1.96290	348703000000000	0.0000309057	32356.3
21.5540	9.65811	0.528872	38.1263	2.50812	37.2069	2.50812	319772000000000	0.0000304965	32790.5
23.0362	9.64937	0.458587	37.9896	3.01105	36.8907	3.01105	293243000000000	0.0000300760	33249.0
24.5726	9.64023	0.373576	37.8532	3.48146	36.5882	3.48146	268932000000000	0.0000296763	33696.8
26.0834	9.63773	0.231781	37.7185	3.90947	36.3041	3.90947	246863000000000	0.0000292619	34174.0
27.5333	9.55924	0.318014	37.5861	4.30239	36.0362	4.30239	226900000000000	0.0000288612	34648.5
29.0248	9.37952	0.351626	37.4549	4.66462	35.7816	4.66462	208684000000000	0.0000284619	35134.7
30.5482	9.13977	0.311288	37.3263	5.00001	35.5402	5.00001	192234000000000	0.0000280977	35590.0
31.9599	8.52752	0.327137	37.1998	5.30829	35.3114	5.30829	177299000000000	0.0000277428	36045.3
33.3521	7.60266	0.323824	37.0747	5.59267	35.0934	5.59267	163661000000000	0.0000273912	36508.1
34.8549	6.18478	0.308093	36.9485	5.86052	34.8809	5.86052	150949000000000	0.0000270359	36987.8
36.1004	4.56537	0.300623	36.8260	6.10521	34.6808	6.10521	139547000000000	0.0000267052	37445.9
37.2823	2.68109	0.305403	36.7063	6.32784	34.4917	6.32784	129227000000000	0.0000263734	37916.9
30.5690	9.11523	0.318625	36.5874	6.53633	34.3089	6.53633	119722000000000	0.0000260546	38381.0
38.6564	0.00000	0.00000	36.4700	6.73011	34.1332	6.73011	111019000000000	0.0000257484	38837.3
0.00000	0.00000	0.00000	36.3530	6.91167	33.9626	6.91167	102975000000000	0.0000254499	39292.9
0.00000	0.00000	0.00000	36.2389	7.08069	33.7994	7.08069	95679800000000	0.0000251855	39705.4
0.00000	0.00000	0.00000	36.1262	7.23592	33.6428	7.23592	88983400000000	0.0000249113	40142.4
0.00000	0.00000	0.00000	36.0148	7.37978	33.4916	7.37978	82823200000000	0.0000246377	40588.2
0.00000	0.00000	0.00000	35.9055	7.51232	33.3466	7.51232	77189300000000	0.0000243666	41039.7
0.00000	0.00000	0.00000	35.7975	7.63705	33.2057	7.63705	71994700000000	0.0000241153	41467.4
0.00000	0.00000	0.00000	35.6897	7.75472	33.0677	7.75472	67156400000000	0.0000238705	41892.8
0.00000	0.00000	0.00000	35.5821	7.86550	32.9325	7.86550	62651500000000	0.0000236298	42319.4
0.00000	0.00000	0.00000	35.4726	7.97048	32.7979	7.97048	58377200000000	0.0000233709	42788.2
0.00000	0.00000	0.00000	35.3627	8.06877	32.6654	8.06877	54378900000000	0.0000230994	43291.1
0.00000	0.00000	0.00000	35.2621	8.15550	32.5453	8.15550	50956200000000	0.0000228780	43710.0
