Vload_(V)	ILoad_(I)	RsLoad (ohm)	SunsVoc_Voltage_(V)	SunsVoc_Current_(A)	Model_Voltage_(V)	Model_Current_(I)	Carrier_Density_(cm-3)	Lifetime_(s)	Inverse_Lifetime_(s-1)
2.98358	6.27158	0.00000	65.1699	-0.576252	65.3513	-0.576252	3981090000000000	0.000244047	4071.26
2.99875	6.27441	-0.502478	65.1878	-0.465139	65.3338	-0.465139	3997920000000000	0.000249121	3987.58
5.24460	6.27517	-0.860226	65.0238	0.0216983	65.0168	0.0216983	3845920000000000	0.000258317	3846.65
8.09616	6.27132	-0.887817	64.8324	0.481649	64.6731	0.481649	3674940000000000	0.000266441	3730.76
11.2133	6.26363	4.15759	64.6471	0.888315	64.3457	0.888315	3515810000000000	0.000274160	3626.98
13.8269	6.26539	3.02885	64.4661	1.26059	64.0277	1.26059	3366210000000000	0.000281996	3527.34
16.6484	6.26152	3.96944	64.2844	1.60880	63.7112	1.60880	3221620000000000	0.000290037	3430.60
19.5336	6.25622	4.31760	64.1032	1.93289	63.3982	1.93289	3082850000000000	0.000298276	3336.82
22.4284	6.25575	3.89287	63.9224	2.23301	63.0891	2.23301	2949560000000000	0.000306587	3247.28
25.7234	6.18193	4.53592	63.7429	2.50575	62.7869	2.50575	2822200000000000	0.000314595	3165.47
28.7389	6.18059	4.05625	63.5673	2.76041	62.4915	2.76041	2702210000000000	0.000323066	3083.22
31.6386	6.18331	3.57129	63.3922	2.99228	62.2016	2.99228	2586960000000000	0.000331156	3008.61
34.5879	6.18124	3.10608	63.2242	3.20138	61.9252	3.20138	2480290000000000	0.000339125	2938.55
37.4850	6.17898	2.65038	63.0556	3.39707	61.6505	3.39707	2377130000000000	0.000347147	2871.25
40.3555	6.17312	2.21618	62.8896	3.57642	61.3826	3.57642	2279080000000000	0.000354977	2808.46
43.0252	6.21372	1.51442	62.7278	3.74687	61.1206	3.74687	2186840000000000	0.000363606	2742.29
45.9088	6.19643	1.18326	62.5638	3.90201	60.8602	3.90201	2096640000000000	0.000371431	2684.99
46.8500	6.18473	1.10297	62.4052	4.04700	60.6084	4.04700	2012410000000000	0.000379744	2626.63
47.7970	6.17598	0.996593	62.2420	4.18181	60.3535	4.18181	1928720000000000	0.000387432	2574.93
