Vload_(V)	ILoad_(I)	RsLoad (ohm)	SunsVoc_Voltage_(V)	SunsVoc_Current_(A)	Model_Voltage_(V)	Model_Current_(I)	Carrier_Density_(cm-3)	Lifetime_(s)	Inverse_Lifetime_(s-1)
3.04076	6.28248	0.00000	65.1267	-0.429331	65.2686	-0.429331	3940670000000000	0.000246465	4031.59
3.07658	6.29056	-0.543697	65.6921	-0.564016	65.8644	-0.564016	4499340000000000	0.000275870	3591.29
5.73418	6.28677	-0.970460	65.6213	-0.251719	65.6990	-0.251719	4425780000000000	0.000284329	3484.53
8.57186	6.29103	-1.41671	65.4598	0.168977	65.4065	0.168977	4261890000000000	0.000292642	3386.99
11.3756	6.28526	-1.86974	65.2785	0.597461	65.0850	0.597461	4084330000000000	0.000301588	3288.09
14.1297	6.28623	-2.30662	65.0924	0.988918	64.7639	0.988918	3908890000000000	0.000309977	3200.68
16.9160	6.28155	0.620592	64.9101	1.35255	64.4497	1.35255	3743500000000000	0.000318758	3113.91
19.8004	6.28027	1.65776	64.7298	1.69053	64.1409	1.69053	3586100000000000	0.000327831	3029.00
22.7015	6.27933	1.79530	64.5474	2.00767	63.8316	2.00767	3432710000000000	0.000337089	2947.01
25.9645	6.23130	4.24938	64.3636	2.30200	63.5240	2.30200	3283970000000000	0.000346329	2869.53
28.9810	6.23095	3.76884	64.1840	2.56890	63.2264	2.56890	3144060000000000	0.000355404	2797.29
31.8814	6.22845	3.32668	64.0062	2.81523	62.9345	2.81523	3010720000000000	0.000364510	2728.36
34.7907	6.23012	2.84485	63.8286	3.04156	62.6465	3.04156	2882380000000000	0.000373343	2664.71
37.6958	6.22679	2.40769	63.6544	3.25280	62.3650	3.25280	2761160000000000	0.000382578	2601.19
40.6000	6.22076	1.99110	63.4781	3.44937	62.0836	3.44937	2642920000000000	0.000391603	2542.01
43.3352	6.24709	1.27621	63.3087	3.62888	61.8142	3.62888	2533450000000000	0.000400776	2484.50
46.2020	6.22433	1.06183	63.1373	3.79641	61.5447	3.79641	2426630000000000	0.000409745	2430.77
47.1381	6.21513	0.982736	62.9691	3.95122	61.2819	3.95122	2325590000000000	0.000418761	2379.02
48.0562	6.19690	0.948906	62.8015	4.09626	61.0217	4.09626	2228450000000000	0.000427892	2328.79
48.9916	6.17572	0.902578	62.6333	4.23278	60.7624	4.23278	2134460000000000	0.000437142	2280.03
49.9416	6.15422	0.834895	62.4690	4.35770	60.5110	4.35770	2045940000000000	0.000446205	2234.17
50.8768	6.12097	0.791487	62.3070	4.47116	60.2657	4.47116	1961680000000000	0.000454627	2193.22
51.8213	6.07960	0.744997	62.1484	4.57878	60.0255	4.57878	1882050000000000	0.000463727	2150.56
52.7638	6.02378	0.707470	61.9859	4.67794	59.7831	4.67794	1803270000000000	0.000471774	2114.26
53.7122	5.95103	0.670923	61.8279	4.77100	59.5476	4.77100	1729350000000000	0.000480290	2077.11
54.6330	5.86311	0.633328	61.6707	4.85849	59.3145	4.85849	1658350000000000	0.000488868	2040.98
55.5665	5.74671	0.599693	61.5164	4.93912	59.0870	4.93912	1591000000000000	0.000497166	2007.20
56.4740	5.60133	0.569216	61.3601	5.01360	58.8592	5.01360	1525180000000000	0.000504572	1978.02
57.3919	5.40927	0.544495	61.2079	5.08284	58.6379	5.08284	1463250000000000	0.000512026	1949.47
58.3008	5.17069	0.518716	61.0577	5.14882	58.4198	5.14882	1404170000000000	0.000519949	1919.99
59.1752	4.88036	0.497331	60.9044	5.21113	58.1989	5.21113	1345980000000000	0.000527388	1893.13
60.0564	4.51742	0.476436	60.7510	5.26818	57.9798	5.26818	1289740000000000	0.000533777	1870.68
60.9138	4.08346	0.459098	60.6025	5.32281	57.7673	5.32281	1237190000000000	0.000541179	1845.28
61.7492	3.57742	0.441981	60.4576	5.37514	57.5597	5.37514	1187610000000000	0.000549448	1817.67
62.5309	3.01703	0.426413	60.3095	5.42408	57.3494	5.42408	1138680000000000	0.000556848	1793.67
63.2800	2.39799	0.430045	60.1590	5.46916	57.1376	5.46916	1090650000000000	0.000562924	1774.46
63.9762	1.74672	0.430872	60.0171	5.51090	56.9377	5.51090	1046940000000000	0.000569594	1753.82
54.1976	5.90994	0.647797	59.8765	5.54988	56.7404	5.54988	1005030000000000	0.000575882	1734.79
65.4173	0.00000	0.00000	59.7366	5.58691	56.5448	5.58691	964758000000000	0.000582237	1715.97
0.00000	0.00000	0.00000	59.5964	5.62170	56.3495	5.62170	925729000000000	0.000588101	1698.97
0.00000	0.00000	0.00000	59.4591	5.65469	56.1585	5.65469	888809000000000	0.000594317	1681.29
0.00000	0.00000	0.00000	59.3192	5.68594	55.9648	5.68594	852441000000000	0.000599862	1665.85
0.00000	0.00000	0.00000	59.1827	5.71551	55.7761	5.71551	818165000000000	0.000605760	1649.71
0.00000	0.00000	0.00000	59.0421	5.74334	55.5828	5.74334	784050000000000	0.000610467	1637.07
0.00000	0.00000	0.00000	58.9085	5.76914	55.3993	5.76914	752755000000000	0.000615567	1623.58
0.00000	0.00000	0.00000	58.7714	5.79407	55.2115	5.79407	721719000000000	0.000620305	1611.24
0.00000	0.00000	0.00000	58.6407	5.81732	55.0326	5.81732	693146000000000	0.000625531	1597.84
0.00000	0.00000	0.00000	58.5056	5.83931	54.8486	5.83931	664601000000000	0.000629530	1587.75
0.00000	0.00000	0.00000	58.3749	5.86040	54.6706	5.86040	637942000000000	0.000634462	1575.46
0.00000	0.00000	0.00000	58.2423	5.88079	54.4903	5.88079	611823000000000	0.000639375	1563.41
0.00000	0.00000	0.00000	58.1105	5.89989	54.3116	5.89989	586748000000000	0.000643776	1552.76
0.00000	0.00000	0.00000	57.9793	5.91736	54.1344	5.91736	562649000000000	0.000646871	1545.38
0.00000	0.00000	0.00000	57.8512	5.93394	53.9617	5.93394	539947000000000	0.000650319	1537.22
0.00000	0.00000	0.00000	57.7265	5.94979	53.7935	5.94979	518598000000000	0.000654346	1527.80
0.00000	0.00000	0.00000	57.5981	5.96498	53.6209	5.96498	497366000000000	0.000657584	1520.31
0.00000	0.00000	0.00000	57.4731	5.97922	53.4530	5.97922	477412000000000	0.000660833	1512.86
0.00000	0.00000	0.00000	57.3477	5.99226	53.2853	5.99226	458084000000000	0.000662573	1508.92
0.00000	0.00000	0.00000	57.2281	6.00487	53.1251	6.00487	440278000000000	0.000665754	1501.73
0.00000	0.00000	0.00000	57.1045	6.01709	52.9599	6.01709	422499000000000	0.000668275	1496.09
0.00000	0.00000	0.00000	56.9819	6.02860	52.7963	6.02860	405488000000000	0.000670445	1491.27
0.00000	0.00000	0.00000	56.8629	6.03910	52.6380	6.03910	389549000000000	0.000671894	1488.08
0.00000	0.00000	0.00000	56.7429	6.04902	52.4787	6.04902	374022000000000	0.000672522	1486.71
0.00000	0.00000	0.00000	56.6198	6.05922	52.3150	6.05922	358655000000000	0.000674342	1482.71
0.00000	0.00000	0.00000	56.5027	6.06917	52.1591	6.06917	344552000000000	0.000678053	1474.61
0.00000	0.00000	0.00000	56.3848	6.07723	52.0035	6.07723	330847000000000	0.000676657	1477.67
0.00000	0.00000	0.00000	56.2714	6.08630	51.8527	6.08630	318118000000000	0.000680700	1468.91
0.00000	0.00000	0.00000	56.1517	6.09394	51.6950	6.09394	305157000000000	0.000679438	1471.65
0.00000	0.00000	0.00000	56.0393	6.10185	51.5461	6.10185	293405000000000	0.000681851	1466.45
0.00000	0.00000	0.00000	55.9258	6.10874	51.3967	6.10874	281955000000000	0.000681237	1467.79
0.00000	0.00000	0.00000	55.8111	6.11601	51.2452	6.11601	270775000000000	0.000682789	1464.46
0.00000	0.00000	0.00000	55.7010	6.12257	51.1001	6.12257	260424000000000	0.000683633	1462.66
0.00000	0.00000	0.00000	55.5860	6.12928	50.9487	6.12928	249998000000000	0.000684990	1459.77
0.00000	0.00000	0.00000	55.4745	6.13438	50.8027	6.13438	240236000000000	0.000680942	1468.46
0.00000	0.00000	0.00000	55.3683	6.14103	50.6624	6.14103	231264000000000	0.000686312	1456.97
0.00000	0.00000	0.00000	55.2569	6.14583	50.5167	6.14583	222174000000000	0.000682485	1465.15
0.00000	0.00000	0.00000	55.1487	6.15149	50.3744	6.15149	213659000000000	0.000684683	1460.45
0.00000	0.00000	0.00000	55.0371	6.15707	50.2278	6.15707	205185000000000	0.000686812	1455.93
0.00000	0.00000	0.00000	54.9282	6.16056	50.0863	6.16056	197214000000000	0.000679001	1472.69
0.00000	0.00000	0.00000	54.8232	6.16597	49.9481	6.16597	189793000000000	0.000683816	1462.32
