Vload_(V)	ILoad_(I)	RsLoad (ohm)	SunsVoc_Voltage_(V)	SunsVoc_Current_(A)	Model_Voltage_(V)	Model_Current_(I)	Carrier_Density_(cm-3)	Lifetime_(s)	Inverse_Lifetime_(s-1)
3.12812	6.29220	0.00000	64.9486	-0.247972	65.0271	-0.247972	3777950000000000	0.000242489	4100.20
3.13329	6.29575	-0.522834	65.6068	-0.437419	65.7314	-0.437419	4410810000000000	0.000275140	3602.22
5.68160	6.29267	-0.930246	65.5483	-0.147733	65.5908	-0.147733	4350980000000000	0.000283616	3494.47
8.41343	6.28978	3.39842	65.3837	0.285360	65.2994	0.285360	4186500000000000	0.000292571	3388.88
11.3706	6.28725	4.25481	65.2023	0.696112	64.9904	0.696112	4011620000000000	0.000300926	3296.36
14.1291	6.28804	3.46978	65.0201	1.08123	64.6815	1.08123	3842580000000000	0.000309550	3205.99
16.9527	6.28535	3.93970	64.8375	1.44171	64.3731	1.44171	3679380000000000	0.000318430	3117.93
19.8266	6.28376	3.79660	64.6571	1.77344	64.0704	1.77344	3524220000000000	0.000327393	3033.82
22.7277	6.28413	3.26889	64.4738	2.08214	63.7664	2.08214	3372420000000000	0.000336262	2954.99
25.6625	6.28185	3.17207	64.2950	2.36349	63.4716	2.36349	3229920000000000	0.000345118	2880.25
28.8047	6.24736	3.71321	64.1207	2.61751	63.1866	2.61751	3095980000000000	0.000353674	2811.55
31.7094	6.24179	3.30732	63.9435	2.85625	62.8997	2.85625	2964860000000000	0.000362229	2746.09
34.6261	6.24191	2.83871	63.7727	3.07686	62.6228	3.07686	2843000000000000	0.000371171	2680.76
37.5107	6.23817	2.41172	63.5971	3.28342	62.3419	3.28342	2722210000000000	0.000379801	2620.66
40.4089	6.23507	1.97395	63.4279	3.47287	62.0719	3.47287	2610110000000000	0.000388632	2561.82
43.1951	6.24779	1.40464	63.2568	3.65402	61.7997	3.65402	2500730000000000	0.000397913	2502.73
46.0807	6.22830	1.11829	63.0891	3.81919	61.5350	3.81919	2397310000000000	0.000406933	2447.87
47.0079	6.21487	1.05993	62.9243	3.96932	61.2774	3.96932	2299290000000000	0.000415521	2397.84
47.9325	6.19989	0.995263	62.7591	4.10887	61.0213	4.10887	2204450000000000	0.000423844	2351.29
48.8756	6.18232	0.925771	62.6031	4.23813	60.7786	4.23813	2117990000000000	0.000432846	2302.84
49.7982	6.15823	0.868902	62.4417	4.35974	60.5307	4.35974	2031520000000000	0.000441302	2259.17
50.7642	6.12637	0.812437	62.2817	4.47487	60.2854	4.47487	1948760000000000	0.000450143	2215.21
