Vload_(V)	ILoad_(I)	RsLoad (ohm)	SunsVoc_Voltage_(V)	SunsVoc_Current_(A)	Model_Voltage_(V)	Model_Current_(I)	Carrier_Density_(cm-3)	Lifetime_(s)	Inverse_Lifetime_(s-1)
3.24670	6.02623	0.00000	51.8891	-0.736285	52.2422	-0.736285	9850720000000000	0.000647990	1382.15
2.92445	6.02744	-0.497859	52.3824	-0.948055	52.8296	-0.948055	11359500000000000	0.000724548	1165.97
3.55450	6.02868	-0.603446	52.4936	-0.785031	52.8624	-0.785031	11728200000000000	0.000765972	1077.19
5.79165	6.02364	3.65197	52.4621	-0.459781	52.6784	-0.459781	11622900000000000	0.000797158	1030.20
8.40104	6.01700	4.26672	52.3765	-0.0903782	52.4191	-0.0903782	11340100000000000	0.000824737	999.034
10.7493	6.00278	4.50845	52.2707	0.283820	52.1363	0.283820	11000000000000000	0.000852128	972.675
12.8161	5.97540	4.60936	52.1555	0.637765	51.8524	0.637765	10640400000000000	0.000878417	950.469
15.0254	5.97904	4.19777	52.0373	0.971269	51.5738	0.971269	10283000000000000	0.000904922	929.539
17.2736	5.97424	3.87501	51.9178	1.28320	51.3030	1.28320	9932940000000000	0.000931600	909.641
19.5558	5.97646	3.46948	51.7969	1.57605	51.0387	1.57605	9590400000000000	0.000958666	890.437
21.8556	5.97422	3.10826	51.6769	1.84716	50.7847	1.84716	9261180000000000	0.000985813	872.013
24.3696	5.97272	2.70215	51.5574	2.09537	50.5413	2.09537	8944030000000000	0.00101217	855.183
26.7044	5.97342	2.30504	51.4386	2.32538	50.3065	2.32538	8638830000000000	0.00103839	839.142
29.0525	5.96918	1.95187	51.3211	2.54260	50.0784	2.54260	8346220000000000	0.00106578	822.649
31.3798	5.96794	1.57341	51.2026	2.74529	49.8557	2.74529	8060860000000000	0.00109293	807.112
33.7065	5.96535	1.20624	51.0848	2.93142	49.6410	2.93142	7785860000000000	0.00111913	792.921
36.0106	5.95324	0.915138	50.9671	3.10388	49.4324	3.10388	7519740000000000	0.00114467	779.751
36.7777	5.94681	0.829688	50.8497	3.26492	49.2292	3.26492	7262870000000000	0.00117004	767.106
37.5356	5.93819	0.756038	50.7335	3.41844	49.0304	3.41844	7016520000000000	0.00119690	753.769
38.2995	5.92422	0.703708	50.6151	3.56418	48.8326	3.56418	6773370000000000	0.00122382	740.957
39.0621	5.90145	0.678507	50.4958	3.70062	48.6380	3.70062	6536360000000000	0.00125028	728.898
39.8094	5.87237	0.660094	50.3779	3.82662	48.4496	3.82662	6309500000000000	0.00127602	717.604
40.5906	5.84057	0.623884	50.2629	3.94224	48.2690	3.94224	6095100000000000	0.00130105	706.941
41.3417	5.79586	0.605538	50.1479	4.05116	48.0915	4.05116	5887490000000000	0.00132604	696.585
42.0941	5.73822	0.588587	50.0334	4.15539	47.9164	4.15539	5687090000000000	0.00135226	685.813
42.8523	5.66434	0.571816	49.9171	4.25414	47.7418	4.25414	5489790000000000	0.00137810	675.610
43.5917	5.56652	0.562154	49.8031	4.34614	47.5728	4.34614	5302580000000000	0.00140399	665.582
44.3449	5.44060	0.550264	49.6895	4.43144	47.4073	4.43144	5121610000000000	0.00142860	656.442
45.0737	5.27884	0.543137	49.5760	4.51116	47.2446	4.51116	4946540000000000	0.00145237	647.911
45.7940	5.07782	0.533845	49.4636	4.58559	47.0854	4.58559	4778330000000000	0.00147547	639.849
46.5181	4.82173	0.525772	49.3520	4.65628	46.9287	4.65628	4616370000000000	0.00149901	631.731
47.2162	4.51139	0.519818	49.2403	4.72337	46.7737	4.72337	4459370000000000	0.00152260	623.761
47.9098	4.13934	0.514200	49.1280	4.78675	46.6195	4.78675	4306090000000000	0.00154544	616.286
48.5611	3.72693	0.507871	49.0165	4.84554	46.4686	4.84554	4158800000000000	0.00156690	609.492
49.2083	3.25401	0.502043	48.9058	4.90117	46.3199	4.90117	4016740000000000	0.00158820	602.860
49.8254	2.73668	0.497776	48.7954	4.95423	46.1727	4.95423	3879570000000000	0.00160989	596.175
50.4015	2.20304	0.500249	48.6860	5.00431	46.0279	5.00431	3747560000000000	0.00163133	589.683
50.9512	1.64916	0.510068	48.5756	5.05134	45.8836	5.05134	3618470000000000	0.00165111	583.919
51.4454	1.11691	0.497879	48.4676	5.09650	45.7428	5.09650	3495980000000000	0.00167271	577.545
51.8852	0.614506	0.433243	48.3583	5.13907	45.6016	5.13907	3375650000000000	0.00169263	571.880
52.2241	0.226159	0.0515985	48.2497	5.17853	45.4627	5.17853	3259650000000000	0.00171056	566.965
52.4086	0.0379211	-3.74091	48.1413	5.21636	45.3249	5.21636	3147420000000000	0.00172882	561.983
42.9910	5.64720	0.570926	48.0323	5.25257	45.1871	5.25257	3037920000000000	0.00174677	557.166
52.2864	0.00000	0.00000	47.9238	5.28681	45.0509	5.28681	2932260000000000	0.00176408	552.596
0.00000	0.00000	0.00000	47.8154	5.31914	44.9156	5.31914	2829830000000000	0.00178031	548.407
0.00000	0.00000	0.00000	47.7075	5.34964	44.7819	5.34964	2731000000000000	0.00179558	544.542
0.00000	0.00000	0.00000	47.6003	5.37840	44.6496	5.37840	2635690000000000	0.00180984	541.003
0.00000	0.00000	0.00000	47.4932	5.40607	44.5181	5.40607	2543380000000000	0.00182437	537.395
0.00000	0.00000	0.00000	47.3853	5.43258	44.3861	5.43258	2453120000000000	0.00183822	534.015
0.00000	0.00000	0.00000	47.2775	5.45680	44.2555	5.45680	2365790000000000	0.00184818	531.782
0.00000	0.00000	0.00000	47.1700	5.47986	44.1257	5.47986	2281250000000000	0.00185737	529.756
0.00000	0.00000	0.00000	47.0623	5.50251	43.9958	5.50251	2199150000000000	0.00186794	527.320
0.00000	0.00000	0.00000	46.9553	5.52394	43.8674	5.52394	2120120000000000	0.00187764	525.123
0.00000	0.00000	0.00000	46.8455	5.54524	43.7359	5.54524	2041520000000000	0.00188809	522.716
0.00000	0.00000	0.00000	46.7377	5.56487	43.6074	5.56487	1966740000000000	0.00189635	520.908
0.00000	0.00000	0.00000	46.6289	5.58378	43.4782	5.58378	1893640000000000	0.00190388	519.292
0.00000	0.00000	0.00000	46.5224	5.60119	43.3524	5.60119	1824320000000000	0.00190935	518.215
0.00000	0.00000	0.00000	46.4160	5.61823	43.2267	5.61823	1757170000000000	0.00191584	516.839
0.00000	0.00000	0.00000	46.3090	5.63465	43.1006	5.63465	1691720000000000	0.00192184	515.584
0.00000	0.00000	0.00000	46.2014	5.65008	42.9745	5.65008	1628020000000000	0.00192535	514.986
0.00000	0.00000	0.00000	46.0947	5.66467	42.8497	5.66467	1566820000000000	0.00192774	514.668
0.00000	0.00000	0.00000	45.9887	5.67915	42.7257	5.67915	1507940000000000	0.00193267	513.644
0.00000	0.00000	0.00000	45.8826	5.69220	42.6024	5.69220	1450830000000000	0.00193212	514.072
0.00000	0.00000	0.00000	45.7764	5.70526	42.4789	5.70526	1395510000000000	0.00193411	513.800
0.00000	0.00000	0.00000	45.6706	5.71644	42.3569	5.71644	1342150000000000	0.00192724	515.885
0.00000	0.00000	0.00000	45.5652	5.72844	42.2349	5.72844	1290690000000000	0.00192807	515.889
0.00000	0.00000	0.00000	45.4588	5.73955	42.1121	5.73955	1240380000000000	0.00192476	516.992
0.00000	0.00000	0.00000	45.3524	5.75099	41.9893	5.75099	1191750000000000	0.00192612	516.820
0.00000	0.00000	0.00000	45.2440	5.76136	41.8647	5.76136	1143820000000000	0.00192102	518.385
0.00000	0.00000	0.00000	45.1369	5.77140	41.7418	5.77140	1098030000000000	0.00191675	519.715
0.00000	0.00000	0.00000	45.0301	5.78140	41.6192	5.78140	1053940000000000	0.00191499	520.352
0.00000	0.00000	0.00000	44.9227	5.79047	41.4965	5.79047	1011060000000000	0.00190774	522.483
0.00000	0.00000	0.00000	44.8162	5.79917	41.3749	5.79917	969979000000000	0.00190033	524.662
0.00000	0.00000	0.00000	44.7105	5.80748	41.2543	5.80748	930564000000000	0.00189234	527.010
0.00000	0.00000	0.00000	44.6033	5.81535	41.1324	5.81535	891984000000000	0.00188158	530.147
0.00000	0.00000	0.00000	44.4973	5.82325	41.0118	5.82325	855133000000000	0.00187408	532.382
0.00000	0.00000	0.00000	44.3902	5.83032	40.8904	5.83032	819216000000000	0.00186015	536.476
0.00000	0.00000	0.00000	44.2827	5.83799	40.7682	5.83799	784414000000000	0.00185375	538.425
0.00000	0.00000	0.00000	44.1753	5.84459	40.6467	5.84459	750877000000000	0.00183889	542.869
0.00000	0.00000	0.00000	44.0677	5.85144	40.5248	5.85144	718516000000000	0.00182867	545.989
0.00000	0.00000	0.00000	43.9605	5.85804	40.4035	5.85804	687427000000000	0.00181820	549.211
0.00000	0.00000	0.00000	43.8534	5.86320	40.2832	5.86320	657504000000000	0.00179403	556.685
0.00000	0.00000	0.00000	43.7467	5.86982	40.1624	5.86982	628786000000000	0.00178837	558.512
0.00000	0.00000	0.00000	43.6392	5.87509	40.0415	5.87509	600930000000000	0.00176866	564.799
0.00000	0.00000	0.00000	43.5310	5.88026	39.9199	5.88026	573930000000000	0.00174904	571.196
0.00000	0.00000	0.00000	43.4229	5.88599	39.7981	5.88599	548021000000000	0.00173833	574.765
0.00000	0.00000	0.00000	43.3140	5.89045	39.6761	5.89045	522902000000000	0.00171310	583.285
0.00000	0.00000	0.00000	43.2059	5.89510	39.5549	5.89510	498954000000000	0.00169264	590.379
0.00000	0.00000	0.00000	43.0925	5.90094	39.4271	5.90094	474843000000000	0.00168598	592.753
0.00000	0.00000	0.00000	42.9831	5.90522	39.3046	5.90522	452516000000000	0.00166347	600.813
0.00000	0.00000	0.00000	42.8717	5.90913	39.1801	5.90913	430725000000000	0.00163631	610.824
0.00000	0.00000	0.00000	42.7630	5.91400	39.0580	5.91400	410339000000000	0.00162641	614.572
0.00000	0.00000	0.00000	42.6534	5.91841	38.9353	5.91841	390636000000000	0.00161177	620.183
0.00000	0.00000	0.00000	42.5442	5.92174	38.8136	5.92174	371836000000000	0.00158297	631.493
0.00000	0.00000	0.00000	42.4327	5.92512	38.6894	5.92512	353445000000000	0.00155509	642.842
0.00000	0.00000	0.00000	42.3228	5.92893	38.5665	5.92893	336091000000000	0.00153658	650.608
0.00000	0.00000	0.00000	42.2124	5.93301	38.4430	5.93301	319425000000000	0.00152432	655.862
0.00000	0.00000	0.00000	42.1026	5.93632	38.3206	5.93632	303568000000000	0.00150195	665.648
0.00000	0.00000	0.00000	41.9914	5.93897	38.1971	5.93897	288237000000000	0.00146939	680.419
0.00000	0.00000	0.00000	41.8813	5.94185	38.0746	5.94185	273724000000000	0.00144308	692.840
0.00000	0.00000	0.00000	41.7706	5.94559	37.9509	5.94559	259795000000000	0.00143311	697.669
0.00000	0.00000	0.00000	41.6593	5.94868	37.8270	5.94868	246429000000000	0.00141359	707.317
0.00000	0.00000	0.00000	41.5475	5.95168	37.7026	5.95168	233634000000000	0.00139408	717.231
0.00000	0.00000	0.00000	41.4349	5.95385	37.5778	5.95385	221349000000000	0.00136041	734.990
