Vload_(V)	ILoad_(I)	RsLoad (ohm)	SunsVoc_Voltage_(V)	SunsVoc_Current_(A)	Model_Voltage_(V)	Model_Current_(I)	Carrier_Density_(cm-3)	Lifetime_(s)	Inverse_Lifetime_(s-1)
3.23959	6.40145	0.00000	65.5008	-1.18388	65.8761	-1.18388	4302950000000000	0.000238132	4168.62
3.18143	6.40033	2.59524	66.0303	-1.31748	66.4149	-1.31748	4866130000000000	0.000264637	3739.45
5.44566	6.39569	5.35513	65.9709	-0.993020	66.2636	-0.993020	4799860000000000	0.000272487	3631.65
8.64420	6.38268	6.32689	65.8223	-0.580382	65.9974	-0.580382	4637490000000000	0.000278829	3550.73
11.5071	6.36602	6.24920	65.6774	-0.205282	65.7407	-0.205282	4483900000000000	0.000284901	3476.61
14.2073	6.36476	5.84355	65.5149	0.210623	65.4482	0.210623	4317110000000000	0.000292731	3385.16
17.0046	6.35996	5.46901	65.3459	0.609073	65.1483	0.609073	4149520000000000	0.000300722	3296.75
19.8449	6.36117	5.00630	65.1752	0.975418	64.8509	0.975418	3986090000000000	0.000308382	3216.35
22.7029	6.35542	4.62802	65.0073	1.32138	64.5575	1.32138	3830890000000000	0.000316559	3134.61
25.6898	6.35223	4.19110	64.8383	1.64689	64.2645	1.64689	3680100000000000	0.000324918	3055.22
29.2538	6.25103	4.20017	64.6676	1.94989	63.9725	1.94989	3533090000000000	0.000333171	2980.74
32.1738	6.24614	3.75007	64.4971	2.23573	63.6820	2.23573	3391380000000000	0.000341751	2907.01
35.0869	6.24351	3.29276	64.3268	2.50197	63.3945	2.50197	3254870000000000	0.000350389	2836.38
37.9781	6.23831	2.84647	64.1604	2.74782	63.1149	2.74782	3126110000000000	0.000359173	2767.95
40.8421	6.23303	2.40338	63.9913	2.97748	62.8346	2.97748	2999780000000000	0.000367777	2704.10
43.3169	6.32726	1.61108	63.8247	3.18564	62.5619	3.18564	2879620000000000	0.000375898	2646.53
46.1430	6.31222	1.25109	63.6648	3.37532	62.3013	3.37532	2768270000000000	0.000384013	2591.36
47.1124	6.30734	1.12194	63.5084	3.54961	62.0482	3.54961	2662910000000000	0.000391974	2539.42
48.0294	6.29000	1.05586	63.3530	3.71349	61.7981	3.71349	2561690000000000	0.000400063	2488.71
48.9590	6.27263	0.975406	63.1993	3.86865	61.5513	3.86865	2464840000000000	0.000408518	2437.79
49.8903	6.24921	0.904119	63.0449	4.01422	61.3055	4.01422	2370660000000000	0.000416869	2389.51
50.8288	6.21884	0.839003	62.8900	4.14997	61.0614	4.14997	2279330000000000	0.000424974	2344.46
51.7791	6.17566	0.786044	62.7396	4.27626	60.8248	4.27626	2193470000000000	0.000433269	2300.05
52.7184	6.11973	0.740323	62.5897	4.39477	60.5907	4.39477	2110680000000000	0.000441538	2257.42
53.6529	6.05257	0.691864	62.4395	4.50583	60.3579	4.50583	2030370000000000	0.000449622	2217.25
54.5726	5.96528	0.650641	62.2906	4.60918	60.1288	4.60918	1953290000000000	0.000457496	2179.48
55.5046	5.84852	0.614731	62.1442	4.70531	59.9047	4.70531	1879940000000000	0.000465273	2143.41
56.4166	5.69877	0.585166	61.9979	4.79541	59.6823	4.79541	1808980000000000	0.000472825	2109.52
57.3168	5.50961	0.558758	61.8540	4.88066	59.4640	4.88066	1741390000000000	0.000480673	2075.38
58.2177	5.27660	0.532316	61.7074	4.96158	59.2433	4.96158	1674700000000000	0.000488244	2043.50
59.1209	4.97674	0.510071	61.5634	5.03614	59.0280	5.03614	1611290000000000	0.000495413	2014.21
59.9873	4.62157	0.489866	61.4205	5.10572	58.8155	5.10572	1550360000000000	0.000502274	1986.96
60.8429	4.19418	0.470045	61.2830	5.17182	58.6106	5.17182	1493530000000000	0.000509875	1957.56
61.6757	3.68766	0.456374	61.1433	5.23383	58.4042	5.23383	1437580000000000	0.000516840	1931.41
62.4871	3.11545	0.439869	60.9976	5.29178	58.1916	5.29178	1381110000000000	0.000522466	1910.83
63.2389	2.49716	0.426352	60.8618	5.34565	57.9929	5.34565	1330160000000000	0.000528863	1887.91
63.9480	1.83716	0.434825	60.7269	5.39744	57.7958	5.39744	1281090000000000	0.000535632	1864.23
54.1428	6.00683	0.671791	60.5942	5.44686	57.6020	5.44686	1234310000000000	0.000542784	1839.82
65.6242	0.00000	0.00000	60.4506	5.49445	57.3949	5.49445	1185280000000000	0.000548579	1820.56
0.00000	0.00000	0.00000	60.3179	5.53964	57.2023	5.53964	1141410000000000	0.000555973	1796.49
0.00000	0.00000	0.00000	60.1845	5.58068	57.0106	5.58068	1098680000000000	0.000561919	1777.61
0.00000	0.00000	0.00000	60.0584	5.61885	56.8292	5.61885	1059510000000000	0.000568317	1757.72
0.00000	0.00000	0.00000	59.9272	5.65559	56.6417	5.65559	1019980000000000	0.000574059	1740.26
0.00000	0.00000	0.00000	59.8019	5.68933	56.4630	5.68933	983385000000000	0.000579685	1723.47
0.00000	0.00000	0.00000	59.6715	5.72206	56.2782	5.72206	946481000000000	0.000584813	1708.46
0.00000	0.00000	0.00000	59.5453	5.75302	56.0992	5.75302	911858000000000	0.000590315	1692.63
0.00000	0.00000	0.00000	59.4213	5.78234	55.9237	5.78234	878860000000000	0.000595900	1676.85
0.00000	0.00000	0.00000	59.2900	5.81043	55.7392	5.81043	845004000000000	0.000600175	1664.99
0.00000	0.00000	0.00000	59.1671	5.83677	55.5663	5.83677	814316000000000	0.000605361	1650.81
0.00000	0.00000	0.00000	59.0433	5.86184	55.3927	5.86184	784338000000000	0.000610166	1637.88
0.00000	0.00000	0.00000	58.9227	5.88490	55.2241	5.88490	756021000000000	0.000614392	1626.68
0.00000	0.00000	0.00000	58.7995	5.90781	55.0521	5.90781	728003000000000	0.000619081	1614.42
0.00000	0.00000	0.00000	58.6776	5.92943	54.8823	5.92943	701125000000000	0.000623533	1602.95
0.00000	0.00000	0.00000	58.5575	5.94967	54.7154	5.94967	675460000000000	0.000627613	1592.58
