Vload_(V)	ILoad_(A)	RsLoad (ohm)	SunsVoc_Voltage_(V)	SunsVoc_Current_(A)	Model_Voltage_(V)	Model_Current_(A)	Carrier_Density_(cm-3)	Lifetime_(s)	Inverse_Lifetime_(s-1)	Efficiency_(%)	Intensity_(suns)	Dark_IV_Voltage_(V)	Dark_IV_Current_(A)
3.098256	6.02821	0	51.886992	-0.682959	52.27729	-0.682959	9.844632E+15	0.000653	1371.583518	19.189013	1.188744	0	0
3.092787	6.027975	1.829055	52.393693	-0.9113	52.900477	-0.9113	1.139641E+16	0.000731	1153.242405	19.11517	1.188208	0	0
3.16283	6.031582	-0.538707	52.503298	-0.746789	52.916113	-0.746789	1.176109E+16	0.000772	1065.334854	19.047376	1.18809	0	0
3.678793	6.028461	-0.62451	52.474917	-0.415134	52.704755	-0.415134	1.166562E+16	0.000805	1015.735816	19.04359	1.186979	0	0
5.604153	6.024676	4.007904	52.392304	-0.061683	52.42661	-0.061683	1.139186E+16	0.000832	986.304846	19.038475	1.185254	0	0
8.029945	6.017569	4.444288	52.285312	0.299013	52.118045	0.299013	1.104631E+16	0.000858	963.364258	18.985317	1.18341	0	0
10.622794	5.998804	4.666873	52.171746	0.648747	51.806603	0.648747	1.069035E+16	0.000884	941.488264	18.910073	1.181388	0	0
12.581005	5.987134	4.52796	52.056015	0.970622	51.506299	0.970622	1.033872E+16	0.000909	922.249858	18.867667	1.179742	0	0
14.6341	5.98333	4.234136	51.932403	1.282788	51.201081	1.282788	9.975155E+15	0.000935	904.241147	18.883445	1.177878	0	0
16.747769	5.983321	3.881001	51.816713	1.568417	50.91705	1.568417	9.645776E+15	0.000962	884.920276	18.875209	1.176927	0	0
18.928893	5.977855	3.579892	51.693876	1.845172	50.628588	1.845172	9.307205E+15	0.00099	866.536945	18.837019	1.175757	0	0
21.166171	5.978097	3.203929	51.563485	2.100976	50.342203	2.100976	8.959971E+15	0.001015	852.041675	18.792566	1.174924	0	0
23.344155	5.977913	2.841655	51.443384	2.330697	50.080077	2.330697	8.650858E+15	0.001041	836.59121	18.819301	1.173001	0	0
25.525104	5.973312	2.52207	51.325163	2.544255	49.827814	2.544255	8.356289E+15	0.001067	821.326882	18.877653	1.170383	0	0
27.649957	5.972609	2.173278	51.208942	2.743992	49.584371	2.743992	8.075802E+15	0.001094	805.930925	18.885118	1.167231	0	0
29.83485	5.972676	1.806798	51.087289	2.933016	49.339986	2.933016	7.791566E+15	0.00112	792.231443	18.836328	1.164296	0	0
32.017405	5.968315	1.48137	50.967189	3.10867	49.103917	3.10867	7.52005E+15	0.001146	778.866724	18.778002	1.162056	0	0
32.732763	5.968062	1.363758	50.851662	3.272122	48.878955	3.272122	7.267131E+15	0.001173	764.887761	18.791074	1.159101	0	0
33.454202	5.965526	1.264047	50.73585	3.42766	48.657331	3.42766	7.021464E+15	0.001201	750.747363	18.822215	1.156286	0	0
34.140627	5.967489	1.132582	50.619057	3.57004	48.441553	3.57004	6.781459E+15	0.001227	738.515456	18.814794	1.153312	0	0
34.844654	5.964392	1.040486	50.503326	3.705691	48.230075	3.705691	6.551072E+15	0.001255	725.722984	18.763142	1.150754	0	0
35.547919	5.95798	0.973265	50.386656	3.829205	48.024085	3.829205	6.326076E+15	0.00128	714.986911	18.741228	1.148276	0	0
36.262724	5.953245	0.887568	50.275581	3.941323	47.830556	3.941323	6.118439E+15	0.001304	704.601212	18.776549	1.145301	0	0
36.965839	5.940089	0.853146	50.157359	4.053791	47.628028	4.053791	5.904271E+15	0.00133	693.867289	18.824313	1.141752	0	0
37.673833	5.924033	0.822383	50.046406	4.156149	47.439222	4.156149	5.709485E+15	0.001357	682.967666	18.811391	1.138322	0	0
38.381006	5.902167	0.803497	49.928143	4.258349	47.241574	4.258349	5.508288E+15	0.001384	671.928274	18.759533	1.134872	0	0
39.072724	5.873917	0.791676	49.80939	4.348932	47.050008	4.348932	5.312723E+15	0.001407	663.700946	18.750136	1.131144	0	0
39.780036	5.840206	0.772957	49.700152	4.432963	46.872765	4.432963	5.138375E+15	0.001433	654.072802	18.785332	1.127556	0	0
