Vload_(V)	ILoad_(A)	RsLoad (ohm)	SunsVoc_Voltage_(V)	SunsVoc_Current_(A)	Model_Voltage_(V)	Model_Current_(A)	Carrier_Density_(cm-3)	Lifetime_(s)	Inverse_Lifetime_(s-1)	Efficiency_(%)	Intensity_(suns)	Dark_IV_Voltage_(V)	Dark_IV_Current_(A)
3.002717	6.021655	0	52.483275	-1.265066	53.233133	-1.265066	1.169366E+16	0.000714	1173.801074	20.128508	1.207828	0	0
2.979986	6.028041	-0.510259	52.61289	-1.036725	53.224372	-1.036725	1.213674E+16	0.000765	1062.840644	19.809268	1.206837	0	0
3.050656	6.028191	-0.52173	52.565193	-0.648229	52.948229	-0.648229	1.197187E+16	0.000798	1014.493567	19.500131	1.206699	0	0
3.685437	6.026645	-0.629674	52.471269	-0.248326	52.618529	-0.248326	1.16534E+16	0.000827	984.068188	19.294506	1.206857	0	0
5.696484	6.025012	-0.966248	52.363215	0.147149	52.275595	0.147149	1.129692E+16	0.000855	957.120418	19.161918	1.206956	0	0
8.225177	6.019782	2.996748	52.239113	0.528609	51.922874	0.528609	1.090018E+16	0.000883	935.616684	19.034807	1.20763	0	0
10.733127	5.993232	4.639343	52.120605	0.868292	51.598833	0.868292	1.05336E+16	0.000909	915.591671	18.912784	1.207729	0	0
12.834313	5.977315	4.540459	51.995849	1.188309	51.278432	1.188309	1.016024E+16	0.000935	898.027357	18.863722	1.20763	0	0
14.85576	5.974666	4.234368	51.870767	1.488198	50.968101	1.488198	9.798384E+15	0.000961	880.706822	18.885673	1.206065	0	0
16.953591	5.977617	3.847376	51.752055	1.777924	50.668899	1.777924	9.466152E+15	0.000992	859.031963	18.87475	1.205273	0	0
19.174809	5.975329	3.504137	51.617212	2.048242	50.363146	2.048242	9.101558E+15	0.001019	843.874384	18.823358	1.203589	0	0
21.371158	5.975887	3.129671	51.489026	2.287103	50.082106	2.287103	8.767142E+15	0.001044	829.982031	18.754754	1.202559	0	0
23.519722	5.974687	2.783996	51.365169	2.510865	49.81359	2.510865	8.454912E+15	0.001071	814.776748	18.773566	1.199805	0	0
25.696087	5.973105	2.438252	51.250132	2.714539	49.565655	2.714539	8.174197E+15	0.0011	798.569528	18.811318	1.196913	0	0
27.79369	5.972021	2.098303	51.122804	2.916059	49.304905	2.916059	7.873573E+15	0.001128	783.767436	18.784069	1.194378	0	0
29.972764	5.96705	1.783382	50.995598	3.099019	49.054755	3.099019	7.583474E+15	0.001154	770.895133	18.711447	1.192337	0	0
32.161016	5.969045	1.397599	50.881745	3.261853	48.830552	3.261853	7.332225E+15	0.001182	756.880053	18.676208	1.190911	0	0
32.875284	5.965538	1.310993	50.757357	3.423651	48.594819	3.423651	7.066501E+15	0.00121	743.577544	18.72218	1.188356	0	0
33.579361	5.962585	1.219835	50.642484	3.56618	48.380683	3.56618	6.828988E+15	0.001237	730.882805	18.764646	1.185404	0	0
34.278324	5.961711	1.109946	50.523363	3.704822	48.163683	3.704822	6.59044E+15	0.001265	718.163778	18.738459	1.182136	0	0
34.978809	5.957828	1.025021	50.402773	3.832205	47.951543	3.832205	6.356731E+15	0.001292	707.193734	18.686068	1.179362	0	0
35.694294	5.95551	0.923503	50.290309	3.946508	47.755962	3.946508	6.14561E+15	0.001317	696.363749	18.687059	1.175955	0	0
36.401588	5.948393	0.858225	50.166738	4.06063	47.547794	4.06063	5.92101E+15	0.001343	686.328213	18.72939	1.172568	0	0
37.103761	5.935443	0.824329	50.054804	4.162525	47.35964	4.162525	5.724023E+15	0.00137	675.741152	18.735935	1.168705	0	0
37.807928	5.917597	0.804019	49.935643	4.263354	47.163742	4.263354	5.520855E+15	0.001397	665.346985	18.68255	1.165872	0	0
38.512094	5.894759	0.788768	49.813828	4.35666	46.969299	4.35666	5.319917E+15	0.001421	656.577433	18.656347	1.162683	0	0
39.202457	5.865373	0.780117	49.702793	4.441485	46.791764	4.441485	5.142529E+15	0.001448	646.847066	18.69066	1.159633	0	0
39.907293	5.826163	0.775395	49.582162	4.525602	46.603696	4.525602	4.95585E+15	0.001474	637.840492	18.741883	1.155829	0	0
40.609518	5.780502	0.763037	49.471168	4.59946	46.432586	4.59946	4.789476E+15	0.001498	629.439358	18.722109	1.152818	0	0
41.308002	5.720403	0.757802	49.353763	4.673592	46.253837	4.673592	4.618944E+15	0.001524	620.668367	18.680287	1.149589	0	0
42.013804	5.64886	0.744036	49.239788	4.73859	46.084576	4.73859	4.458597E+15	0.001546	613.908538	18.687312	1.146123	0	0
42.713527	5.561742	0.728568	49.12908	4.800885	45.920408	4.800885	4.307606E+15	0.00157	606.271773	18.744217	1.141705	0	0
43.410743	5.456009	0.710812	49.01098	4.861275	45.749006	4.861275	4.151552E+15	0.001592	599.710585	18.764447	1.13703	0	0
44.092718	5.324329	0.698093	48.905254	4.916545	45.594476	4.916545	4.016115E+15	0.001617	591.799213	18.712637	1.133425	0	0
44.766495	5.171499	0.679605	48.786093	4.970531	45.42561	4.970531	3.868154E+15	0.001637	586.022378	18.659947	1.130434	0	0
45.432561	4.983267	0.665188	48.67759	5.019998	45.271386	5.019998	3.737624E+15	0.00166	579.252297	18.681017	1.127225	0	0
46.09349	4.758888	0.650762	48.564432	5.066019	45.114079	5.066019	3.605629E+15	0.001678	574.222932	18.746892	1.123085	0	0
46.743635	4.495848	0.638335	48.455929	5.11255	44.961381	5.11255	3.482917E+15	0.001704	566.625775	18.748422	1.119559	0	0
47.39127	4.196391	0.620993	48.3422	5.154526	44.805745	5.154526	3.358224E+15	0.001723	561.730337	18.711834	1.116053	0	0
48.014979	3.849069	0.611053	48.234513	5.194234	44.658208	5.194234	3.243761E+15	0.001744	555.949393	18.700393	1.112824	0	0
48.640186	3.45616	0.599134	48.117925	5.232323	44.501643	5.232323	3.123672E+15	0.00176	551.852025	18.747864	1.108941	0	0
49.230886	3.031324	0.592988	48.014894	5.266151	44.363003	5.266151	3.020774E+15	0.001779	547.07798	18.789748	1.104722	0	0
