Vload_(V)	ILoad_(A)	RsLoad (ohm)	SunsVoc_Voltage_(V)	SunsVoc_Current_(A)	Model_Voltage_(V)	Model_Current_(A)	Carrier_Density_(cm-3)	Lifetime_(s)	Inverse_Lifetime_(s-1)	Efficiency_(%)	Intensity_(suns)	Dark_IV_Voltage_(V)	Dark_IV_Current_(A)
3.339718	6.390879	0	65.548181	-1.065107	65.861131	-1.065107	4.350852E+15	0.000245	4050.884807	19.769761	1.20218	0	0
3.266045	6.394209	-0.533375	65.993995	-1.183949	66.314576	-1.183949	4.825508E+15	0.000267	3700.770652	19.833936	1.201566	0	0
4.897815	6.389962	1.936122	66.035648	-1.267054	66.376004	-1.267054	4.872134E+15	0.000267	3704.867842	19.869353	1.201467	0	0
7.920439	6.380429	5.960772	65.918937	-0.815235	66.142844	-0.815235	4.742498E+15	0.000276	3582.335081	19.8796	1.200021	0	0
11.191598	6.366434	6.114242	65.741951	-0.329168	65.83537	-0.329168	4.551787E+15	0.000284	3482.550818	19.839275	1.199565	0	0
13.892248	6.362664	5.770018	65.564067	0.122873	65.528065	0.122873	4.367023E+15	0.000292	3387.49922	19.811626	1.198119	0	0
16.69943	6.360019	5.377326	65.389858	0.539491	65.22693	0.539491	4.192564E+15	0.000301	3295.535085	19.787123	1.196792	0	0
19.549262	6.359034	4.945818	65.211402	0.924803	64.923576	0.924803	4.020279E+15	0.000309	3212.047728	19.804524	1.194157	0	0
22.403699	6.356978	4.530368	65.042298	1.281116	64.632378	1.281116	3.862821E+15	0.000317	3126.396603	19.817462	1.191602	0	0
25.311448	6.348772	4.186918	64.870662	1.612878	64.340277	1.612878	3.708581E+15	0.000326	3046.286957	19.815335	1.189383	0	0
28.910742	6.25674	4.206157	64.700128	1.914697	64.053613	1.914697	3.560712E+15	0.000334	2973.603248	19.8006	1.18768	0	0
31.819042	6.246034	3.78188	64.532045	2.197253	63.77103	2.197253	3.420041E+15	0.000342	2901.596541	19.775377	1.186273	0	0
34.749678	6.243822	3.320317	64.367228	2.458101	63.494925	2.458101	3.286837E+15	0.000351	2832.404212	19.781229	1.183619	0	0
37.661562	6.243988	2.853819	64.200247	2.704265	63.217245	2.704265	3.156508E+15	0.000359	2765.708011	19.784579	1.181222	0	0
40.498836	6.235782	2.426464	64.033226	2.930426	62.942712	2.930426	3.030655E+15	0.000368	2704.769119	19.804174	1.177736	0	0
42.946942	6.324593	1.626217	63.873432	3.140127	62.678943	3.140127	2.914334E+15	0.000376	2643.07242	19.809925	1.174527	0	0
45.784484	6.317633	1.224602	63.709187	3.33566	62.411997	3.33566	2.798805E+15	0.000385	2587.424095	19.803966	1.171377	0	0
46.745531	6.303952	1.152391	63.555029	3.514629	62.160231	3.514629	2.693977E+15	0.000393	2531.312101	19.781493	1.168009	0	0
47.673516	6.294398	1.053632	63.396052	3.681014	61.904972	3.681014	2.589417E+15	0.000401	2481.86038	19.76448	1.164701	0	0
48.606977	6.277834	0.978611	63.241853	3.837397	61.656838	3.837397	2.491336E+15	0.00041	2431.303567	19.754758	1.161651	0	0
49.54708	6.257993	0.903451	63.088022	3.981873	61.411666	3.981873	2.396665E+15	0.000418	2384.91474	19.770547	1.158461	0	0
50.481607	6.228586	0.846838	62.937988	4.115635	61.173399	4.115635	2.307298E+15	0.000426	2340.251365	19.786822	1.155272	0	0
51.438787	6.188491	0.796467	62.786771	4.242958	60.934423	4.242958	2.220105E+15	0.000434	2296.546841	19.799405	1.152142	0	0
52.373225	6.137482	0.752311	62.639473	4.363105	60.70145	4.363105	2.137873E+15	0.000443	2251.914207	19.79947	1.148755	0	0
53.314464	6.072685	0.70861	62.487602	4.47724	60.463731	4.47724	2.055799E+15	0.000451	2210.438021	19.787041	1.145427	0	0
54.23698	5.989816	0.670795	62.338017	4.583342	60.230743	4.583342	1.977575E+15	0.000459	2170.863746	19.769107	1.14206	0	0
55.167388	5.883131	0.633764	62.189005	4.681259	60.000651	4.681259	1.902156E+15	0.000467	2135.053101	19.757556	1.139148	0	0
56.086071	5.745956	0.602248	62.044361	4.772695	59.777577	4.772695	1.831274E+15	0.000475	2099.42048	19.769747	1.1358	0	0
57.003583	5.573594	0.571008	61.898248	4.857534	59.554479	4.857534	1.761935E+15	0.000482	2067.969042	19.793153	1.132175	0	0
57.903624	5.353569	0.546379	61.755933	4.937868	59.337075	4.937868	1.696525E+15	0.00049	2035.474487	19.798444	1.128609	0	0
58.808511	5.076387	0.524366	61.610595	5.013331	59.117105	5.013331	1.631833E+15	0.000497	2006.552039	19.79367	1.124945	0	0
59.683364	4.742898	0.504103	61.468157	5.084062	58.902052	5.084062	1.570442E+15	0.000504	1978.198703	19.779187	1.121419	0	0
60.543294	4.334966	0.48727	61.326127	5.150896	58.68847	5.150896	1.511157E+15	0.000512	1950.915423	19.769428	1.117853	0	0
61.397833	3.852672	0.468491	61.189407	5.213748	58.482714	5.213748	1.455859E+15	0.000519	1922.590144	19.768458	1.114584	0	0
62.209355	3.305113	0.454663	61.044927	5.273446	58.267856	5.273446	1.399262E+15	0.000526	1899.13151	19.781805	1.111157	0	0
62.976787	2.702665	0.442026	60.905388	5.329329	58.060446	5.329329	1.346347E+15	0.000532	1875.262301	19.797149	1.10777	0	0
63.71176	2.045314	0.445599	60.767524	5.380814	57.856749	5.380814	1.29571E+15	0.000538	1854.233064	19.809866	1.104026	0	0
64.378232	1.391194	0.447835	60.6375	5.429801	57.663729	5.429801	1.24941E+15	0.000546	1829.844853	19.800105	1.100441	0	0
64.959836	0.776013	0.440029	60.499023	5.476599	57.460418	5.476599	1.201617E+15	0.000552	1810.146779	19.783327	1.096697	0	0
54.010965	6.012093	0.679699	60.365773	5.521757	57.264077	5.521757	1.157068E+15	0.000559	1787.135195	19.769402	1.092973	0	0
65.652787	0	0	60.231544	5.563777	57.067637	5.563777	1.113584E+15	0.000565	1767.281119	19.773443	1.089268	0	0
0	0	0	60.100662	5.602555	56.876798	5.602555	1.072497E+15	0.000571	1749.081492	19.790698	1.085307	0	0
0	0	0	59.973415	5.64006	56.690869	5.64006	1.033763E+15	0.000578	1728.399067	19.803794	1.081701	0	0
0	0	0	59.843392	5.674791	56.502489	5.674791	9.953882E+14	0.000584	1712.111934	19.809017	1.077918	0	0
0	0	0	59.716635	5.7074	56.319135	5.7074	9.591219E+14	0.000589	1696.037343	19.799291	1.074352	0	0
0	0	0	59.585795	5.738669	56.130866	5.738669	9.228435E+14	0.000594	1682.168823	19.77737	1.071024	0	0
0	0	0	59.465163	5.76796	55.956632	5.76796	8.904118E+14	0.0006	1665.224208	19.771894	1.067479	0	0
0	0	0	59.335058	5.796711	55.77005	5.796711	8.564996E+14	0.000605	1651.340869	19.79278	1.063457	0	0
0	0	0	59.205198	5.823599	55.584559	5.823599	8.237287E+14	0.00061	1639.419151	19.810439	1.059555	0	0
0	0	0	59.081585	5.84914	55.407691	5.84914	7.935102E+14	0.000615	1625.299253	19.817922	1.055692	0	0
0	0	0	58.960301	5.872918	55.234649	5.872918	7.64764E+14	0.00062	1612.437442	19.807601	1.05177	0	0
0	0	0	58.836361	5.895828	55.058402	5.895828	7.36291E+14	0.000624	1600.777876	19.791126	1.048165	0	0
0	0	0	58.712055	5.918032	54.881838	5.918032	7.086284E+14	0.000629	1588.727833	19.777901	1.044639	0	0
0	0	0	58.594241	5.938305	54.714738	5.938305	6.832184E+14	0.000634	1577.218596	19.77279	1.041133	0	0
0	0	0	58.470425	5.958009	54.539913	5.958009	6.573408E+14	0.000637	1567.991077	19.78898	1.037527	0	0
0	0	0	58.351182	5.976661	54.371524	5.976661	6.332016E+14	0.000642	1557.67227	19.808605	1.033684	0	0
0	0	0	58.233491	5.994338	54.205593	5.994338	6.101117E+14	0.000646	1547.6772	19.8294	1.029921	0	0
0	0	0	58.110246	6.01101	54.032848	6.01101	5.866967E+14	0.000648	1541.821151	19.819293	1.026098	0	0
0	0	0	57.999048	6.026786	53.876305	6.026786	5.662257E+14	0.000653	1531.253912	19.798379	1.022453	0	0
0	0	0	57.878866	6.042174	53.708058	6.042174	5.447835E+14	0.000656	1524.296284	19.776461	1.018966	0	0
0	0	0	57.762523	6.056464	53.545425	6.056464	5.246858E+14	0.000659	1517.857633	19.775538	1.015203	0	0
0	0	0	57.649528	6.069903	53.387616	6.069903	5.057731E+14	0.000661	1511.365125	19.792726	1.01136	0	0
0	0	0	57.528406	6.083113	53.219131	6.083113	4.86148E+14	0.000663	1507.695694	19.812451	1.007596	0	0
0	0	0	57.421047	6.095496	53.06917	6.095496	4.692999E+14	0.000667	1499.007571	19.817948	1.003991	0	0
0	0	0	57.301314	6.107509	52.903058	6.107509	4.511018E+14	0.000668	1496.08377	19.806902	1.000524	0	0
0	0	0	57.189667	6.118845	52.747932	6.118845	4.346815E+14	0.000671	1490.514336	19.792523	0.997077	0	0
0	0	0	57.075855	6.130106	52.58988	6.130106	4.184747E+14	0.000674	1484.168228	19.780579	0.993472	0	0
0	0	0	56.962901	6.140407	52.433533	6.140407	4.02908E+14	0.000675	1480.640768	19.788727	0.989689	0	0
0	0	0	56.846558	6.150787	52.27254	6.150787	3.874002E+14	0.000677	1476.111502	19.808335	0.985826	0	0
0	0	0	56.733563	6.160452	52.116373	6.160452	3.728369E+14	0.000679	1472.046365	19.818452	0.981805	0	0
0	0	0	56.622569	6.169512	51.963189	6.169512	3.589974E+14	0.000681	1468.699206	19.810128	0.97812	0	0
0	0	0	56.512637	6.17793	51.811791	6.17793	3.45734E+14	0.000682	1467.06629	19.792305	0.974277	0	0
0	0	0	56.400622	6.186764	51.65723	6.186764	3.326621E+14	0.000684	1461.47659	19.777968	0.970593	0	0
0	0	0	56.290527	6.194556	51.505905	6.194556	3.202385E+14	0.000685	1460.231072	19.772367	0.966948	0	0
0	0	0	56.183739	6.201965	51.359157	6.201965	3.085799E+14	0.000686	1458.222678	19.779003	0.963243	0	0
0	0	0	56.070826	6.209462	51.204167	6.209462	2.966611E+14	0.000686	1456.626652	19.803165	0.959361	0	0
0	0	0	55.963426	6.216158	51.057007	6.216158	2.85704E+14	0.000686	1456.674613	19.81695	0.955855	0	0
0	0	0	55.856761	6.222818	50.910772	6.222818	2.751786E+14	0.000687	1454.752811	19.811058	0.952507	0	0
0	0	0	55.745767	6.229015	50.759112	6.229015	2.645935E+14	0.000686	1457.17766	19.800611	0.94908	0	0
0	0	0	55.644125	6.235468	50.61954	6.235468	2.552204E+14	0.000689	1450.466298	19.777316	0.94597	0	0
0	0	0	55.534723	6.24146	50.470013	6.24146	2.454645E+14	0.00069	1449.983034	19.782145	0.942543	0	0
0	0	0	55.432101	6.246378	50.330262	6.246378	2.366185E+14	0.000687	1454.684666	19.792193	0.939156	0	0
0	0	0	55.323353	6.252434	50.181419	6.252434	2.275583E+14	0.00069	1449.217096	19.811303	0.93555	0	0
0	0	0	55.219587	6.25719	50.040177	6.25719	2.19206E+14	0.000688	1452.761225	19.821065	0.931925	0	0
0	0	0	55.111493	6.262449	49.892736	6.262449	2.108009E+14	0.000689	1451.267111	19.814119	0.928578	0	0
0	0	0	55.009769	6.26762	49.753743	6.26762	2.03159E+14	0.000692	1445.2287	19.79783	0.92525	0	0
0	0	0	54.902859	6.271544	49.608882	6.271544	1.953997E+14	0.000687	1454.792734	19.778947	0.922239	0	0
0	0	0	54.799215	6.275883	49.467951	6.275883	1.881362E+14	0.000687	1456.021862	19.78103	0.918772	0	0
0	0	0	54.699125	6.280348	49.331572	6.280348	1.813565E+14	0.000689	1451.808602	19.79873	0.915108	0	0
0	0	0	54.590336	6.284336	49.184033	6.284336	1.74242E+14	0.000687	1456.570924	19.813081	0.911601	0	0
0	0	0	54.491675	6.287787	49.050334	6.287787	1.680123E+14	0.000684	1461.661205	19.818266	0.907917	0	0
0	0	0	54.385378	6.292068	48.905756	6.292068	1.615302E+14	0.000686	1457.184116	19.806481	0.90449	0	0
0	0	0	54.280346	6.295533	48.763525	6.295533	1.553526E+14	0.000684	1461.996249	19.790145	0.901063	0	0
0	0	0	54.183931	6.298602	48.633027	6.298602	1.498748E+14	0.000682	1466.660503	19.78127	0.897557	0	0
0	0	0	54.079226	6.301518	48.491644	6.301518	1.441291E+14	0.000677	1476.933758	19.776823	0.894209	0	0
0	0	0	53.97987	6.304774	48.357019	6.304774	1.388667E+14	0.000677	1477.054906	19.795629	0.890703	0	0
0	0	0	53.884231	6.308181	48.227153	6.308181	1.339706E+14	0.00068	1470.446432	19.81578	0.887197	0	0
0	0	0	53.779036	6.310698	48.085383	6.310698	1.287714E+14	0.000674	1483.264537	19.824396	0.883532	0	0
0	0	0	53.679762	6.31323	47.951426	6.31323	1.240385E+14	0.000671	1491.238634	19.815012	0.880244	0	0
0	0	0	53.584286	6.316136	47.822139	6.316136	1.196406E+14	0.000672	1488.183353	19.801597	0.877054	0	0
0	0	0	53.477948	6.319029	47.678426	6.319029	1.149149E+14	0.000671	1489.434354	19.782701	0.873845	0	0
0	0	0	53.381451	6.321513	47.548114	6.321513	1.107789E+14	0.00067	1491.614053	19.773571	0.870616	0	0
0	0	0	53.287445	6.323617	47.421437	6.323617	1.068849E+14	0.000667	1499.07794	19.786313	0.867328	0	0
0	0	0	53.183638	6.325663	47.281788	6.325663	1.027351E+14	0.000661	1512.194008	19.803426	0.863901	0	0
0	0	0	53.08755	6.327639	47.152424	6.327639	9.903006E+13	0.000657	1521.235627	19.819355	0.860573	0	0
0	0	0	52.988725	6.329803	47.019232	6.329803	9.53517E+13	0.000655	1525.847132	19.813126	0.857186	0	0
0	0	0	52.884265	6.332022	46.878487	6.332022	9.16047E+13	0.000653	1530.55601	19.789059	0.854254	0	0
0	0	0	52.787768	6.334194	46.748332	6.334194	8.826804E+13	0.000654	1529.805063	19.777212	0.851243	0	0
0	0	0	52.685636	6.336351	46.61069	6.336351	8.486269E+13	0.000653	1530.64769	19.779834	0.847975	0	0
0	0	0	52.583586	6.337904	46.473715	6.337904	8.158541E+13	0.000646	1546.79318	19.786194	0.844766	0	0
0	0	0	52.485047	6.339401	46.34144	6.339401	7.853588E+13	0.00064	1561.443704	19.800917	0.841497	0	0
0	0	0	52.382751	6.341385	46.203688	6.341385	7.548556E+13	0.00064	1561.938537	19.80725	0.83809	0	0
