Vload_(V)	ILoad_(A)	RsLoad (ohm)	SunsVoc_Voltage_(V)	SunsVoc_Current_(A)	Model_Voltage_(V)	Model_Current_(A)	Carrier_Density_(cm-3)	Lifetime_(s)	Inverse_Lifetime_(s-1)	Efficiency_(%)	Intensity_(suns)	Dark_IV_Voltage_(V)	Dark_IV_Current_(A)
5.223246	9.543959	0	39.154047	-1.676868	39.72637	-1.676868	6.090293E+14	3.711706E-5	26941.17679	16.55237	1.178149	0	0
5.230555	9.542187	1.562178	39.086895	-1.207919	39.499032	-1.207919	5.84183E+14	3.715565E-5	26913.242803	16.535941	1.176536	0	0
5.271006	9.54458	-0.527636	38.996695	-0.6251	39.209886	-0.6251	5.523348E+14	3.714342E-5	26922.165499	16.501608	1.174407	0	0
5.582339	9.540705	1.727917	38.895437	-0.004642	38.897019	-0.004642	5.1857E+14	3.71388E-5	26925.573362	16.512003	1.171287	0	0
6.959913	9.535838	1.828788	38.788118	0.609367	38.580499	0.609367	4.849566E+14	3.711833E-5	26940.479798	16.546567	1.168206	0	0
8.767687	9.532529	1.722382	38.680408	1.182219	38.277817	1.182219	4.533395E+14	3.707551E-5	26971.641263	16.514365	1.165086	0	0
10.753986	9.528211	1.604327	38.573677	1.716773	37.989347	1.716773	4.239812E+14	3.704258E-5	26995.664321	16.532977	1.162362	0	0
12.6615	9.527676	1.415886	38.46827	2.21247	37.715599	2.21247	3.967993E+14	3.701169E-5	27018.22963	16.509214	1.160062	0	0
14.477764	9.522281	1.341834	38.362699	2.672975	37.453824	2.672975	3.712743E+14	3.695185E-5	27062.019032	16.534627	1.1571	0	0
16.2815	9.517526	1.206233	38.257471	3.103181	37.202845	3.103181	3.474243E+14	3.688774E-5	27109.075669	16.516448	1.15435	0	0
18.090647	9.513937	1.043447	38.151917	3.507532	36.96047	3.507532	3.250022E+14	3.681854E-5	27160.053889	16.514836	1.150106	0	0
19.891052	9.512444	0.865178	38.046019	3.88157	36.728184	3.88157	3.039283E+14	3.670555E-5	27243.684574	16.536587	1.145492	0	0
21.699917	9.509085	0.702014	37.942311	4.232552	36.506024	4.232552	2.845867E+14	3.664083E-5	27291.826074	16.519857	1.141089	0	0
23.500428	9.50196	0.562162	37.838798	4.554753	36.293938	4.554753	2.664845E+14	3.652588E-5	27377.731188	16.544895	1.13662	0	0
24.097154	9.502347	0.497687	37.738814	4.847987	36.095281	4.847987	2.500726E+14	3.641671E-5	27459.814023	16.51174	1.132561	0	0
24.699666	9.504603	0.419778	37.639075	5.123261	35.903047	5.123261	2.346901E+14	3.63048E-5	27544.475776	16.538886	1.128383	0	0
25.300292	9.502933	0.367238	37.53945	5.382517	35.716441	5.382517	2.202539E+14	3.619429E-5	27628.58893	16.52475	1.124218	0	0
