Vload_(V)	ILoad_(A)	RsLoad (ohm)	SunsVoc_Voltage_(V)	SunsVoc_Current_(A)	Model_Voltage_(V)	Model_Current_(A)	Carrier_Density_(cm-3)	Lifetime_(s)	Inverse_Lifetime_(s-1)	Efficiency_(%)	Intensity_(suns)	Dark_IV_Voltage_(V)	Dark_IV_Current_(A)
3.502835	6.414964	0	65.880847	-0.885931	66.118437	-0.885931	4.108788E+15	0.000236	4204.870601	19.852491	1.115882	0	0
3.50478	6.412963	4.10704	65.850709	-0.646595	66.025171	-0.646595	4.076983E+15	0.000242	4098.479987	20.043602	1.114455	0	0
7.340857	6.408548	5.591076	65.710231	-0.229805	65.773986	-0.229805	3.931459E+15	0.000248	4000.597729	19.899468	1.115882	0	0
12.526682	6.390624	5.888926	65.530183	0.230281	65.464049	0.230281	3.751361E+15	0.000255	3904.026485	19.996846	1.114375	0	0
17.050946	6.387929	5.238847	65.353075	0.649706	65.160249	0.649706	3.581021E+15	0.000261	3813.904079	19.961333	1.114772	0	0
21.862863	6.386019	4.522325	65.173516	1.033839	64.856622	1.033839	3.414994E+15	0.000266	3734.329718	19.931842	1.113106	0	0
26.676151	6.381897	3.838175	64.99845	1.390786	64.558946	1.390786	3.259372E+15	0.000272	3654.394901	20.01259	1.11271	0	0
31.953591	6.30249	3.616611	64.823138	1.713049	64.265518	1.713049	3.109513E+15	0.000278	3586.064189	19.862913	1.111758	0	0
36.825571	6.297241	2.866152	64.649991	2.016104	63.9748	2.016104	2.967188E+15	0.000283	3516.974899	20.009022	1.110528	0	0
41.355842	6.362119	1.766319	64.478273	2.301934	63.685932	2.301934	2.831436E+15	0.000289	3447.123542	19.813403	1.110528	0	0
46.177322	6.332767	1.215031	64.305575	2.562491	63.399562	2.562491	2.700158E+15	0.000294	3386.697583	19.975594	1.108664	0	0
50.92836	6.224688	0.847382	64.133653	2.807212	63.114955	2.807212	2.57453E+15	0.0003	3327.20896	19.815496	1.109061	0	0
52.048439	6.172784	0.78029	63.963038	3.03711	62.832825	3.03711	2.454691E+15	0.000305	3268.075002	19.903701	1.107712	0	0
53.145101	6.099011	0.72962	63.791116	3.251247	62.550918	3.251247	2.33865E+15	0.00031	3213.53021	19.852645	1.108148	0	0
54.309368	5.996365	0.675735	63.62193	3.450535	62.27407	3.450535	2.22893E+15	0.000316	3160.005092	19.83892	1.107196	0	0
55.39883	5.863445	0.633182	63.452376	3.634713	61.999167	3.634713	2.123285E+15	0.000321	3111.770288	19.909484	1.107633	0	0
56.531998	5.676406	0.592594	63.286049	3.807892	61.72927	3.807892	2.023716E+15	0.000326	3062.072639	19.792112	1.107196	0	0
57.611635	5.435084	0.56043	63.119436	3.967223	61.46169	3.967223	1.927885E+15	0.000331	3018.371193	19.970621	1.106364	0	0
58.662989	5.132518	0.52964	62.960622	4.1128	61.206641	4.1128	1.840073E+15	0.000336	2974.791066	19.796591	1.10676	0	0
59.734066	4.725328	0.504148	62.799726	4.248957	60.950622	4.248957	1.754519E+15	0.00034	2935.766616	19.979384	1.105531	0	0
60.773175	4.223291	0.481229	62.638422	4.376806	60.695411	4.376806	1.67209E+15	0.000344	2899.069888	19.835493	1.105888	0	0
61.766726	3.625969	0.460053	62.478424	4.496737	60.443174	4.496737	1.593534E+15	0.000349	2863.353357	19.943295	1.104262	0	0
62.700973	2.945066	0.443878	62.316833	4.609868	60.190003	4.609868	1.517338E+15	0.000353	2830.13508	19.888436	1.104262	0	0
