Vload_(V)	ILoad_(A)	RsLoad (ohm)	SunsVoc_Voltage_(V)	SunsVoc_Current_(A)	Model_Voltage_(V)	Model_Current_(A)	Carrier_Density_(cm-3)	Lifetime_(s)	Inverse_Lifetime_(s-1)	Efficiency_(%)	Intensity_(suns)	Dark_IV_Voltage_(V)	Dark_IV_Current_(A)
5.433539	6.443581	0	66.069593	-0.897147	66.3249	-0.897147	4.312787E+15	0.000247	4023.800816	19.88451	1.124402	0	0
5.343059	6.442465	3.01501	66.032472	-0.627553	66.21227	-0.627553	4.272004E+15	0.000254	3912.757263	19.983043	1.12345	0	0
9.158603	6.439217	4.750943	65.883746	-0.217357	65.9477	-0.217357	4.111858E+15	0.000259	3830.911941	19.970604	1.123966	0	0
14.20181	6.416822	5.610101	65.714029	0.201869	65.652851	0.201869	3.935334E+15	0.000265	3752.598963	19.905595	1.122974	0	0
18.823996	6.41617	4.902486	65.532551	0.617008	65.339741	0.617008	3.753684E+15	0.00027	3674.30112	20.052299	1.121943	0	0
23.590474	6.406853	4.310081	65.348705	1.00394	65.025387	1.00394	3.576901E+15	0.000276	3601.511438	19.857572	1.121031	0	0
28.447678	6.40551	3.569767	65.169514	1.358255	64.719438	1.358255	3.411368E+15	0.000282	3531.801934	20.066314	1.118889	0	0
33.722714	6.3222	3.329381	64.987872	1.690568	64.411719	1.690568	3.250163E+15	0.000287	3466.150756	19.841091	1.119048	0	0
38.242548	6.395378	2.156428	64.811132	1.996432	64.112397	1.996432	3.099464E+15	0.000293	3402.038564	20.000044	1.116469	0	0
43.015391	6.383703	1.515839	64.631165	2.288472	63.80881	2.288472	2.952045E+15	0.000298	3338.541274	19.878141	1.116628	0	0
47.82694	6.329508	1.06945	64.450463	2.562609	63.505527	2.562609	2.809944E+15	0.000304	3277.059313	19.888254	1.115002	0	0
52.535388	6.15083	0.770792	64.26776	2.81725	63.202173	2.81725	2.672098E+15	0.000309	3221.032226	19.939128	1.114764	0	0
53.665847	6.065244	0.714056	64.090897	3.048404	62.909854	3.048404	2.544052E+15	0.000315	3168.409911	19.800382	1.113812	0	0
54.821068	5.942864	0.667369	63.91677	3.253972	62.626631	3.253972	2.423002E+15	0.000319	3126.12913	19.978058	1.113257	0	0
55.928314	5.7887	0.622462	63.745378	3.445994	62.348406	3.445994	2.308556E+15	0.000323	3084.341608	19.76038	1.113812	0	0
57.055173	5.57571	0.583915	63.575498	3.627792	62.072792	3.627792	2.199576E+15	0.000328	3041.5221	19.966471	1.112503	0	0
58.132011	5.309836	0.548977	63.405945	3.799657	61.79856	3.799657	2.09509E+15	0.000333	2998.937275	19.793039	1.113574	0	0
59.174972	4.970787	0.522634	63.226264	3.963589	61.512511	3.963589	1.988885E+15	0.000337	2963.838785	19.926876	1.11175	0	0
60.244707	4.530205	0.49527	63.055648	4.114928	61.239966	4.114928	1.892207E+15	0.000341	2925.699662	19.893455	1.112503	0	0
61.263948	4.001582	0.473113	62.885278	4.255956	60.969678	4.255956	1.799589E+15	0.000345	2890.4642	19.850876	1.111353	0	0
62.233982	3.384365	0.455891	62.709926	4.387514	60.69512	4.387514	1.708224E+15	0.000349	2862.419583	19.978687	1.110917	0	0
63.210089	2.648241	0.434974	62.542863	4.510192	60.432556	4.510192	1.624795E+15	0.000353	2830.24455	19.811183	1.110322	0	0
64.091922	1.875318	0.429308	62.374208	4.625265	60.16951	4.625265	1.544037E+15	0.000356	2801.391551	20.02763	1.108497	0	0
64.840531	1.138859	0.421416	62.209228	4.731101	59.913509	4.731101	1.468302E+15	0.00036	2774.759329	19.811376	1.108696	0	0
54.189045	6.019	0.686804	62.04531	4.829079	59.660902	4.829079	1.39615E+15	0.000363	2751.510112	19.995828	1.106237	0	0
65.821789	0	0	61.885721	4.920183	59.415514	4.920183	1.328776E+15	0.000366	2728.162723	19.861156	1.106435	0	0
0	0	0	61.725682	5.006355	59.170564	5.006355	1.26397E+15	0.000369	2706.062291	19.911897	1.103976	0	0
0	0	0	61.562704	5.087252	58.9232	5.087252	1.200723E+15	0.000372	2688.504616	19.937194	1.103222	0	0
0	0	0	61.402297	5.163084	58.680399	5.163084	1.141097E+15	0.000374	2671.035386	19.823977	1.101239	0	0
0	0	0	61.244097	5.233803	58.441877	5.233803	1.08476E+15	0.000376	2654.775259	19.990825	1.099573	0	0
0	0	0	61.090755	5.300215	58.210731	5.300215	1.032419E+15	0.000379	2636.409961	19.779286	1.098661	0	0
0	0	0	60.931329	5.362812	57.97285	5.362812	9.802915E+14	0.000381	2624.756218	19.996073	1.095885	0	0
0	0	0	60.781336	5.421016	57.748482	5.421016	9.333126E+14	0.000383	2608.543383	19.797929	1.095726	0	0
0	0	0	60.624115	5.476009	57.515742	5.476009	8.861492E+14	0.000384	2599.763313	19.933005	1.09295	0	0
0	0	0	60.475389	5.527676	57.294953	5.527676	8.434303E+14	0.000387	2585.698552	19.858717	1.092791	0	0
0	0	0	60.322619	5.577604	57.069165	5.577604	8.014076E+14	0.000388	2573.049183	19.834129	1.090967	0	0
0	0	0	60.174913	5.623483	56.851522	5.623483	7.625097E+14	0.00039	2561.131837	19.924822	1.090134	0	0
0	0	0	60.024879	5.666832	56.631675	5.666832	7.24685E+14	0.000392	2552.454948	19.756612	1.08942	0	0
0	0	0	59.877582	5.707001	56.416629	5.707001	6.891488E+14	0.000393	2545.349816	19.967298	1.087635	0	0
0	0	0	59.7291	5.744478	56.201083	5.744478	6.548766E+14	0.000393	2542.350131	19.754372	1.087437	0	0
0	0	0	59.586907	5.77996	55.994377	5.77996	6.234656E+14	0.000394	2534.967364	19.96456	1.085017	0	0
0	0	0	59.440875	5.813172	55.783576	5.813172	5.925938E+14	0.000395	2533.615701	19.815025	1.085335	0	0
0	0	0	59.301255	5.844563	55.581789	5.844563	5.643477E+14	0.000395	2528.003627	19.911027	1.082558	0	0
0	0	0	59.155713	5.874425	55.372801	5.874425	5.361801E+14	0.000395	2528.212053	19.915956	1.082082	0	0
0	0	0	59.014092	5.902768	55.169475	5.902768	5.099788E+14	0.000396	2525.7821	19.836934	1.080179	0	0
0	0	0	58.872593	5.929021	54.967268	5.929021	4.849479E+14	0.000396	2527.255565	19.993758	1.078315	0	0
0	0	0	58.738404	5.953293	54.775566	5.953293	4.622331E+14	0.000396	2526.415409	19.793741	1.077085	0	0
0	0	0	58.597191	5.977095	54.574636	5.977095	4.393666E+14	0.000395	2528.900306	20.00735	1.074269	0	0
0	0	0	58.464595	5.998887	54.386026	5.998887	4.188299E+14	0.000395	2528.998523	19.798419	1.073793	0	0
0	0	0	58.325873	6.019994	54.189545	6.019994	3.982784E+14	0.000395	2533.293404	19.951831	1.070699	0	0
0	0	0	58.191602	6.040024	53.999356	6.040024	3.792633E+14	0.000395	2534.536558	19.85385	1.069867	0	0
0	0	0	58.056801	6.058789	53.809076	6.058789	3.61009E+14	0.000394	2538.90618	19.858661	1.067288	0	0
0	0	0	57.923592	6.076555	53.621336	6.076555	3.437631E+14	0.000393	2543.195576	19.92206	1.0659	0	0
0	0	0	57.792792	6.093732	53.436943	6.093732	3.275677E+14	0.000393	2544.03827	19.784524	1.063878	0	0
0	0	0	57.660972	6.109162	53.252233	6.109162	3.11959E+14	0.000392	2553.53096	19.973082	1.061775	0	0
0	0	0	57.529274	6.124333	53.067661	6.124333	2.970529E+14	0.000391	2560.028259	19.750777	1.06122	0	0
0	0	0	57.395779	6.138998	52.880883	6.138998	2.826188E+14	0.00039	2567.186072	19.964759	1.058246	0	0
0	0	0	57.270288	6.152384	52.705415	6.152384	2.696465E+14	0.000389	2572.447745	19.790366	1.057849	0	0
0	0	0	57.137937	6.165529	52.520894	6.165529	2.565672E+14	0.000387	2581.552942	19.907097	1.054716	0	0
