Vload_(V)	ILoad_(A)	RsLoad (ohm)	SunsVoc_Voltage_(V)	SunsVoc_Current_(A)	Model_Voltage_(V)	Model_Current_(A)	Carrier_Density_(cm-3)	Lifetime_(s)	Inverse_Lifetime_(s-1)	Efficiency_(%)	Intensity_(suns)	Dark_IV_Voltage_(V)	Dark_IV_Current_(A)
4.109987	9.000995	0	37.90932	-0.963208	38.178459	-0.963208	2.786904E+14	1.96296E-5	50943.33764	15.395093	1.107111	0	0
4.109039	9.001799	-0.466806	37.84769	-0.591126	38.013414	-0.591126	2.67994E+14	1.960842E-5	50998.38373	15.37021	1.106517	0	0
4.138576	9.001031	0.204344	37.742985	-0.020057	37.748639	-0.020057	2.507369E+14	1.950712E-5	51263.223539	15.384377	1.106557	0	0
4.269763	9.004084	-0.484259	37.621602	0.608549	37.448907	0.608549	2.320926E+14	1.940908E-5	51522.194712	15.357923	1.105804	0	0
5.492945	9.001353	-0.609024	37.50084	1.19188	37.160426	1.19188	2.14897E+14	1.931349E-5	51777.214342	15.371447	1.105052	0	0
7.284406	8.992207	1.791248	37.385142	1.705856	36.894939	1.705856	1.996005E+14	1.92026E-5	52076.214695	15.349662	1.104061	0	0
9.082296	8.992941	1.555791	37.271093	2.183845	36.639759	2.183845	1.855728E+14	1.910485E-5	52342.679898	15.360104	1.10319	0	0
11.231073	8.990091	1.436988	37.157421	2.626517	36.393587	2.626517	1.725594E+14	1.899879E-5	52634.878881	15.346694	1.102121	0	0
13.049772	8.977339	1.494001	37.044679	3.036854	36.156324	3.036854	1.605429E+14	1.889188E-5	52932.743937	15.364565	1.101328	0	0
14.858388	8.972026	1.352165	36.930451	3.428509	35.921591	3.428509	1.492113E+14	1.879251E-5	53212.659897	15.363054	1.100101	0	0
16.651618	8.944156	1.332365	36.81668	3.790121	35.694878	3.790121	1.387115E+14	1.868246E-5	53526.110493	15.382544	1.099546	0	0
18.459002	8.935419	1.165428	36.703906	4.124089	35.476207	4.124089	1.290257E+14	1.856795E-5	53856.201259	15.37692	1.098912	0	0
20.26358	8.932088	0.975528	36.592046	4.432626	35.264984	4.432626	1.200805E+14	1.844775E-5	54207.133151	15.390998	1.098516	0	0
22.071203	8.930555	0.778614	36.480579	4.722089	35.058877	4.722089	1.117782E+14	1.833396E-5	54543.569976	15.379408	1.098437	0	0
23.866996	8.923349	0.600762	36.369781	4.992924	34.858153	4.992924	1.0409E+14	1.82266E-5	54864.849146	15.395558	1.097922	0	0
25.670056	8.90169	0.456311	36.260306	5.245896	34.663386	5.245896	9.70092E+13	1.813108E-5	55153.902826	15.384656	1.097764	0	0
26.268793	8.882141	0.429956	36.149279	5.484363	34.470538	5.484363	9.031633E+13	1.802484E-5	55478.982775	15.390105	1.097566	0	0
26.861259	8.857676	0.405495	36.038171	5.707094	34.281642	5.707094	8.407774E+13	1.791441E-5	55820.966688	15.376798	1.096892	0	0
27.453064	8.822767	0.38669	35.929007	5.910714	34.100027	5.910714	7.836555E+13	1.779751E-5	56187.61505	15.377384	1.096813	0	0
28.037864	8.767393	0.38022	35.818977	6.101135	33.9209	6.101135	7.299843E+13	1.766723E-5	56601.944743	15.362276	1.096338	0	0
28.633384	8.700591	0.368184	35.71156	6.277754	33.748316	6.277754	6.811168E+13	1.755365E-5	56968.186066	15.361503	1.09614	0	0
29.218955	8.59925	0.366043	35.604977	6.439985	33.580594	6.439985	6.358459E+13	1.7425E-5	57388.806928	15.35729	1.095189	0	0
29.799158	8.480534	0.357044	35.499978	6.590238	33.417876	6.590238	5.941773E+13	1.729795E-5	57810.31587	15.359024	1.094793	0	0
30.379853	8.32476	0.349445	35.394309	6.730475	33.257122	6.730475	5.549872E+13	1.715496E-5	58292.184533	15.353299	1.09404	0	0
30.956747	8.124767	0.34262	35.292103	6.86149	33.102684	6.86149	5.195322E+13	1.704242E-5	58677.098346	15.365614	1.092892	0	0
31.529501	7.87502	0.33552	35.19122	6.983004	32.952351	6.983004	4.867495E+13	1.69285E-5	59071.973066	15.360602	1.091902	0	0
32.098581	7.564516	0.329691	35.090648	7.097862	32.804133	7.097862	4.561194E+13	1.68206E-5	59450.895342	15.361696	1.090674	0	0
32.665121	7.198184	0.322081	34.988344	7.206453	32.655674	7.206453	4.26932E+13	1.669695E-5	59891.166084	15.359714	1.089287	0	0
33.206557	6.754193	0.319153	34.886808	7.308577	32.509833	7.308577	3.998048E+13	1.657955E-5	60315.282287	15.367564	1.087584	0	0
33.742515	6.246998	0.315506	34.78635	7.404434	32.366926	7.404434	3.746573E+13	1.646952E-5	60718.227971	15.369191	1.085802	0	0
34.272365	5.664424	0.312271	34.687052	7.492766	32.227488	7.492766	3.513506E+13	1.634955E-5	61163.778204	15.363841	1.084693	0	0
34.794098	5.011511	0.309185	34.589796	7.575748	32.091824	7.575748	3.299255E+13	1.624643E-5	61551.972642	15.363632	1.08299	0	0
35.294374	4.30944	0.307894	34.492359	7.653574	31.957424	7.653574	3.097677E+13	1.613485E-5	61977.652393	15.360849	1.081762	0	0
35.784921	3.558756	0.307087	34.396001	7.726708	31.825559	7.726708	2.910415E+13	1.60295E-5	62384.987965	15.363687	1.080256	0	0
36.253913	2.77724	0.313144	34.301359	7.795136	31.69697	7.795136	2.737487E+13	1.593264E-5	62764.245913	15.368564	1.078949	0	0
36.691748	1.996025	0.324152	34.208561	7.860387	31.571317	7.860387	2.577891E+13	1.586209E-5	63043.400728	15.375402	1.077563	0	0
37.089363	1.251832	0.340282	34.117071	7.918858	31.449228	7.918858	2.429636E+13	1.575764E-5	63461.296966	15.370399	1.076692	0	0
37.417119	0.612174	0.372186	34.025173	7.974369	31.32752	7.974369	2.289286E+13	1.56502E-5	63896.93745	15.381827	1.075305	0	0
30.101313	8.399445	0.354924	33.933258	8.026845	31.206671	8.026845	2.157007E+13	1.554025E-5	64349.024959	15.372954	1.074632	0	0
37.745942	0	0	33.842421	8.076701	31.087779	8.076701	2.033778E+13	1.544278E-5	64755.189755	15.37859	1.073483	0	0
0	0	0	33.75178	8.123991	30.969848	8.123991	1.917822E+13	1.534755E-5	65156.97416	15.369853	1.072652	0	0
0	0	0	33.660926	8.168142	30.852628	8.168142	1.808219E+13	1.523754E-5	65627.390255	15.374732	1.071384	0	0
0	0	0	33.570008	8.210439	30.735854	8.210439	1.704798E+13	1.513466E-5	66073.519085	15.36538	1.070354	0	0
0	0	0	33.481131	8.250011	30.622204	8.250011	1.609413E+13	1.504074E-5	66486.097998	15.368469	1.068691	0	0
0	0	0	33.393365	8.287325	30.510483	8.287325	1.520452E+13	1.495229E-5	66879.36801	15.36103	1.067186	0	0
0	0	0	33.304521	8.322239	30.398287	8.322239	1.4354E+13	1.484197E-5	67376.487057	15.367039	1.065324	0	0
0	0	0	33.216445	8.355163	30.287559	8.355163	1.355775E+13	1.473331E-5	67873.42709	15.346713	1.064294	0	0
0	0	0	33.13041	8.386585	30.179574	8.386585	1.282257E+13	1.4647E-5	68273.362864	15.364025	1.062155	0	0
0	0	0	33.043559	8.415974	30.071303	8.415974	1.212081E+13	1.454094E-5	68771.361497	15.351051	1.06065	0	0
0	0	0	32.956806	8.443893	29.963587	8.443893	1.145814E+13	1.443483E-5	69276.86316	15.369475	1.058749	0	0
0	0	0	32.871147	8.470095	29.857644	8.470095	1.083936E+13	1.432923E-5	69787.436515	15.35819	1.057125	0	0
0	0	0	32.78668	8.494455	29.753635	8.494455	1.026189E+13	1.421825E-5	70332.12173	15.377994	1.054946	0	0
0	0	0	32.701789	8.518237	29.649293	8.518237	9.712493E+12	1.411997E-5	70821.658942	15.364586	1.053402	0	0
0	0	0	32.617878	8.540327	29.546604	8.540327	9.198328E+12	1.40137E-5	71358.765073	15.381467	1.051263	0	0
0	0	0	32.535682	8.561332	29.446188	8.561332	8.721053E+12	1.392136E-5	71832.054142	15.368256	1.049599	0	0
0	0	0	32.452425	8.581248	29.344915	8.581248	8.262838E+12	1.381575E-5	72381.170776	15.381426	1.047896	0	0
0	0	0	32.36951	8.600153	29.244347	8.600153	7.830423E+12	1.371022E-5	72938.307715	15.367102	1.046232	0	0
0	0	0	32.286073	8.618066	29.143502	8.618066	7.418111E+12	1.359587E-5	73551.763519	15.389474	1.04441	0	0
0	0	0	32.204138	8.635125	29.044623	8.635125	7.034346E+12	1.349366E-5	74108.890386	15.367198	1.043262	0	0
0	0	0	32.121322	8.651652	28.944899	8.651652	6.666611E+12	1.339323E-5	74664.593431	15.385578	1.0414	0	0
0	0	0	32.039796	8.66683	28.847091	8.66683	6.323378E+12	1.328068E-5	75297.356649	15.360809	1.040053	0	0
0	0	0	31.958318	8.681582	28.749459	8.681582	5.997999E+12	1.317912E-5	75877.61768	15.380624	1.038588	0	0
0	0	0	31.873558	8.695575	28.648355	8.695575	5.677257E+12	1.304587E-5	76652.601614	15.366467	1.036924	0	0
0	0	0	31.791885	8.708521	28.5511	8.708521	5.384426E+12	1.292066E-5	77395.446119	15.391558	1.034944	0	0
0	0	0	31.710375	8.721309	28.454057	8.721309	5.107234E+12	1.281585E-5	78028.392897	15.372346	1.033637	0	0
0	0	0	31.628604	8.73347	28.356921	8.73347	4.843486E+12	1.270651E-5	78699.831277	15.391379	1.031735	0	0
0	0	0	31.547747	8.744695	28.261143	8.744695	4.596078E+12	1.258551E-5	79456.46378	15.368969	1.030191	0	0
0	0	0	31.467332	8.755908	28.165841	8.755908	4.362552E+12	1.249258E-5	80047.539645	15.387781	1.028052	0	0
0	0	0	31.388207	8.7661	28.07236	8.7661	4.144353E+12	1.238269E-5	80757.866592	15.369762	1.02619	0	0
0	0	0	31.307775	8.776164	27.977423	8.776164	3.93373E+12	1.22795E-5	81436.521148	15.383626	1.024051	0	0
0	0	0	31.225988	8.78508	27.881362	8.78508	3.730526E+12	1.212604E-5	82467.119414	15.366206	1.022269	0	0
0	0	0	31.145442	8.794507	27.78649	8.794507	3.540665E+12	1.203436E-5	83095.37415	15.393807	1.019774	0	0
0	0	0	31.065712	8.803457	27.692704	8.803457	3.362245E+12	1.194569E-5	83712.227555	15.372615	1.017872	0	0
0	0	0	30.984921	8.811536	27.598028	8.811536	3.190616E+12	1.181928E-5	84607.522455	15.38768	1.015852	0	0
0	0	0	30.905192	8.819247	27.504677	8.819247	3.029831E+12	1.169989E-5	85470.913569	15.369201	1.01403	0	0
0	0	0	30.824793	8.827326	27.410406	8.827326	2.875898E+12	1.162206E-5	86043.266786	15.387769	1.011971	0	0
0	0	0	30.743397	8.834355	27.315393	8.834355	2.728019E+12	1.148949E-5	87036.047204	15.374426	1.010069	0	0
0	0	0	30.663358	8.841472	27.221866	8.841472	2.59002E+12	1.139494E-5	87758.246292	15.399818	1.007693	0	0
0	0	0	30.583743	8.847943	27.129055	8.847943	2.459678E+12	1.127901E-5	88660.259637	15.38534	1.00595	0	0
0	0	0	30.504748	8.854095	27.037058	8.854095	2.336834E+12	1.11645E-5	89569.64652	15.398389	1.004207	0	0
0	0	0	30.426783	8.85989	26.946354	8.85989	2.221606E+12	1.104985E-5	90498.944596	15.382779	1.002306	0	0
0	0	0	30.349488	8.865387	26.856513	8.865387	2.112978E+12	1.093558E-5	91444.651985	15.40215	1.000167	0	0
0	0	0	30.270542	8.870835	26.764807	8.870835	2.00751E+12	1.082461E-5	92382.081369	15.377219	0.9989	0	0
0	0	0	30.192414	8.875846	26.674187	8.875846	1.908317E+12	1.070177E-5	93442.509705	15.398623	0.996563	0	0
0	0	0	30.114187	8.880826	26.583457	8.880826	1.813909E+12	1.059391E-5	94393.862107	15.380807	0.994661	0	0
0	0	0	30.036385	8.885598	26.49328	8.885598	1.724645E+12	1.048912E-5	95336.907158	15.40393	0.992483	0	0
0	0	0	29.958485	8.889855	26.403186	8.889855	1.63967E+12	1.035423E-5	96578.860175	15.3774	0.991057	0	0
0	0	0	29.880471	8.89418	26.312926	8.89418	1.558765E+12	1.024192E-5	97637.976682	15.396103	0.988958	0	0
0	0	0	29.80115	8.898891	26.221016	8.898891	1.480597E+12	1.017721E-5	98258.801753	15.380132	0.986977	0	0
0	0	0	29.723479	8.902205	26.131532	8.902205	1.407854E+12	1.000183E-5	99981.723848	15.398587	0.984838	0	0
0	0	0	29.644387	8.905916	26.040266	8.905916	1.33745E+12	9.872475E-6	101291.725333	15.379383	0.982898	0	0
0	0	0	29.564543	8.909715	25.948103	8.909715	1.269948E+12	9.764364E-6	102413.22232	15.399687	0.980679	0	0
0	0	0	29.485042	8.913197	25.856449	8.913197	1.206121E+12	9.641399E-6	103719.385789	15.378158	0.978897	0	0
0	0	0	29.405003	8.916847	25.764106	8.916847	1.145102E+12	9.550665E-6	104704.746377	15.4019	0.97656	0	0
0	0	0	29.324865	8.919636	25.671995	8.919636	1.087099E+12	9.377662E-6	106636.392988	15.380796	0.974738	0	0
0	0	0	29.243192	8.922949	25.57792	8.922949	1.031008E+12	9.271368E-6	107858.942841	15.402589	0.97256	0	0
0	0	0	29.16276	8.925955	25.485372	8.925955	9.785975E+11	9.152551E-6	109259.150777	15.379031	0.970658	0	0
0	0	0	29.080417	8.928257	25.390938	8.928257	9.277006E+11	8.951207E-6	111716.778042	15.405618	0.96848	0	0
0	0	0	28.999626	8.931609	25.297824	8.931609	8.803364E+11	8.904495E-6	112302.831968	15.384111	0.966618	0	0
0	0	0	28.917495	8.934455	25.203392	8.934455	8.346647E+11	8.803713E-6	113588.44216	15.405116	0.964677	0	0
0	0	0	28.835299	8.936599	25.109172	8.936599	7.913288E+11	8.624402E-6	115950.071558	15.386849	0.962776	0	0
0	0	0	28.753104	8.939346	25.014694	8.939346	7.502427E+11	8.540951E-6	117082.984172	15.40731	0.960835	0	0
0	0	0	28.669307	8.941637	24.918583	8.941637	7.105516E+11	8.40137E-6	119028.206196	15.389366	0.959211	0	0
0	0	0	28.586098	8.943651	24.82325	8.943651	6.732168E+11	8.239474E-6	121366.964874	15.412855	0.957033	0	0
0	0	0	28.501763	8.945714	24.726611	8.945714	6.373776E+11	8.092007E-6	123578.733588	15.385766	0.955567	0	0
0	0	0	28.416594	8.948252	24.62882	8.948252	6.031201E+11	8.025502E-6	124602.796594	15.410322	0.95327	0	0
0	0	0	28.331392	8.950354	24.531171	8.950354	5.706918E+11	7.909228E-6	126434.587191	15.386344	0.951646	0	0
0	0	0	28.245423	8.952179	24.432762	8.952179	5.397381E+11	7.759882E-6	128867.944134	15.409966	0.949468	0	0
0	0	0	28.159046	8.954232	24.333787	8.954232	5.10328E+11	7.659223E-6	130561.54799	15.387103	0.947844	0	0
0	0	0	28.066281	8.955514	24.227884	8.955514	4.805255E+11	7.415147E-6	134859.091237	15.408189	0.945546	0	0
0	0	0	27.978156	8.957379	24.126995	8.957379	4.538269E+11	7.30259E-6	136937.712095	15.385824	0.943883	0	0
0	0	0	27.887548	8.958838	24.023456	8.958838	4.27922E+11	7.124023E-6	140370.134966	15.403888	0.941427	0	0
0	0	0	27.800353	8.960444	23.923727	8.960444	4.043902E+11	6.998942E-6	142878.729259	15.387061	0.939645	0	0
0	0	0	27.712244	8.961763	23.82308	8.961763	3.819257E+11	6.832408E-6	146361.284942	15.397348	0.937743	0	0
0	0	0	27.623645	8.9633	23.721777	8.9633	3.605945E+11	6.713855E-6	148945.718894	15.383808	0.935882	0	0
0	0	0	27.534703	8.964639	23.620167	8.964639	3.403789E+11	6.570898E-6	152186.206759	15.403188	0.933743	0	0
0	0	0	27.441236	8.966236	23.513301	8.966236	3.20355E+11	6.468464E-6	154596.218707	15.388283	0.931921	0	0
0	0	0	27.350203	8.967595	23.4093	8.967595	3.019854E+11	6.345595E-6	157589.645414	15.407381	0.929465	0	0
0	0	0	27.258664	8.968963	23.304716	8.968963	2.845756E+11	6.235215E-6	160379.389248	15.383531	0.927841	0	0
0	0	0	27.166749	8.970143	23.199784	8.970143	2.681041E+11	6.098982E-6	163961.79266	15.395165	0.925861	0	0
0	0	0	27.075177	8.971036	23.095366	8.971036	2.526422E+11	5.918491E-6	168961.997442	15.380474	0.924237	0	0
0	0	0	26.9814	8.972176	22.98833	8.972176	2.377317E+11	5.789568E-6	172724.449285	15.396419	0.922019	0	0
0	0	0	26.886283	8.973366	22.879748	8.973366	2.235069E+11	5.677562E-6	176131.929032	15.382851	0.920276	0	0
0	0	0	26.788766	8.974001	22.768682	8.974001	2.098062E+11	5.454967E-6	183319.170113	15.395971	0.918256	0	0
0	0	0	26.691346	8.97528	22.657437	8.97528	1.969578E+11	5.375611E-6	186025.372082	15.385823	0.916275	0	0
0	0	0	26.593354	8.976252	22.545677	8.976252	1.848277E+11	5.242685E-6	190741.97044	15.393257	0.914532	0	0
0	0	0	26.493517	8.976937	22.431947	8.976937	1.73237E+11	5.053746E-6	197873.03644	15.375461	0.912829	0	0
0	0	0	26.393239	8.978027	22.31753	8.978027	1.623268E+11	4.960301E-6	201600.671873	15.388104	0.910849	0	0
0	0	0	26.293761	8.97886	22.204136	8.97886	1.521827E+11	4.8253E-6	207241.012063	15.373554	0.909146	0	0
0	0	0	26.191473	8.979663	22.087561	8.979663	1.424127E+11	4.685536E-6	213422.754877	15.386562	0.907284	0	0
0	0	0	26.088108	8.980536	21.969728	8.980536	1.331767E+11	4.568504E-6	218890.02228	15.378657	0.905581	0	0
0	0	0	25.982472	8.98125	21.849384	8.98125	1.243565E+11	4.420174E-6	226235.419131	15.384306	0.903719	0	0
0	0	0	25.875954	8.981894	21.728069	8.981894	1.160539E+11	4.264263E-6	234507.086188	15.377142	0.901818	0	0
0	0	0	25.767002	8.982806	21.603862	8.982806	1.081348E+11	4.172499E-6	239664.55512	15.382448	0.899996	0	0
0	0	0	25.655665	8.983183	21.477191	8.983183	1.006004E+11	3.963969E-6	252272.42224	15.37225	0.898491	0	0
0	0	0	25.541959	8.984254	21.347504	8.984254	9.344718E+10	3.917537E-6	255262.405146	15.381169	0.89655	0	0
0	0	0	25.426375	8.984839	21.215907	8.984839	8.669691E+10	3.766176E-6	265521.29172	15.372324	0.894847	0	0
0	0	0	25.308962	8.985453	21.082215	8.985453	8.033885E+10	3.628028E-6	275631.849045	15.38106	0.893064	0	0
0	0	0	25.189197	8.986048	20.945858	8.986048	7.433355E+10	3.490444E-6	286496.481178	15.371295	0.891322	0	0
0	0	0	25.06819	8.986396	20.808205	8.986396	6.872178E+10	3.303687E-6	302692.079057	15.385975	0.889183	0	0
0	0	0	24.944879	8.986931	20.667845	8.986931	6.343882E+10	3.165815E-6	315874.390768	15.370778	0.887757	0	0
