Vload_(V)	ILoad_(A)	RsLoad (ohm)	SunsVoc_Voltage_(V)	SunsVoc_Current_(A)	Model_Voltage_(V)	Model_Current_(A)	Carrier_Density_(cm-3)	Lifetime_(s)	Inverse_Lifetime_(s-1)	Efficiency_(%)	Intensity_(suns)	Dark_IV_Voltage_(V)	Dark_IV_Current_(A)
4.370496	9.589672	0	38.951316	-1.116826	39.323954	-1.116826	7.782462E+14	4.97084E-5	20116.31774	16.632832	1.10942	0	0
4.378266	9.589176	0.885531	38.891776	-0.695109	39.123717	-0.695109	7.510463E+14	4.993808E-5	20023.861331	16.635556	1.108667	0	0
4.454891	9.589941	-0.191243	38.796512	-0.096867	38.828837	-0.096867	7.093572E+14	5.007911E-5	19967.570432	16.641352	1.108469	0	0
5.787951	9.584088	1.769286	38.683967	0.560622	38.496865	0.560622	6.628868E+14	5.020622E-5	19917.119776	16.620773	1.107835	0	0
8.197775	9.561184	2.065837	38.569902	1.183469	38.174892	1.183469	6.187063E+14	5.033208E-5	19867.408702	16.630771	1.107241	0	0
10.855972	9.560423	1.795269	38.45948	1.747717	37.87608	1.747717	5.785825E+14	5.045465E-5	19819.224814	16.60004	1.106132	0	0
13.289818	9.559182	1.552404	38.34713	2.282849	37.585023	2.282849	5.402827E+14	5.056531E-5	19775.918083	16.622698	1.104983	0	0
15.694521	9.554247	1.340934	38.237541	2.767968	37.31339	2.767968	5.052423E+14	5.064855E-5	19743.478319	16.587815	1.103637	0	0
18.106429	9.540303	1.170454	38.129651	3.213705	37.056575	3.213705	4.728575E+14	5.071594E-5	19717.296149	16.621567	1.102765	0	0
20.515844	9.532805	0.951256	38.022463	3.627119	36.811228	3.627119	4.426447E+14	5.076721E-5	19697.429797	16.580704	1.101696	0	0
22.925778	9.520239	0.74417	37.914507	4.010111	36.575246	4.010111	4.140815E+14	5.075117E-5	19703.695582	16.6278	1.100983	0	0
25.327585	9.520683	0.4904	37.808055	4.365421	36.349989	4.365421	3.876469E+14	5.074258E-5	19707.065521	16.586974	1.100072	0	0
27.725854	9.492529	0.313888	37.699576	4.702639	36.128725	4.702639	3.623774E+14	5.070794E-5	19720.558692	16.642952	1.099478	0	0
28.632337	9.440521	0.310618	37.591376	5.018546	35.914836	5.018546	3.387534E+14	5.067815E-5	19732.180757	16.596341	1.098765	0	0
29.524506	9.339663	0.323534	37.482587	5.315881	35.706543	5.315881	3.165001E+14	5.064316E-5	19745.838512	16.660765	1.098289	0	0
30.401457	9.179556	0.332545	37.374125	5.590346	35.506199	5.590346	2.957217E+14	5.056577E-5	19776.080489	16.600512	1.097695	0	0
31.272684	8.943636	0.334981	37.268277	5.843813	35.315471	5.843813	2.767197E+14	5.051831E-5	19794.674888	16.665132	1.096864	0	0
