Vload_(V)	ILoad_(A)	RsLoad (ohm)	SunsVoc_Voltage_(V)	SunsVoc_Current_(A)	Model_Voltage_(V)	Model_Current_(A)	Carrier_Density_(cm-3)	Lifetime_(s)	Inverse_Lifetime_(s-1)	Efficiency_(%)	Intensity_(suns)	Dark_IV_Voltage_(V)	Dark_IV_Current_(A)
2.983519	6.402861	0	65.826275	-0.825242	66.067691	-0.825242	4.641779E+15	0.00027	3673.729582	19.901022	1.110894	0	0
2.983361	6.403213	-0.043364	65.825376	-0.697981	66.029592	-0.697981	4.640812E+15	0.000274	3609.19294	20.043242	1.109191	0	0
5.248226	6.403616	-0.835325	65.688819	-0.261609	65.766992	-0.261609	4.495885E+15	0.000283	3497.672472	19.97925	1.110062	0	0
8.250428	6.402144	1.66068	65.503176	0.205988	65.439877	0.205988	4.305326E+15	0.000292	3398.026382	19.96733	1.108438	0	0
11.318329	6.393098	5.396687	65.326884	0.619119	65.131649	0.619119	4.131036E+15	0.0003	3306.894959	20.056823	1.107765	0	0
14.129783	6.39213	5.0484	65.148877	1.006409	64.823333	1.006409	3.961413E+15	0.000308	3219.088543	19.903982	1.106894	0	0
16.866919	6.388578	4.857317	64.972014	1.370019	64.517789	1.370019	3.798992E+15	0.000317	3131.918544	20.071273	1.104715	0	0
19.715143	6.382158	4.658078	64.7956	1.705344	64.216462	1.705344	3.642845E+15	0.000326	3049.84017	19.880496	1.105072	0	0
22.615694	6.381077	4.235256	64.617062	2.015813	63.916055	2.015813	3.490574E+15	0.000334	2973.765684	20.006504	1.102378	0	0
25.569759	6.382156	3.740811	64.443711	2.301546	63.625121	2.301546	3.348077E+15	0.000343	2899.509307	19.920012	1.103012	0	0
28.863142	6.303046	4.043687	64.271421	2.563932	63.339339	2.563932	3.2115E+15	0.000351	2830.467485	19.891732	1.101467	0	0
31.784721	6.291081	3.637222	64.098111	2.806032	63.05581	2.806032	3.079021E+15	0.000359	2767.063591	19.964674	1.100992	0	0
34.706546	6.287128	3.190108	63.929007	3.031483	62.779555	3.031483	2.954344E+15	0.000368	2703.961927	19.807294	1.100873	0	0
37.62786	6.286091	2.729991	63.757616	3.243598	62.502352	3.243598	2.832452E+15	0.000376	2643.723404	19.987508	1.099407	0	0
40.495207	6.27833	2.305595	63.587694	3.444701	62.227878	3.444701	2.715903E+15	0.000385	2582.427156	19.830829	1.100596	0	0
43.113146	6.358952	1.393836	63.416998	3.63569	61.953449	3.63569	2.602991E+15	0.000395	2521.187893	19.964655	1.099011	0	0
