Vload_(V)	ILoad_(A)	RsLoad (ohm)	SunsVoc_Voltage_(V)	SunsVoc_Current_(A)	Model_Voltage_(V)	Model_Current_(A)	Carrier_Density_(cm-3)	Lifetime_(s)	Inverse_Lifetime_(s-1)	Efficiency_(%)	Intensity_(suns)	Dark_IV_Voltage_(V)	Dark_IV_Current_(A)
0.448314	9.713328	0	-2.37032	-0.981809	0	-0.981809	1279	8.392981E-17	1.191472E+16	0	0	0	0
3.83961	9.671565	0	-2.380872	-0.710688	0	-0.710688	1271	8.557413E-17	1.168577E+16	0	0	0	0
3.850361	9.670443	0	-2.359262	-0.016006	0	-0.016006	1288	9.29105E-17	1.076305E+16	0	0	0	0
3.725557	9.668287	0	-2.352515	0.645375	0	0.645375	1294	1.001514E-16	9.984882E+15	0	0	0	0
-2.365149	0	0	-2.355586	1.262191	0	1.262191	1292	1.07295E-16	9.3201E+15	0	0	0	0
0	0	0	-2.336932	1.837808	0	1.837808	1307	1.164738E-16	8.585619E+15	0	0	0	0
0	0	0	-2.325384	2.375422	0	2.375422	1317	1.259638E-16	7.93879E+15	0	0	0	0
0	0	0	-2.320467	2.877801	0	2.877801	1321	1.356322E-16	7.37288E+15	0	0	0	0
0	0	0	-2.287487	3.321272	0	3.321272	1350	1.482263E-16	6.746441E+15	0	0	0	0
0	0	0	-2.289268	3.727157	0	3.727157	1348	1.580421E-16	6.327428E+15	0	0	0	0
0	0	0	-2.284645	4.109145	0	4.109145	1353	1.694406E-16	5.901772E+15	0	0	0	0
0	0	0	-2.283583	4.467441	0	4.467441	1353	1.810135E-16	5.524451E+15	0	0	0	0
0	0	0	-2.263655	4.803571	0	4.803571	1371	1.95979E-16	5.102588E+15	0	0	0	0
0	0	0	-2.236294	5.119556	0	5.119556	1395	2.131262E-16	4.692056E+15	0	0	0	0
0	0	0	-2.237095	5.419553	0	5.419553	1395	2.280169E-16	4.38564E+15	0	0	0	0
0	0	0	-2.20191	5.691786	0	5.691786	1427	2.490367E-16	4.015472E+15	0	0	0	0
0	0	0	-2.215059	5.941115	0	5.941115	1415	2.632645E-16	3.798461E+15	0	0	0	0
0	0	0	-2.22143	6.171016	0	6.171016	1409	2.791619E-16	3.58215E+15	0	0	0	0
0	0	0	-2.193334	6.383978	0	6.383978	1435	3.024993E-16	3.305792E+15	0	0	0	0
0	0	0	-2.177294	6.583067	0	6.583067	1450	3.251019E-16	3.075958E+15	0	0	0	0
0	0	0	-2.157463	6.767826	0	6.767826	1469	3.500213E-16	2.856969E+15	0	0	0	0
0	0	0	-2.162527	6.94054	0	6.94054	1464	3.705582E-16	2.698632E+15	0	0	0	0
