Vload_(V)	ILoad_(A)	RsLoad (ohm)	SunsVoc_Voltage_(V)	SunsVoc_Current_(A)	Model_Voltage_(V)	Model_Current_(A)	Carrier_Density_(cm-3)	Lifetime_(s)	Inverse_Lifetime_(s-1)	Efficiency_(%)	Intensity_(suns)	Dark_IV_Voltage_(V)	Dark_IV_Current_(A)
4.279274	8.946022	0	37.929358	-0.76781	38.128972	-0.76781	2.822573E+14	2.039326E-5	49035.666983	15.289204	1.087153	0	0
4.287382	8.948129	-0.500356	37.879538	-0.465126	38.000999	-0.465126	2.734703E+14	2.039387E-5	49034.228995	15.25136	1.086058	0	0
4.30937	8.944882	1.427984	37.781203	0.077085	37.760897	0.077085	2.569058E+14	2.032986E-5	49188.611445	15.232501	1.084093	0	0
4.455384	8.949065	-0.518958	37.663185	0.675192	37.483469	0.675192	2.383212E+14	2.0223E-5	49448.543876	15.272882	1.08127	0	0
5.516253	8.938557	1.986385	37.540578	1.260368	37.201508	1.260368	2.204124E+14	2.012738E-5	49683.489474	15.271044	1.08036	0	0
7.307368	8.921656	2.176243	37.422707	1.781557	36.93854	1.781557	2.044456E+14	2.002747E-5	49931.342495	15.264558	1.079964	0	0
9.168706	8.883748	2.22382	37.302762	2.274127	36.678384	2.274127	1.893675E+14	1.991995E-5	50200.871086	15.2657	1.078289	0	0
11.074079	8.876129	2.038418	37.185136	2.729117	36.428369	2.729117	1.756468E+14	1.982887E-5	50431.462407	15.224888	1.077405	0	0
12.890965	8.872818	1.845279	37.071447	3.137664	36.193093	3.137664	1.633189E+14	1.9734E-5	50673.917831	15.257056	1.074305	0	0
14.687546	8.871341	1.647527	36.957251	3.517698	35.963165	3.517698	1.517968E+14	1.962587E-5	50953.111586	15.252732	1.070599	0	0
16.499448	8.869904	1.448097	36.846405	3.864511	35.744343	3.864511	1.413821E+14	1.952691E-5	51211.340548	15.227903	1.066945	0	0
18.302546	8.865643	1.257718	36.733924	4.188966	35.528374	4.188966	1.315365E+14	1.940619E-5	51529.930261	15.261256	1.062684	0	0
20.099651	8.863109	1.062371	36.623698	4.490098	35.319969	4.490098	1.225474E+14	1.930183E-5	51808.532043	15.255503	1.05965	0	0
21.910437	8.859357	0.868631	36.513782	4.770445	35.116453	4.770445	1.141899E+14	1.919302E-5	52102.255561	15.25058	1.057052	0	0
23.717183	8.861891	0.657752	36.404977	5.031497	34.918445	5.031497	1.064736E+14	1.908952E-5	52384.7373	15.265596	1.052607	0	0
25.516053	8.839004	0.510507	36.296189	5.27598	34.724071	5.27598	9.927578E+13	1.898473E-5	52673.905795	15.225297	1.049045	0	0
26.111295	8.825036	0.47118	36.188543	5.505878	34.534132	5.505878	9.262914E+13	1.889744E-5	52917.192385	15.254962	1.043743	0	0
26.707126	8.804429	0.439009	36.082613	5.715596	34.351099	5.715596	8.652002E+13	1.879702E-5	53199.92275	15.268266	1.038361	0	0
27.302055	8.767377	0.423206	35.977043	5.911607	34.171627	5.911607	8.082996E+13	1.869517E-5	53489.739775	15.247746	1.033968	0	0
27.890984	8.719188	0.408879	35.871014	6.094815	33.994612	6.094815	7.548962E+13	1.858192E-5	53815.750879	15.276516	1.028587	0	0
28.482538	8.65192	0.398875	35.765705	6.264162	33.821818	6.264162	7.053283E+13	1.845811E-5	54176.70759	15.261167	1.024075	0	0
29.064807	8.566252	0.38833	35.663156	6.42247	33.654819	6.42247	6.601731E+13	1.836021E-5	54465.600376	15.262862	1.019485	0	0
29.64134	8.454683	0.379206	35.561114	6.568906	33.49139	6.568906	6.180965E+13	1.824896E-5	54797.640332	15.287383	1.013734	0	0
30.226269	8.314184	0.368018	35.4593	6.705106	33.330779	6.705106	5.787749E+13	1.812659E-5	55167.557161	15.262237	1.008563	0	0
30.794091	8.138192	0.358304	35.356686	6.833589	33.171063	6.833589	5.41664E+13	1.799613E-5	55567.495595	15.271136	1.002799	0	0
31.372677	7.910689	0.348827	35.255574	6.954361	33.014965	6.954361	5.074154E+13	1.788052E-5	55926.767184	15.298713	0.996454	0	0
31.946555	7.632531	0.33898	35.156211	7.067756	32.862727	7.067756	4.758613E+13	1.778097E-5	56239.89728	15.270236	0.99189	0	0
32.50448	7.294965	0.331553	35.059281	7.172624	32.715592	7.172624	4.46965E+13	1.768885E-5	56532.800149	15.299183	0.985902	0	0
