Vload_(V)	ILoad_(A)	RsLoad (ohm)	SunsVoc_Voltage_(V)	SunsVoc_Current_(A)	Model_Voltage_(V)	Model_Current_(A)	Carrier_Density_(cm-3)	Lifetime_(s)	Inverse_Lifetime_(s-1)	Efficiency_(%)	Intensity_(suns)	Dark_IV_Voltage_(V)	Dark_IV_Current_(A)
2.919791	5.967531	0	51.838244	-0.379232	52.022036	-0.379232	7.308832E+15	0.000512	1863.398369	19.276467	1.103526	0	0
2.828125	5.968121	2.084599	52.378104	-0.655557	52.673448	-0.655557	8.864345E+15	0.000595	1549.162641	19.550177	1.096046	0	0
3.111405	5.968219	1.469586	52.465821	-0.423782	52.654396	-0.423782	9.141466E+15	0.000636	1432.967372	19.289563	1.10127	0	0
6.345036	5.964921	4.055168	52.416164	-0.053766	52.440257	-0.053766	8.983707E+15	0.000664	1372.725079	19.424118	1.096323	0	0
10.490732	5.943578	4.872692	52.3135	0.338568	52.159585	0.338568	8.66478E+15	0.000685	1335.739451	19.332626	1.097867	0	0
13.88159	5.936659	4.443587	52.190786	0.69477	51.869551	0.69477	8.296054E+15	0.0007	1314.508726	19.231792	1.098065	0	0
17.638886	5.934011	3.855022	52.067052	1.021461	51.586778	1.021461	7.937632E+15	0.000714	1296.162012	19.353653	1.094384	0	0
21.220956	5.928921	3.325803	51.944705	1.322933	51.312455	1.322933	7.596029E+15	0.000728	1278.746031	19.067573	1.098975	0	0
24.82757	5.915914	2.863157	51.817581	1.613235	51.03363	1.613235	7.25415E+15	0.000741	1261.992362	19.33077	1.091891	0	0
28.399029	5.906234	2.343837	51.692417	1.89145	50.758306	1.89145	6.930147E+15	0.000756	1242.460724	18.982235	1.098302	0	0
32.029901	5.901511	1.76528	51.559371	2.158154	50.475399	2.158154	6.599018E+15	0.000771	1225.3887	19.237948	1.09106	0	0
35.613821	5.886281	1.254984	51.423385	2.401557	50.19652	2.401557	6.274252E+15	0.000783	1212.291105	18.964653	1.096957	0	0
36.653267	5.882637	1.098568	51.293647	2.626186	49.930495	2.626186	5.976875E+15	0.000796	1197.421693	19.088872	1.092841	0	0
37.718594	5.858794	1.028022	51.166523	2.833451	49.673022	2.833451	5.696915E+15	0.000809	1182.818981	19.000174	1.094345	0	0
38.789654	5.826398	0.959383	51.041032	3.028617	49.420641	3.028617	5.431298E+15	0.000822	1167.428443	18.947534	1.094226	0	0
39.844295	5.770602	0.924146	50.90864	3.209465	49.164635	3.209465	5.162278E+15	0.000833	1156.796148	19.071023	1.091179	0	0
40.906817	5.700785	0.873594	50.785763	3.374857	48.925677	3.374857	4.922564E+15	0.000845	1143.766739	18.832607	1.095295	0	0
41.962357	5.603855	0.825765	50.657944	3.531738	48.682862	3.531738	4.683075E+15	0.000855	1132.827775	19.11875	1.08833	0	0
43.018304	5.476477	0.774146	50.539886	3.67418	48.45773	3.67418	4.470537E+15	0.000867	1120.018986	18.80285	1.095097	0	0
44.070064	5.301089	0.727619	50.414191	3.810451	48.224541	3.810451	4.253113E+15	0.000877	1110.094469	19.089854	1.086945	0	0
45.084729	5.063379	0.690501	50.290374	3.93522	47.998233	3.93522	4.047601E+15	0.000886	1101.519702	18.837976	1.091773	0	0
46.067229	4.752119	0.660915	50.170274	4.051576	47.779606	4.051576	3.856217E+15	0.000895	1092.218622	19.006891	1.085916	0	0
47.031366	4.359515	0.632972	50.047682	4.162069	47.559571	4.162069	3.6687E+15	0.000904	1083.945369	18.911805	1.087182	0	0
48.019193	3.832066	0.613643	49.925499	4.266804	47.341828	4.266804	3.489442E+15	0.000913	1075.434459	18.88829	1.085797	0	0
48.918511	3.251777	0.596342	49.799723	4.364899	47.121955	4.364899	3.312622E+15	0.000919	1069.345358	18.998211	1.082117	0	0
49.786894	2.567475	0.596907	49.679418	4.453814	46.91324	4.453814	3.150584E+15	0.000926	1063.577199	18.769573	1.085283	0	0
50.591722	1.854213	0.615939	49.557439	4.541048	46.702075	4.541048	2.993141E+15	0.000933	1056.478333	19.023906	1.077804	0	0
51.322035	1.136855	0.617151	49.438809	4.621019	46.498514	4.621019	2.84643E+15	0.00094	1049.962896	18.712629	1.082948	0	0
42.557559	5.534111	0.799016	49.319607	4.695828	46.296336	4.695828	2.705176E+15	0.000946	1044.626274	19.003155	1.07444	0	0
52.271529	0	0	49.197505	4.76581	46.092401	4.76581	2.566688E+15	0.00095	1041.564701	18.719542	1.079228	0	0
0	0	0	49.086021	4.827272	45.906861	4.827272	2.44555E+15	0.000954	1038.210787	18.892832	1.073016	0	0
0	0	0	48.966166	4.889902	45.708719	4.889902	2.320785E+15	0.000958	1034.881251	18.766324	1.07448	0	0
0	0	0	48.851007	4.94676	45.519681	4.94676	2.206077E+15	0.000961	1032.080435	18.75027	1.072739	0	0
0	0	0	48.736624	5.001747	45.332109	5.001747	2.096992E+15	0.000966	1028.021357	18.839395	1.069336	0	0
0	0	0	48.615911	5.054184	45.137146	5.054184	1.98694E+15	0.000968	1026.785849	18.638785	1.071947	0	0
0	0	0	48.506142	5.101592	44.959355	5.101592	1.891236E+15	0.000972	1023.342433	18.897915	1.064864	0	0
0	0	0	48.389594	5.147002	44.773326	5.147002	1.794023E+15	0.000973	1022.811123	18.590559	1.0708	0	0
0	0	0	48.277784	5.189313	44.595117	5.189313	1.70488E+15	0.000975	1021.297717	18.887581	1.062569	0	0
0	0	0	48.164176	5.228352	44.416266	5.228352	1.618295E+15	0.000974	1022.448129	18.605859	1.068069	0	0
0	0	0	48.051467	5.265677	44.239292	5.265677	1.536231E+15	0.000974	1023.110112	18.818219	1.061105	0	0
0	0	0	47.939371	5.300694	44.064292	5.300694	1.45827E+15	0.000973	1024.422961	18.696073	1.063123	0	0
0	0	0	47.830786	5.33322	43.89533	5.33322	1.386109E+15	0.000972	1025.529943	18.731209	1.06063	0	0
0	0	0	47.713667	5.365488	43.714685	5.365488	1.311845E+15	0.000969	1028.804804	18.813348	1.05786	0	0
0	0	0	47.60643	5.394766	43.549065	5.394766	1.246978E+15	0.000968	1029.965371	18.636374	1.059878	0	0
0	0	0	47.492782	5.423817	43.374611	5.423817	1.181378E+15	0.000967	1032.285892	18.882192	1.052834	0	0
0	0	0	47.379583	5.451019	43.201761	5.451019	1.119135E+15	0.000964	1035.425264	18.587553	1.057662	0	0
0	0	0	47.267854	5.476561	43.031784	5.476561	1.060614E+15	0.000961	1038.746357	18.896968	1.048719	0	0
0	0	0	47.155145	5.501107	42.860904	5.501107	1.004399E+15	0.000958	1042.243966	18.605683	1.053784	0	0
0	0	0	47.046438	5.523464	42.696797	5.523464	9.527572E+14	0.000954	1046.245462	18.836903	1.046463	0	0
0	0	0	46.935118	5.545222	42.529329	5.545222	9.023924E+14	0.000951	1050.674528	18.664441	1.048758	0	0
0	0	0	46.82298	5.565765	42.361426	5.565765	8.541311E+14	0.000946	1056.192188	18.705122	1.045315	0	0
0	0	0	46.717622	5.584516	42.203851	5.584516	8.109575E+14	0.000942	1060.627846	18.750685	1.042783	0	0
0	0	0	46.604341	5.602796	42.035683	5.602796	7.667865E+14	0.000935	1068.313311	18.602179	1.044128	0	0
0	0	0	46.496328	5.620423	41.87493	5.620423	7.267503E+14	0.000931	1072.795674	18.8257	1.037441	0	0
0	0	0	46.388561	5.636505	41.715549	5.636505	6.88744E+14	0.000926	1079.641502	18.542472	1.042189	0	0
0	0	0	46.277608	5.652085	41.552046	5.652085	6.515519E+14	0.000919	1087.644503	18.839668	1.0338	0	0
0	0	0	46.16935	5.666328	41.393111	5.666328	6.170766E+14	0.000911	1096.635556	18.529221	1.039221	0	0
0	0	0	46.066197	5.680401	41.241064	5.680401	5.858216E+14	0.000908	1101.236374	18.788225	1.031267	0	0
0	0	0	45.952834	5.693766	41.075555	5.693766	5.531895E+14	0.000899	1111.979761	18.595538	1.034473	0	0
0	0	0	45.848946	5.705832	40.923869	5.705832	5.247938E+14	0.000892	1120.541703	18.695524	1.030041	0	0
0	0	0	45.738156	5.718019	40.762523	5.718019	4.9603E+14	0.000884	1130.363403	18.710883	1.028735	0	0
0	0	0	45.632308	5.729579	40.608287	5.729579	4.699476E+14	0.000879	1137.869812	18.593395	1.029447	0	0
0	0	0	45.524132	5.740095	40.451646	5.740095	4.446389E+14	0.00087	1149.526641	18.795081	1.023511	0	0
0	0	0	45.415629	5.750427	40.294581	5.750427	4.20559E+14	0.000862	1160.174439	18.519342	1.027904	0	0
0	0	0	45.30831	5.759973	40.139694	5.759973	3.979679E+14	0.000853	1172.158619	18.841328	1.018763	0	0
0	0	0	45.202094	5.769156	39.98651	5.769156	3.767532E+14	0.000845	1183.410032	18.540455	1.02367	0	0
0	0	0	45.088569	5.77835	39.823214	5.77835	3.552769E+14	0.000835	1196.81022	18.810911	1.015716	0	0
0	0	0	44.982884	5.786877	39.671107	5.786877	3.363433E+14	0.000828	1207.225871	18.586266	1.019198	0	0
0	0	0	44.872135	5.794932	39.512404	5.794932	3.175446E+14	0.000818	1221.704677	18.701325	1.013895	0	0
0	0	0	44.762734	5.802861	39.355547	5.802861	2.999706E+14	0.00081	1233.883163	18.66859	1.012867	0	0
0	0	0	44.657293	5.809741	39.204982	5.809741	2.839234E+14	0.0008	1249.177112	18.598057	1.012154	0	0
0	0	0	44.545565	5.816837	39.045519	5.816837	2.678255E+14	0.000791	1264.718751	18.770859	1.006298	0	0
0	0	0	44.438409	5.823367	38.892753	5.823367	2.532189E+14	0.000781	1279.724567	18.521856	1.00978	0	0
0	0	0	44.330152	5.829562	38.738711	5.829562	2.392479E+14	0.000771	1296.264192	18.813208	1.001312	0	0
0	0	0	44.218627	5.835903	38.579971	5.835903	2.256392E+14	0.000763	1311.286701	18.482071	1.006535	0	0
