Vload_(V)	ILoad_(A)	RsLoad (ohm)	SunsVoc_Voltage_(V)	SunsVoc_Current_(A)	Model_Voltage_(V)	Model_Current_(A)	Carrier_Density_(cm-3)	Lifetime_(s)	Inverse_Lifetime_(s-1)	Efficiency_(%)	Intensity_(suns)	Dark_IV_Voltage_(V)	Dark_IV_Current_(A)
4.716547	9.422901	0	38.929855	-1.198324	39.334695	-1.198324	8.028466E+14	5.169139E-5	19344.512542	15.996363	1.101864	0	0
4.719043	9.441368	-0.507336	38.907575	-0.880214	39.204958	-0.880214	7.923039E+14	5.258762E-5	19014.84198	16.003072	1.099556	0	0
4.779438	9.437465	-0.514124	38.772569	-0.159131	38.826347	-0.159131	7.311096E+14	5.217772E-5	19164.381407	15.950115	1.097551	0	0
5.819922	9.437471	-0.624374	38.635048	0.516359	38.460493	0.516359	6.733055E+14	5.169675E-5	19342.823941	15.991259	1.094689	0	0
8.201664	9.434798	-0.877115	38.499748	1.134812	38.116015	1.134812	6.206153E+14	5.120688E-5	19527.987025	15.993234	1.093647	0	0
10.791323	9.422789	0.526654	38.366392	1.696235	37.792654	1.696235	5.724793E+14	5.066731E-5	19736.047578	15.989824	1.093	0	0
13.224059	9.419815	0.87926	38.234032	2.215425	37.484472	2.215425	5.281901E+14	5.011495E-5	19953.663792	15.989997	1.090877	0	0
15.636212	9.409566	1.052204	38.102212	2.697871	37.189167	2.697871	4.873098E+14	4.955314E-5	20179.961604	15.948114	1.089017	0	0
18.05286	9.3932	1.007103	37.971192	3.143928	36.906892	3.143928	4.496607E+14	4.897298E-5	20419.086778	15.982196	1.085363	0	0
20.459817	9.385663	0.805741	37.839567	3.562758	36.633147	3.562758	4.146331E+14	4.838559E-5	20667.025913	15.978341	1.081129	0	0
22.878691	9.380176	0.580962	37.708368	3.946307	36.371698	3.946307	3.823188E+14	4.773922E-5	20946.894093	15.96515	1.077409	0	0
25.281986	9.373019	0.360782	37.579553	4.303024	36.121661	4.303024	3.52946E+14	4.714211E-5	21212.251893	15.990695	1.072423	0	0
27.669858	9.291865	0.318105	37.450558	4.636819	35.879146	4.636819	3.257098E+14	4.653835E-5	21487.476814	15.954117	1.069983	0	0
28.567577	9.206564	0.328575	37.322805	4.942917	35.647203	4.942917	3.007364E+14	4.590604E-5	21783.476305	16.003445	1.065445	0	0
29.462068	9.067694	0.339016	37.197257	5.228563	35.424353	5.228563	2.780004E+14	4.532547E-5	22062.524454	15.965025	1.061897	0	0
30.336484	8.870099	0.341688	37.070288	5.496295	35.206101	5.496295	2.567024E+14	4.470673E-5	22367.888665	15.966333	1.056858	0	0
