Vload_(V)	ILoad_(A)	RsLoad (ohm)	SunsVoc_Voltage_(V)	SunsVoc_Current_(A)	Model_Voltage_(V)	Model_Current_(A)	Carrier_Density_(cm-3)	Lifetime_(s)	Inverse_Lifetime_(s-1)	Efficiency_(%)	Intensity_(suns)	Dark_IV_Voltage_(V)	Dark_IV_Current_(A)
3.085879	6.369996	0	65.040075	-0.922729	65.311563	-0.922729	3.860788E+15	0.000222	4475.012856	19.452	1.098956	0	0
3.010719	6.369929	1.099542	65.045547	-0.687697	65.247679	-0.687697	3.865794E+15	0.00023	4324.289737	19.739354	1.092149	0	0
6.896091	6.36374	5.499669	64.878934	-0.205386	64.941157	-0.205386	3.715889E+15	0.000237	4192.426216	19.451407	1.098521	0	0
11.941255	6.345516	5.956073	64.698314	0.253711	64.618966	0.253711	3.559167E+15	0.000244	4072.65749	19.700631	1.091833	0	0
16.578472	6.344412	5.248968	64.516918	0.684134	64.296227	0.684134	3.407623E+15	0.000252	3955.566913	19.44959	1.096977	0	0
21.353577	6.339197	4.59746	64.336788	1.07462	63.979639	1.07462	3.262735E+15	0.000259	3848.579656	19.627956	1.091437	0	0
26.714328	6.256476	4.408077	64.161272	1.429548	63.672561	1.429548	3.126742E+15	0.000266	3747.768983	19.475186	1.094484	0	0
31.578945	6.251506	3.651996	63.987022	1.753663	63.370942	1.753663	2.996617E+15	0.000272	3654.88234	19.564142	1.090448	0	0
36.472663	6.245274	2.89429	63.815917	2.054707	63.075018	2.054707	2.87342E+15	0.00028	3563.845951	19.515777	1.091437	0	0
40.951729	6.30364	1.880851	63.64473	2.332974	62.781841	2.332974	2.754556E+15	0.000286	3478.684493	19.473906	1.090804	0	0
44.742429	6.109131	1.928291	63.479954	2.590241	62.498773	2.590241	2.644158E+15	0.000294	3393.662587	19.54418	1.08934	0	0
47.199513	6.267885	1.086244	63.31036	2.833661	62.210919	2.833661	2.534511E+15	0.000301	3313.132548	19.398281	1.091398	0	0
48.63979	6.239643	0.965988	63.142889	3.064213	61.926176	3.064213	2.430073E+15	0.000309	3230.832938	19.59639	1.087243	0	0
50.037855	6.199422	0.863241	62.973662	3.278536	61.64177	3.278536	2.328286E+15	0.000316	3154.02468	19.377422	1.091556	0	0
51.47592	6.13318	0.780812	62.804395	3.474007	61.361215	3.474007	2.230121E+15	0.000323	3085.197741	19.634878	1.085778	0	0
52.883132	6.027918	0.723119	62.644111	3.654133	61.094351	3.654133	2.140423E+15	0.000331	3015.013632	19.357967	1.091833	0	0
54.308126	5.87861	0.660611	62.480438	3.824337	60.824559	3.824337	2.051994E+15	0.000338	2948.294518	19.642656	1.084987	0	0
55.674545	5.661071	0.613624	62.321053	3.980825	60.563021	3.980825	1.968864E+15	0.000346	2884.289828	19.377808	1.091121	0	0
57.06195	5.343855	0.569661	62.159258	4.124607	60.301551	4.124607	1.887394E+15	0.000353	2828.115721	19.632989	1.084354	0	0
58.404098	4.903872	0.536645	62.001343	4.258948	60.046669	4.258948	1.810626E+15	0.00036	2771.996562	19.430082	1.089023	0	0
59.693326	4.329526	0.507953	61.842979	4.384832	59.792885	4.384832	1.736286E+15	0.000367	2718.638156	19.589802	1.084077	0	0
60.94748	3.591549	0.481298	61.686534	4.502778	59.543107	4.502778	1.665372E+15	0.000374	2666.304249	19.472565	1.086807	0	0
62.129775	2.7119	0.458818	61.528864	4.612442	59.293809	4.612442	1.596367E+15	0.000381	2618.484659	19.517844	1.08376	0	0
63.221108	1.726955	0.4635	61.373726	4.715198	59.049222	4.715198	1.530814E+15	0.000388	2571.232439	19.524635	1.083444	0	0
64.114179	0.80616	0.473542	61.219567	4.810588	58.807836	4.810588	1.46791E+15	0.000395	2527.092825	19.463319	1.082534	0	0
53.651156	5.954573	0.689179	61.067778	4.899561	58.571123	4.899561	1.408089E+15	0.000402	2484.367232	19.581483	1.079447	0	0
64.821275	0	0	60.91023	4.982572	58.328721	4.982572	1.348155E+15	0.000408	2448.554908	19.404479	1.08103	0	0
0	0	0	60.760891	5.05982	58.098395	5.05982	1.293314E+15	0.000414	2410.464814	19.603285	1.075688	0	0
0	0	0	60.613593	5.132322	57.871964	5.132322	1.241048E+15	0.000421	2373.150565	19.355269	1.079486	0	0
0	0	0	60.464826	5.200956	57.644587	5.200956	1.19005E+15	0.000427	2337.77421	19.614291	1.072482	0	0
0	0	0	60.311443	5.266138	57.412071	5.266138	1.139301E+15	0.000433	2305.919547	19.347587	1.076914	0	0
0	0	0	60.165698	5.326708	57.19089	5.326708	1.092753E+15	0.00044	2272.368085	19.610729	1.069673	0	0
0	0	0	60.02134	5.383483	56.972696	5.383483	1.048213E+15	0.000446	2240.140454	19.363997	1.074184	0	0
0	0	0	59.875513	5.437208	56.75346	5.437208	1.004757E+15	0.000452	2209.877837	19.57043	1.06805	0	0
0	0	0	59.734259	5.487646	56.541222	5.487646	9.640977E+14	0.000459	2178.650022	19.395779	1.071137	0	0
0	0	0	59.590678	5.535487	56.326717	5.535487	9.241766E+14	0.000465	2149.636323	19.519113	1.066388	0	0
0	0	0	59.451711	5.579181	56.119956	5.579181	8.868545E+14	0.000471	2122.907338	19.45033	1.067457	0	0
0	0	0	59.313438	5.619782	55.915311	5.619782	8.509697E+14	0.000476	2098.929899	19.460705	1.065162	0	0
0	0	0	59.172878	5.65842	55.708271	5.65842	8.15737E+14	0.000481	2076.898424	19.510874	1.063935	0	0
0	0	0	59.037791	5.694541	55.509364	5.694541	7.830283E+14	0.000487	2053.899867	19.408226	1.064133	0	0
0	0	0	58.901356	5.728401	55.30958	5.728401	7.5111E+14	0.000491	2033.915477	19.565915	1.060611	0	0
0	0	0	58.768596	5.760691	55.115113	5.760691	7.211011E+14	0.000497	2011.99796	19.369152	1.063064	0	0
0	0	0	58.633631	5.79076	54.91871	5.79076	6.916277E+14	0.000501	1994.278844	19.619721	1.056574	0	0
0	0	0	58.504669	5.819245	54.73079	5.819245	6.644142E+14	0.000506	1973.923768	19.358119	1.06069	0	0
0	0	0	58.370439	5.846484	54.536352	5.846484	6.370488E+14	0.000511	1956.951198	19.632746	1.05325	0	0
0	0	0	58.241723	5.872128	54.349842	5.872128	6.117033E+14	0.000516	1938.251211	19.362403	1.057841	0	0
0	0	0	58.108187	5.896121	54.157721	5.896121	5.86312E+14	0.000519	1924.78101	19.615432	1.050124	0	0
0	0	0	57.980164	5.918844	53.973395	5.918844	5.6281E+14	0.000524	1909.048047	19.362162	1.054596	0	0
0	0	0	57.852019	5.940548	53.789289	5.940548	5.400888E+14	0.000528	1893.695188	19.575596	1.047117	0	0
0	0	0	57.725711	5.961017	53.608166	5.961017	5.184595E+14	0.000532	1878.704354	19.415204	1.049531	0	0
0	0	0	57.598056	5.980003	53.426012	5.980003	4.973523E+14	0.000535	1867.549977	19.51113	1.044624	0	0
0	0	0	57.468196	5.998582	53.24096	5.998582	4.766365E+14	0.000539	1855.913672	19.458329	1.045099	0	0
0	0	0	57.348708	6.015337	53.0707	6.015337	4.582315E+14	0.000542	1843.399576	19.435265	1.042883	0	0
0	0	0	57.221747	6.031806	52.890511	6.031806	4.393462E+14	0.000545	1833.38399	19.511735	1.04039	0	0
0	0	0	57.094133	6.047176	52.710025	6.047176	4.210417E+14	0.000548	1826.168253	19.380716	1.040587	0	0
0	0	0	56.971664	6.062212	52.536407	6.062212	4.040974E+14	0.000551	1814.140749	19.576936	1.035483	0	0
0	0	0	56.84556	6.076252	52.358492	6.076252	3.872695E+14	0.000553	1806.64056	19.35488	1.038213	0	0
0	0	0	56.719825	6.08964	52.181361	6.08964	3.710991E+14	0.000556	1799.451942	19.609743	1.031684	0	0
0	0	0	56.596294	6.102287	52.007539	6.102287	3.557876E+14	0.000558	1792.246637	19.33566	1.03572	0	0
0	0	0	56.478154	6.114269	51.841229	6.114269	3.416628E+14	0.000561	1782.8202	19.601134	1.02832	0	0
0	0	0	56.352826	6.125638	51.665661	6.125638	3.272176E+14	0.000562	1778.779002	19.340781	1.032396	0	0
0	0	0	56.231011	6.13661	51.494925	6.13661	3.136938E+14	0.000564	1772.170234	19.593012	1.024957	0	0
0	0	0	56.112176	6.146963	51.328501	6.146963	3.009779E+14	0.000566	1765.116824	19.379897	1.028637	0	0
0	0	0	55.987625	6.157062	51.154516	6.157062	2.88141E+14	0.000568	1760.27856	19.55469	1.022741	0	0
0	0	0	55.871077	6.166493	50.991604	6.166493	2.76571E+14	0.000571	1752.700405	19.418171	1.024719	0	0
0	0	0	55.74869	6.175536	50.821088	6.175536	2.648675E+14	0.000572	1748.834578	19.490977	1.020248	0	0
0	0	0	55.628263	6.183895	50.653619	6.183895	2.537847E+14	0.000572	1746.757364	19.481097	1.019496	0	0
0	0	0	55.514696	6.191845	50.495536	6.191845	2.437152E+14	0.000574	1741.230565	19.431202	1.017992	0	0
0	0	0	55.390798	6.199659	50.323663	6.199659	2.331399E+14	0.000575	1740.385166	19.545527	1.014351	0	0
0	0	0	55.275965	6.207039	50.164158	6.207039	2.23709E+14	0.000576	1735.182433	19.378751	1.015459	0	0
0	0	0	55.155375	6.213979	49.997229	6.213979	2.141772E+14	0.000576	1735.219509	19.585254	1.009721	0	0
0	0	0	55.036704	6.220998	49.83271	6.220998	2.051576E+14	0.000578	1730.019757	19.338386	1.01261	0	0
0	0	0	54.919911	6.227395	49.671137	6.227395	1.966189E+14	0.000579	1727.651791	19.606901	1.005171	0	0
0	0	0	54.800505	6.233253	49.506444	6.233253	1.88225E+14	0.000578	1730.569343	19.33589	1.008851	0	0
0	0	0	54.685999	6.23911	49.348235	6.23911	1.804842E+14	0.000579	1727.493844	19.62909	1.000818	0	0
0	0	0	54.567941	6.244684	49.18544	6.244684	1.728096E+14	0.000579	1727.377136	19.345952	1.005092	0	0
0	0	0	54.448167	6.25014	49.020381	6.25014	1.653307E+14	0.000579	1726.916791	19.591593	0.997533	0	0
0	0	0	54.330435	6.255418	48.858141	6.255418	1.582709E+14	0.00058	1724.50811	19.37387	1.000976	0	0
0	0	0	54.211478	6.259963	48.694838	6.259963	1.514213E+14	0.000578	1731.017274	19.551418	0.994526	0	0
0	0	0	54.097217	6.26471	48.537589	6.26471	1.451016E+14	0.000579	1728.491068	19.440197	0.99599	0	0
0	0	0	53.978791	6.269302	48.374839	6.269302	1.388106E+14	0.000579	1728.028427	19.490998	0.992152	0	0
0	0	0	53.861672	6.273639	48.21401	6.273639	1.328394E+14	0.000579	1727.928195	19.49757	0.991044	0	0
