Vload_(V)	ILoad_(A)	RsLoad (ohm)	SunsVoc_Voltage_(V)	SunsVoc_Current_(A)	Model_Voltage_(V)	Model_Current_(A)	Carrier_Density_(cm-3)	Lifetime_(s)	Inverse_Lifetime_(s-1)	Efficiency_(%)	Intensity_(suns)	Dark_IV_Voltage_(V)	Dark_IV_Current_(A)
3.343065	5.911756	0	51.344974	-0.954865	51.846688	-0.954865	6.093093E+15	0.000395	2471.733176	18.228693	1.158625	0	0
3.318696	5.910635	3.878214	51.678609	-1.006645	52.194937	-1.006645	6.895153E+15	0.000443	2176.635335	18.177086	1.156972	0	0
3.469889	5.914123	-0.542344	51.681222	-0.665292	52.022399	-0.665292	6.901765E+15	0.000467	2063.140676	18.173285	1.15397	0	0
6.590971	5.908221	4.121445	51.576068	-0.261714	51.711313	-0.261714	6.639839E+15	0.000478	2016.898864	18.103136	1.152013	0	0
11.447688	5.890004	4.522905	51.438898	0.136971	51.367412	0.136971	6.310616E+15	0.000486	1990.995448	18.018885	1.150889	0	0
15.850329	5.887896	3.826745	51.296664	0.519595	51.022713	0.519595	5.983654E+15	0.000494	1966.326825	18.065282	1.149593	0	0
20.154471	5.882183	3.2112	51.152797	0.869503	50.689669	0.869503	5.667348E+15	0.0005	1946.713446	18.077081	1.148244	0	0
24.489733	5.874161	2.596376	51.008154	1.199285	50.362869	1.199285	5.36343E+15	0.000506	1927.38886	18.04869	1.145652	0	0
28.748755	5.868743	1.936801	50.861183	1.510422	50.040165	1.510422	5.068576E+15	0.000512	1909.400869	18.086383	1.141857	0	0
33.050719	5.864741	1.246082	50.714008	1.804813	49.723009	1.804813	4.786901E+15	0.000518	1890.62421	18.065484	1.137678	0	0
37.337778	5.815098	0.840866	50.567731	2.075631	49.416646	2.075631	4.51993E+15	0.000524	1873.974854	17.996363	1.13342	0	0
38.368392	5.775296	0.815775	50.420924	2.32292	49.119913	2.32292	4.264532E+15	0.000529	1861.606548	18.033912	1.128672	0	0
39.424211	5.712142	0.798619	50.272891	2.552435	48.829168	2.552435	4.019259E+15	0.000532	1852.056729	18.00462	1.125261	0	0
40.473924	5.624259	0.772986	50.131596	2.764912	48.553043	2.764912	3.796213E+15	0.000537	1839.522421	17.976721	1.121346	0	0
41.499496	5.507099	0.743509	49.991078	2.961037	48.284952	2.961037	3.584721E+15	0.00054	1829.063477	18.042532	1.116665	0	0
42.53447	5.345207	0.713031	49.850559	3.142417	48.023367	3.142417	3.383164E+15	0.000543	1821.115263	18.03392	1.111719	0	0
43.563276	5.12296	0.685521	49.711061	3.312716	47.767521	3.312716	3.192545E+15	0.000546	1813.151798	17.987738	1.105874	0	0
