Vload_(V)	ILoad_(A)	RsLoad (ohm)	SunsVoc_Voltage_(V)	SunsVoc_Current_(A)	Model_Voltage_(V)	Model_Current_(A)	Carrier_Density_(cm-3)	Lifetime_(s)	Inverse_Lifetime_(s-1)	Efficiency_(%)	Intensity_(suns)	Dark_IV_Voltage_(V)	Dark_IV_Current_(A)
4.644146	6.362639	0	65.202213	-1.334923	65.619166	-1.334923	3.509718E+15	0.000191	5204.188606	19.349329	1.161233	0	0
4.563365	6.362142	1.67458	65.188941	-1.049923	65.517671	-1.049923	3.497558E+15	0.000198	5028.381278	19.265418	1.160797	0	0
6.577644	6.349703	6.371248	65.013548	-0.546477	65.190113	-0.546477	3.340154E+15	0.000203	4909.031049	19.382686	1.1604	0	0
12.936756	6.330056	5.93534	64.829905	-0.057052	64.848936	-0.057052	3.181756E+15	0.000208	4789.621927	19.250263	1.160281	0	0
18.759605	6.318376	5.171759	64.640587	0.399086	64.503159	0.399086	3.02509E+15	0.000213	4680.957946	19.376347	1.159289	0	0
24.435885	6.311701	4.343333	64.458701	0.801262	64.174474	0.801262	2.880695E+15	0.000217	4585.19097	19.226089	1.159725	0	0
30.242231	6.303458	3.497837	64.281266	1.169339	63.854646	1.169339	2.745415E+15	0.000222	4493.688841	19.374832	1.157662	0	0
36.065782	6.289233	2.678851	64.10718	1.512054	63.54052	1.512054	2.617868E+15	0.000227	4402.512424	19.212171	1.158258	0	0
41.797868	6.269974	1.878442	63.932644	1.829649	63.228759	1.829649	2.494976E+15	0.000231	4317.728628	19.345675	1.156036	0	0
47.575569	6.228305	1.127494	63.758803	2.126531	62.919632	2.126531	2.377373E+15	0.000236	4235.296612	19.209995	1.156631	0	0
48.979596	6.197835	0.996123	63.585492	2.40218	62.613814	2.40218	2.264743E+15	0.00024	4157.316591	19.311173	1.154727	0	0
50.385084	6.145441	0.896941	63.412917	2.657283	62.311909	2.657283	2.157023E+15	0.000244	4084.414545	19.210532	1.15552	0	0
51.81852	6.062282	0.816722	63.239974	2.897222	62.01099	2.897222	2.053367E+15	0.000249	4013.351931	19.2817	1.153735	0	0
53.247002	5.943546	0.742113	63.070461	3.117845	61.717765	3.117845	1.955806E+15	0.000253	3945.827177	19.231874	1.154132	0	0
54.657398	5.763779	0.685083	62.898008	3.321543	61.424285	3.321543	1.860526E+15	0.000257	3888.016617	19.262014	1.152386	0	0
56.030977	5.511482	0.635475	62.729435	3.510288	61.138238	3.510288	1.771139E+15	0.000261	3831.205076	19.25871	1.152545	0	0
57.386545	5.159467	0.591213	62.567068	3.685957	60.862127	3.685957	1.68844E+15	0.000265	3771.739533	19.235271	1.151394	0	0
58.715655	4.681494	0.556637	62.394207	3.851942	60.574535	3.851942	1.603943E+15	0.000268	3724.627982	19.275582	1.151037	0	0
60.005017	4.056227	0.527347	62.229677	4.00576	60.299772	4.00576	1.52681E+15	0.000272	3673.416221	19.214125	1.149807	0	0
61.236516	3.29325	0.503288	62.065881	4.148886	60.028285	4.148886	1.453112E+15	0.000276	3625.647611	19.307167	1.148815	0	0
62.411998	2.394667	0.482335	61.905026	4.280932	59.763327	4.280932	1.383645E+15	0.000279	3580.840619	19.197477	1.148141	0	0
63.464983	1.448778	0.48155	61.738494	4.404067	59.493386	4.404067	1.314667E+15	0.000282	3546.071963	19.322318	1.146475	0	0
