Vload_(V)	ILoad_(A)	RsLoad (ohm)	SunsVoc_Voltage_(V)	SunsVoc_Current_(A)	Model_Voltage_(V)	Model_Current_(A)	Carrier_Density_(cm-3)	Lifetime_(s)	Inverse_Lifetime_(s-1)	Efficiency_(%)	Intensity_(suns)	Dark_IV_Voltage_(V)	Dark_IV_Current_(A)
5.497229	9.583709	0	39.546884	-1.963916	40.182027	-1.963916	7.758613E+14	4.715454E-5	21205.867489	17.310042	1.152558	0	0
5.530908	9.586115	-0.53774	39.501964	-1.410516	39.958206	-1.410516	7.547849E+14	4.818265E-5	20753.414969	17.317269	1.152558	0	0
5.57428	9.586358	-0.542279	39.387572	-0.647593	39.597126	-0.647593	7.035403E+14	4.826031E-5	20720.137521	17.312585	1.152558	0	0
5.785867	9.585639	-0.56431	39.271613	0.072042	39.248291	0.072042	6.549834E+14	4.832877E-5	20690.897975	17.313288	1.152122	0	0
7.707371	9.577098	1.920673	39.15384	0.745495	38.912409	0.745495	6.089514E+14	4.835598E-5	20679.351464	17.309138	1.151368	0	0
10.19872	9.567642	1.875334	39.038518	1.36186	38.597295	1.36186	5.668888E+14	4.839054E-5	20664.664547	17.298919	1.150813	0	0
12.958613	9.563536	1.636643	38.925923	1.922189	38.302916	1.922189	5.28521E+14	4.841493E-5	20654.32121	17.291124	1.149622	0	0
15.377248	9.561815	1.400814	38.813933	2.442866	38.021856	2.442866	4.928448E+14	4.843872E-5	20644.236449	17.27927	1.14871	0	0
17.791778	9.554684	1.207864	38.70418	2.910665	37.760061	2.910665	4.601417E+14	4.83949E-5	20662.983999	17.273728	1.147678	0	0
20.178771	9.547925	1.001833	38.596894	3.344356	37.511692	3.344356	4.302066E+14	4.839155E-5	20664.455952	17.268989	1.147044	0	0
22.590105	9.551107	0.73003	38.485835	3.7657	37.263436	3.7657	4.012086E+14	4.839804E-5	20661.725133	17.273769	1.14633	0	0
24.987329	9.545919	0.50934	38.374466	4.154587	37.025302	4.154587	3.740383E+14	4.835245E-5	20681.242934	17.280096	1.145576	0	0
27.386873	9.537704	0.29676	38.264419	4.510131	36.799231	4.510131	3.48952E+14	4.827068E-5	20716.30854	17.283366	1.145298	0	0
28.272731	9.5113	0.291598	38.156872	4.832445	36.586383	4.832445	3.260225E+14	4.815822E-5	20764.708776	17.296803	1.144862	0	0
29.180851	9.455941	0.305081	38.052543	5.128428	36.385254	5.128428	3.05187E+14	4.80754E-5	20800.502885	17.304065	1.144743	0	0
30.066956	9.357742	0.319907	37.947282	5.408735	36.188216	5.408735	2.854858E+14	4.799133E-5	20836.96239	17.308244	1.144703	0	0
30.943151	9.205377	0.325837	37.842283	5.67004	35.997556	5.67004	2.670752E+14	4.789404E-5	20879.306452	17.312321	1.144386	0	0
31.8283	8.965651	0.328649	37.738264	5.916484	35.812657	5.916484	2.499852E+14	4.784194E-5	20902.057823	17.312114	1.144187	0	0
32.696995	8.615389	0.32842	37.634017	6.14721	35.632587	6.14721	2.339353E+14	4.777619E-5	20930.837756	17.306345	1.143751	0	0
33.556901	8.119709	0.3272	37.528969	6.362513	35.456679	6.362513	2.187869E+14	4.766902E-5	20977.906295	17.303337	1.143315	0	0
34.379273	7.474797	0.326285	37.424296	6.561977	35.286259	6.561977	2.046532E+14	4.753292E-5	21037.980157	17.293934	1.142719	0	0
35.20007	6.655047	0.324251	37.321845	6.742559	35.124185	6.742559	1.91691E+14	4.735214E-5	21118.310603	17.282055	1.142164	0	0
35.992204	5.687018	0.321057	37.22142	6.909984	34.968399	6.909984	1.797712E+14	4.718841E-5	21191.589299	17.270673	1.141212	0	0
36.763544	4.579617	0.317909	37.123004	7.06628	34.818231	7.06628	1.687999E+14	4.705947E-5	21249.661876	17.264858	1.140299	0	0
37.487915	3.398015	0.319249	37.0248	7.212621	34.67149	7.212621	1.585116E+14	4.691863E-5	21313.455741	17.265949	1.138951	0	0
38.159569	2.187286	0.331231	36.926809	7.348928	34.528205	7.348928	1.488633E+14	4.675032E-5	21390.191911	17.265212	1.137959	0	0
38.744813	1.068543	0.353047	36.830353	7.476364	34.389335	7.476364	1.399337E+14	4.66035E-5	21457.583767	17.269233	1.13661	0	0
31.573	9.04351	0.32906	36.735269	7.595366	34.254575	7.595366	1.316501E+14	4.646884E-5	21519.766751	17.273193	1.135459	0	0
39.329854	0	0	36.639825	7.707195	34.12177	7.707195	1.238236E+14	4.631094E-5	21593.145518	17.280606	1.133952	0	0
0	0	0	36.544366	7.812102	33.991187	7.812102	1.164569E+14	4.613493E-5	21675.52849	17.285931	1.132325	0	0
0	0	0	36.448808	7.910675	33.862553	7.910675	1.095178E+14	4.594224E-5	21766.442556	17.287885	1.130857	0	0
0	0	0	36.353463	8.003246	33.736075	8.003246	1.030029E+14	4.574012E-5	21862.628465	17.290315	1.129508	0	0
0	0	0	36.259604	8.089792	33.613049	8.089792	9.696538E+13	4.555353E-5	21952.179002	17.285111	1.12808	0	0
0	0	0	36.166823	8.170881	33.492877	8.170881	9.134257E+13	4.537493E-5	22038.589221	17.289399	1.126652	0	0
0	0	0	36.073569	8.246515	33.373996	8.246515	8.601735E+13	4.514646E-5	22150.116529	17.281232	1.125224	0	0
0	0	0	35.983287	8.318457	33.259309	8.318457	8.115595E+13	4.501686E-5	22213.886974	17.282074	1.123954	0	0
0	0	0	35.890605	8.385845	33.143675	8.385845	7.64492E+13	4.479169E-5	22325.559804	17.278811	1.123121	0	0
0	0	0	35.802055	8.44784	33.033966	8.44784	7.220607E+13	4.461464E-5	22414.157365	17.284467	1.121772	0	0
0	0	0	35.713815	8.507118	32.925448	8.507118	6.821083E+13	4.446667E-5	22488.746576	17.288096	1.120661	0	0
0	0	0	35.625967	8.562131	32.818713	8.562131	6.445183E+13	4.427878E-5	22584.174891	17.28768	1.119749	0	0
0	0	0	35.538446	8.614635	32.71312	8.614635	6.091182E+13	4.411401E-5	22668.527906	17.291744	1.11844	0	0
0	0	0	35.44939	8.663695	32.607095	8.663695	5.750832E+13	4.387003E-5	22794.598234	17.297316	1.117012	0	0
0	0	0	35.362408	8.709577	32.504199	8.709577	5.436696E+13	4.365057E-5	22909.204511	17.298271	1.115861	0	0
0	0	0	35.2767	8.754297	32.402961	8.754297	5.143882E+13	4.35264E-5	22974.558675	17.302727	1.114314	0	0
0	0	0	35.190682	8.795612	32.30252	8.795612	4.865802E+13	4.333179E-5	23077.742978	17.30314	1.112687	0	0
0	0	0	35.104892	8.834848	32.202984	8.834848	4.60338E+13	4.314271E-5	23178.884568	17.296301	1.1111	0	0
0	0	0	35.019691	8.871742	32.104804	8.871742	4.356718E+13	4.294688E-5	23284.576754	17.286619	1.109395	0	0
0	0	0	34.935633	8.906521	32.008467	8.906521	4.126278E+13	4.276431E-5	23383.984424	17.278447	1.107927	0	0
0	0	0	34.851918	8.939577	31.913036	8.939577	3.908856E+13	4.258994E-5	23479.722785	17.281801	1.105784	0	0
0	0	0	34.767778	8.970863	31.817753	8.970863	3.70184E+13	4.239339E-5	23588.582464	17.287811	1.103682	0	0
0	0	0	34.685158	9.000563	31.724519	9.000563	3.509204E+13	4.223407E-5	23677.563494	17.288529	1.101539	0	0
0	0	0	34.601688	9.028335	31.631056	9.028335	3.324737E+13	4.201492E-5	23801.068492	17.289763	1.099675	0	0
0	0	0	34.517956	9.055161	31.537635	9.055161	3.149411E+13	4.181932E-5	23912.389678	17.29233	1.09777	0	0
0	0	0	34.435172	9.079934	31.445842	9.079934	2.985137E+13	4.158722E-5	24045.846375	17.29531	1.095946	0	0
0	0	0	34.354626	9.103325	31.356761	9.103325	2.833514E+13	4.139697E-5	24156.356068	17.298558	1.094081	0	0
0	0	0	34.273852	9.125603	31.267811	9.125603	2.689178E+13	4.11989E-5	24272.494369	17.304628	1.092296	0	0
0	0	0	34.194367	9.146761	31.180529	9.146761	2.554312E+13	4.102762E-5	24373.823507	17.306922	1.090788	0	0
0	0	0	34.114981	9.166646	31.093763	9.166646	2.42635E+13	4.083036E-5	24491.579228	17.312459	1.088765	0	0
0	0	0	34.035578	9.185584	31.007289	9.185584	2.304763E+13	4.062925E-5	24612.808043	17.309589	1.087218	0	0
0	0	0	33.957417	9.203002	30.922566	9.203002	2.191018E+13	4.039122E-5	24757.854873	17.311294	1.085075	0	0
0	0	0	33.879974	9.220579	30.838515	9.220579	2.083847E+13	4.027499E-5	24829.301742	17.308456	1.083568	0	0
0	0	0	33.800866	9.236805	30.753223	9.236805	1.979773E+13	4.005324E-5	24966.768229	17.313712	1.081624	0	0
0	0	0	33.72344	9.252352	30.669851	9.252352	1.882939E+13	3.988157E-5	25074.239945	17.310646	1.079958	0	0
0	0	0	33.646422	9.267007	30.587185	9.267007	1.791309E+13	3.969645E-5	25191.169046	17.313693	1.078014	0	0
0	0	0	33.568538	9.280852	30.503908	9.280852	1.703176E+13	3.946878E-5	25336.47965	17.31465	1.07599	0	0
0	0	0	33.491112	9.294184	30.421261	9.294184	1.619854E+13	3.926645E-5	25467.034332	17.311067	1.074562	0	0
0	0	0	33.414209	9.307183	30.339249	9.307183	1.541124E+13	3.911414E-5	25566.198281	17.313145	1.072618	0	0
0	0	0	33.337011	9.318969	30.257339	9.318969	1.465938E+13	3.886216E-5	25731.972646	17.320638	1.070595	0	0
0	0	0	33.260875	9.330515	30.176579	9.330515	1.395375E+13	3.86784E-5	25854.225409	17.320947	1.068532	0	0
0	0	0	33.184838	9.341175	30.096209	9.341175	1.328289E+13	3.843721E-5	26016.45286	17.325679	1.066469	0	0
0	0	0	33.109029	9.351313	30.016241	9.351313	1.264613E+13	3.819099E-5	26184.185923	17.327745	1.064287	0	0
0	0	0	33.034624	9.361676	29.937617	9.361676	1.205083E+13	3.809179E-5	26252.376837	17.322387	1.062264	0	0
0	0	0	32.960236	9.37076	29.859431	9.37076	1.148364E+13	3.78473E-5	26421.9657	17.322778	1.06024	0	0
0	0	0	32.88464	9.380137	29.779924	9.380137	1.093456E+13	3.769772E-5	26526.806505	17.324309	1.057979	0	0
0	0	0	32.810138	9.388718	29.701786	9.388718	1.04191E+13	3.75014E-5	26665.673741	17.326883	1.055876	0	0
