Vload_(V)	ILoad_(A)	RsLoad_(ohm)	SunsVoc_Voltage_(V)	SunsVoc_Current_(A)	Model_Voltage_(V)	Model_Current_(A)	Carrier_Density_(cm-3)	Lifetime_(s)	Inverse_Lifetime_(s-1)	(Carrier_Density+Doping)/qWni^2_(cm^2/C)	Carrier_Density_at_Vmp_(cm-3)	Lifetime_at_Vmp_(s)	Efficiency_(%)	Intensity_(suns)	Dark_IV_Voltage_(V)	Dark_IV_Current_(A)
5.344297	8.916037	0	37.80103	-0.389328	37.927557	-0.389328	2.601715E+14	1.962268E-5	50961.318752	5.94637E+16	1.378285E+13	1.494627E-5	15.12942	1.148164	0	0
5.250156	8.91506	0.950488	37.683045	0.237637	37.605554	0.237637	2.413599E+14	1.9519E-5	51232.024745	5.937548E+16	0	0	15.091382	1.147193	0	0
5.307447	8.914665	1.092289	37.560731	0.846119	37.283855	0.846119	2.232685E+14	1.941737E-5	51500.202962	5.929063E+16	0	0	15.096528	1.142034	0	0
5.383845	8.914131	1.25595	37.441211	1.401637	36.980987	1.401637	2.068802E+14	1.93222E-5	51753.866287	5.921377E+16	0	0	15.1225	1.138937	0	0
5.960405	8.914679	1.014693	37.322638	1.910398	36.693247	1.910398	1.917931E+14	1.921398E-5	52045.366257	5.914301E+16	0	0	15.081643	1.136429	0	0
7.353822	8.910965	1.508217	37.206433	2.371828	36.422447	2.371828	1.780609E+14	1.909605E-5	52366.804833	5.907861E+16	0	0	15.083823	1.131652	0	0
9.202357	8.90786	1.51165	37.089853	2.801884	36.160664	2.801884	1.652595E+14	1.896978E-5	52715.375516	5.901857E+16	0	0	15.088751	1.123507	0	0
11.07543	8.903875	1.465599	36.974743	3.206202	35.908022	3.206202	1.535121E+14	1.88691E-5	52996.655305	5.896348E+16	0	0	15.090949	1.1149	0	0
12.903912	8.895277	1.460026	36.862099	3.579687	35.66735	3.579687	1.428163E+14	1.878303E-5	53239.516383	5.891332E+16	0	0	15.112328	1.10791	0	0
14.707872	8.888378	1.351502	36.74841	3.925627	35.434031	3.925627	1.327689E+14	1.867206E-5	53555.936085	5.88662E+16	0	0	15.100979	1.099885	0	0
16.50597	8.867753	1.311629	36.635636	4.244808	35.209917	4.244808	1.23494E+14	1.85544E-5	53895.547893	5.88227E+16	0	0	15.110438	1.090291	0	0
18.307064	8.861872	1.139671	36.526128	4.53692	34.997655	4.53692	1.151027E+14	1.844723E-5	54208.663167	5.878335E+16	0	0	15.130472	1.080275	0	0
20.115212	8.855582	0.964373	36.417666	4.806009	34.793668	4.806009	1.07349E+14	1.833096E-5	54552.489941	5.874698E+16	0	0	15.131613	1.070912	0	0
21.921645	8.847916	0.791183	36.310266	5.056879	34.596422	5.056879	1.001819E+14	1.821917E-5	54887.214002	5.871337E+16	0	0	15.140692	1.062019	0	0
23.725116	8.83978	0.615923	36.201249	5.291612	34.402461	5.291612	9.339246E+13	1.808443E-5	55296.168848	5.868153E+16	0	0	15.136606	1.052003	0	0
25.526472	8.821038	0.466291	36.093571	5.514438	34.21349	5.514438	8.713517E+13	1.797805E-5	55623.384527	5.865218E+16	0	0	15.141185	1.041422	0	0
26.127316	8.806311	0.432928	35.986775	5.722916	34.029907	5.722916	8.134066E+13	1.787823E-5	55933.950519	5.862501E+16	0	0	15.150635	1.031573	0	0
26.722427	8.782631	0.410865	35.880649	5.916386	33.85176	5.916386	7.596197E+13	1.777287E-5	56265.511063	5.859978E+16	0	0	15.153911	1.021804	0	0
27.319149	8.747102	0.39682	35.77694	6.093926	33.681264	6.093926	7.104766E+13	1.766883E-5	56596.841854	5.857673E+16	0	0	15.160233	1.011964	0	0
27.90559	8.697658	0.38785	35.67333	6.259646	33.514604	6.259646	6.64538E+13	1.755739E-5	56956.060674	5.855519E+16	0	0	15.168003	1.001884	0	0
28.502149	8.625779	0.38254	35.570193	6.414845	33.351763	6.414845	6.217453E+13	1.744607E-5	57319.492797	5.853512E+16	0	0	15.176149	0.991884	0	0
29.106428	8.528365	0.377503	35.468477	6.559474	33.193798	6.559474	5.822294E+13	1.733992E-5	57670.380368	5.851659E+16	0	0	15.182902	0.982561	0	0
29.645239	8.416779	0.371976	35.366598	6.694046	33.038881	6.694046	5.451566E+13	1.721912E-5	58074.959353	5.84992E+16	0	0	15.180393	0.973182	0	0
30.188892	8.270422	0.367692	35.264915	6.819808	32.886988	6.819808	5.104995E+13	1.709183E-5	58507.474296	5.848295E+16	0	0	15.18007	0.963469	0	0
30.742442	8.080892	0.363144	35.165486	6.93794	32.739924	6.93794	4.787341E+13	1.698552E-5	58873.676445	5.846805E+16	0	0	15.181198	0.953779	0	0
31.282829	7.845032	0.359306	35.066416	7.048346	32.595732	7.048346	4.490425E+13	1.687387E-5	59263.236138	5.845412E+16	0	0	15.174905	0.944544	0	0
31.825694	7.554934	0.355704	34.968294	7.151927	32.454745	7.151927	4.214442E+13	1.676666E-5	59642.158387	5.844118E+16	0	0	15.17788	0.935348	0	0
32.366396	7.205286	0.35246	34.870874	7.249379	32.316478	7.249379	3.957166E+13	1.666364E-5	60010.909537	5.842911E+16	0	0	15.17833	0.926113	0	0
32.90446	6.792269	0.349161	34.773667	7.34125	32.180232	7.34125	3.716058E+13	1.656124E-5	60381.956663	5.841781E+16	0	0	15.174979	0.916965	0	0
33.422792	6.324864	0.346179	34.676264	7.426941	32.045798	7.426941	3.489158E+13	1.644485E-5	60809.294401	5.840717E+16	0	0	15.178704	0.907697	0	0
33.942992	5.793276	0.343059	34.580543	7.507655	31.914776	7.507655	3.279644E+13	1.634324E-5	61187.357978	5.839734E+16	0	0	15.177738	0.898621	0	0
34.455946	5.19961	0.341349	34.484985	7.58313	31.78565	7.58313	3.083006E+13	1.62333E-5	61601.779256	5.838812E+16	0	0	15.173219	0.889242	0	0
34.956025	4.559108	0.33785	34.389003	7.6545	31.657398	7.6545	2.897334E+13	1.611872E-5	62039.667767	5.837941E+16	0	0	15.167056	0.880038	0	0
35.440249	3.877472	0.338234	34.294507	7.721206	31.532281	7.721206	2.72544E+13	1.600893E-5	62465.130384	5.837135E+16	0	0	15.162867	0.871137	0	0
35.918858	3.157156	0.341632	34.202526	7.787407	31.409926	7.787407	2.567902E+13	1.596831E-5	62624.045486	5.836396E+16	0	0	15.155045	0.862538	0	0
36.367454	2.431794	0.348077	34.112261	7.845563	31.292189	7.845563	2.422141E+13	1.588018E-5	62971.573537	5.835712E+16	0	0	15.149245	0.854043	0	0
36.781295	1.733959	0.352684	34.022976	7.900113	31.176707	7.900113	2.286088E+13	1.579297E-5	63319.31319	5.835074E+16	0	0	15.146689	0.845699	0	0
37.121368	1.132786	0.355366	33.934606	7.952369	31.062944	7.952369	2.158943E+13	1.572337E-5	63599.576382	5.834478E+16	0	0	15.145287	0.837316	0	0
37.396932	0.623476	0.355023	33.845402	7.999952	30.949891	7.999952	2.037759E+13	1.561166E-5	64054.704647	5.83391E+16	0	0	15.132884	0.829346	0	0
29.740409	8.394879	0.370636	33.758143	8.045085	30.839738	8.045085	1.925789E+13	1.551838E-5	64439.710376	5.833385E+16	0	0	15.120771	0.821297	0	0
37.728996	0	0	33.671193	8.087579	30.730804	8.087579	1.820328E+13	1.542096E-5	64846.823498	5.83289E+16	0	0	15.111612	0.813248	0	0
0	0	0	33.583983	8.128132	30.622227	8.128132	1.720343E+13	1.532405E-5	65256.891964	5.832421E+16	0	0	15.09156	0.805358	0	0
0	0	0	33.497475	8.166926	30.514982	8.166926	1.626584E+13	1.52392E-5	65620.226642	5.831981E+16	0	0	15.074207	0.797483	0	0
0	0	0	33.410199	8.20351	30.407657	8.20351	1.537162E+13	1.514087E-5	66046.419374	5.831562E+16	0	0	15.062821	0.789673	0	0
0	0	0	33.324001	8.237861	30.302253	8.237861	1.453667E+13	1.50437E-5	66472.996	5.83117E+16	0	0	15.050536	0.782038	0	0
0	0	0	33.238456	8.270079	30.198281	8.270079	1.375283E+13	1.494239E-5	66923.716825	5.830803E+16	0	0	15.038604	0.774442	0	0
0	0	0	33.1535	8.300248	30.095646	8.300248	1.301618E+13	1.483488E-5	67408.72285	5.830457E+16	0	0	15.026303	0.767102	0	0
0	0	0	33.068772	8.329302	29.993621	8.329302	1.232077E+13	1.473765E-5	67853.442485	5.830131E+16	0	0	15.01015	0.759713	0	0
0	0	0	32.985008	8.35712	29.893047	8.35712	1.166977E+13	1.46537E-5	68242.170703	5.829826E+16	0	0	14.992862	0.752548	0	0
0	0	0	32.899856	8.383337	29.791526	8.383337	1.104319E+13	1.454937E-5	68731.496983	5.829532E+16	0	0	14.974984	0.745486	0	0
0	0	0	32.816663	8.407715	29.69276	8.407715	1.046351E+13	1.444676E-5	69219.649357	5.82926E+16	0	0	14.954815	0.738575	0	0
0	0	0	32.732965	8.431007	29.593815	8.431007	9.910985E+12	1.434103E-5	69729.978884	5.829001E+16	0	0	14.925677	0.731855	0	0
0	0	0	32.649691	8.453285	29.495669	8.453285	9.390196E+12	1.424159E-5	70216.861027	5.828757E+16	0	0	14.910146	0.724873	0	0
0	0	0	32.566743	8.474129	29.398378	8.474129	8.898637E+12	1.413266E-5	70758.075618	5.828526E+16	0	0	14.891545	0.718145	0	0
0	0	0	32.483339	8.494144	29.300871	8.494144	8.430294E+12	1.402403E-5	71306.179107	5.828307E+16	0	0	14.874973	0.711354	0	0
0	0	0	32.399346	8.513272	29.203032	8.513272	7.983539E+12	1.391156E-5	71882.639177	5.828097E+16	0	0	14.856775	0.704602	0	0
0	0	0	32.316954	8.531343	29.107288	8.531343	7.568296E+12	1.380751E-5	72424.33344	5.827902E+16	0	0	14.840221	0.698002	0	0
