Vload_(V)	ILoad_(A)	RsLoad_(ohm)	SunsVoc_Voltage_(V)	SunsVoc_Current_(A)	Model_Voltage_(V)	Model_Current_(A)	Carrier_Density_(cm-3)	Lifetime_(s)	Inverse_Lifetime_(s-1)	(Carrier_Density+Doping)/qWni^2_(cm^2/C)	Carrier_Density_at_Vmp_(cm-3)	Lifetime_at_Vmp_(s)	Efficiency_(%)	Intensity_(suns)	Dark_IV_Voltage_(V)	Dark_IV_Current_(A)
2.88237	5.981061	0	52.14445	0.387641	51.825422	0.387641	8.447286E+15	0.000682	1348.231623	7.552717E+16	5.652483E+14	0.000775	19.213895	1.134634	0	0
2.864255	5.979885	3.510437	52.036315	0.667391	51.49032	0.667391	8.409317E+15	0.000651	1418.957196	7.53491E+16	0	0	19.230702	1.132111	0	0
3.281705	5.980161	3.18218	51.918461	0.981752	51.120524	0.981752	8.16045E+15	0.000649	1430.287506	7.418195E+16	0	0	19.118869	1.127552	0	0
6.703877	5.976365	4.10408	51.796727	1.288987	50.756182	1.288987	7.850794E+15	0.000657	1419.189415	7.27297E+16	0	0	18.917497	1.124806	0	0
11.089453	5.952292	4.658124	51.677116	1.578712	50.411237	1.578712	7.524529E+15	0.00067	1399.573128	7.119955E+16	0	0	18.830792	1.121798	0	0
14.197299	5.949906	4.184146	51.557057	1.853334	50.081046	1.853334	7.199459E+15	0.000683	1379.023597	6.967502E+16	0	0	18.911904	1.117104	0	0
17.859053	5.94656	3.628253	51.43908	2.107043	49.772267	2.107043	6.891524E+15	0.000696	1357.183587	6.823084E+16	0	0	18.88506	1.108828	0	0
22.430117	5.938677	2.980034	51.318898	2.342149	49.478842	2.342149	6.593516E+15	0.000711	1335.129449	6.683323E+16	0	0	18.791114	1.101141	0	0
27.010703	5.935781	2.247217	51.196756	2.558587	49.200808	2.558587	6.311177E+15	0.000725	1313.766428	6.550909E+16	0	0	18.666201	1.094003	0	0
31.425878	5.931443	1.554698	51.074083	2.762164	48.934663	2.762164	6.033946E+15	0.000738	1295.257094	6.420891E+16	0	0	18.670876	1.085226	0	0
35.833962	5.912665	0.990651	50.948265	2.953637	48.677364	2.953637	5.762613E+15	0.000749	1279.971769	6.29364E+16	0	0	18.675206	1.074715	0	0
36.915711	5.891388	0.949988	50.82645	3.133714	48.434377	3.133714	5.500355E+15	0.00076	1265.331338	6.170644E+16	0	0	18.708809	1.064203	0	0
38.008351	5.891819	0.76196	50.702143	3.302944	48.199478	3.302944	5.241725E+15	0.00077	1252.737748	6.04935E+16	0	0	18.597122	1.054288	0	0
39.113579	5.897417	0.54093	50.583717	3.458663	47.981604	3.458663	5.001003E+15	0.000781	1238.380983	5.936454E+16	0	0	18.552541	1.044333	0	0
40.256207	5.927913	0.104533	50.464433	3.606284	47.770731	3.606284	4.764875E+15	0.000791	1225.795912	5.825714E+16	0	0	18.651947	1.033495	0	0
41.30716	5.824561	0.478303	50.342618	3.740848	47.569032	3.740848	4.548591E+15	0.000802	1212.259681	5.724279E+16	0	0	18.699255	1.022769	0	0
42.408106	5.7199	0.530382	50.226723	3.86729	47.379679	3.86729	4.339038E+15	0.000813	1199.075681	5.626002E+16	0	0	18.680927	1.012615	0	0
43.447981	5.55418	0.57795	50.104826	3.986514	47.192009	3.986514	4.133376E+15	0.000821	1190.001186	5.529549E+16	0	0	18.658494	1.002557	0	0
44.51011	5.277526	0.627259	49.986359	4.097618	47.014336	4.097618	3.945299E+15	0.00083	1178.559113	5.441343E+16	0	0	18.571154	0.992332	0	0
45.502932	4.958245	0.636085	49.866259	4.204159	46.839818	4.204159	3.755223E+15	0.000838	1170.580613	5.3522E+16	0	0	18.565536	0.981756	0	0
46.52713	4.48955	0.657127	49.748078	4.301407	46.674644	4.301407	3.577875E+15	0.000845	1162.116362	5.269026E+16	0	0	18.553135	0.971953	0	0
47.510626	3.853602	0.703055	49.628631	4.392813	46.513637	4.392813	3.405279E+15	0.000853	1153.763116	5.188081E+16	0	0	18.463176	0.962563	0	0
48.452206	3.246134	0.70237	49.507999	4.477945	46.357092	4.477945	3.2423E+15	0.000859	1147.100395	5.111646E+16	0	0	18.533384	0.953086	0	0
49.326081	2.44403	0.792114	49.391901	4.558017	46.208605	4.558017	3.084276E+15	0.000864	1141.804362	5.037534E+16	0	0	18.689976	0.943744	0	0
50.112217	1.706706	0.902682	49.273312	4.634911	46.061196	4.634911	2.93131E+15	0.000868	1138.453277	4.965795E+16	0	0	18.68898	0.934505	0	0
50.848021	1.02641	1.046939	49.155661	4.705752	45.919513	4.705752	2.790183E+15	0.000872	1133.585742	4.899609E+16	0	0	18.677852	0.925442	0	0
51.287175	0.464687	1.70547	49.041074	4.771861	45.784215	4.771861	2.652002E+15	0.000876	1129.392847	4.834804E+16	0	0	18.645249	0.916529	0	0
42.901648	5.657737	0.543891	48.92371	4.834389	45.649859	4.834389	2.520695E+15	0.000879	1126.784134	4.773222E+16	0	0	18.574097	0.907554	0	0
52.270039	0	0	48.806876	4.892307	45.519678	4.892307	2.398163E+15	0.000882	1123.926177	4.715756E+16	0	0	18.61062	0.898609	0	0
0	0	0	48.692248	4.947949	45.393338	4.947949	2.277968E+15	0.000884	1122.961575	4.659386E+16	0	0	18.539267	0.889633	0	0
0	0	0	48.571943	5.000035	45.265538	5.000035	2.163478E+15	0.000884	1123.50838	4.605692E+16	0	0	18.476021	0.880833	0	0
0	0	0	48.455681	5.04945	45.143174	5.04945	2.055989E+15	0.000885	1122.566877	4.555281E+16	0	0	18.434854	0.872286	0	0
0	0	0	48.336806	5.100651	45.018158	5.100651	1.948161E+15	0.000883	1125.703127	4.504711E+16	0	0	18.412372	0.863883	0	0
0	0	0	48.222055	5.145701	44.900826	5.145701	1.848644E+15	0.000883	1127.179071	4.458039E+16	0	0	18.554825	0.855337	0	0
0	0	0	48.106978	5.18848	44.785166	5.18848	1.751485E+15	0.000885	1124.887112	4.412473E+16	0	0	18.688986	0.847085	0	0
0	0	0	47.988715	5.228836	44.669059	5.228836	1.661954E+15	0.000885	1125.332067	4.370484E+16	0	0	18.611117	0.838881	0	0
0	0	0	47.875802	5.265863	44.559555	5.265863	1.576218E+15	0.000885	1126.242755	4.330274E+16	0	0	18.495189	0.831067	0	0
0	0	0	47.757866	5.301397	44.447543	5.301397	1.492184E+15	0.000882	1129.532542	4.290864E+16	0	0	18.407464	0.823444	0	0
0	0	0	47.641196	5.334427	44.338422	5.334427	1.415666E+15	0.000881	1132.35748	4.254978E+16	0	0	18.31441	0.815821	0	0
0	0	0	47.525628	5.366519	44.231061	5.366519	1.339477E+15	0.000877	1137.66689	4.219246E+16	0	0	18.438363	0.808476	0	0
