Vload_(V)	ILoad_(A)	RsLoad_(ohm)	SunsVoc_Voltage_(V)	SunsVoc_Current_(A)	Model_Voltage_(V)	Model_Current_(A)	Carrier_Density_(cm-3)	Lifetime_(s)	Inverse_Lifetime_(s-1)	(Carrier_Density+Doping)/qWni^2_(cm^2/C)	Carrier_Density_at_Vmp_(cm-3)	Lifetime_at_Vmp_(s)	Efficiency_(%)	Intensity_(suns)	Dark_IV_Voltage_(V)	Dark_IV_Current_(A)
3.072991	6.369886	0	65.361003	0.110059	65.323608	0.110059	3.830218E+15	0.000241	4126.084088	3.138546E+16	4.517139E+14	0.000404	19.705674	1.141383	0	0
3.11608	6.368947	2.698396	65.177606	0.535661	64.992269	0.535661	3.658051E+15	0.000245	4054.288195	3.057802E+16	0	0	19.753231	1.140698	0	0
5.695938	6.366389	4.777046	64.99572	0.938721	64.665134	0.938721	3.487266E+15	0.000251	3965.223952	2.977706E+16	0	0	19.684537	1.135438	0	0
11.488479	6.356664	5.690221	64.810934	1.300564	64.344767	1.300564	3.324556E+15	0.000257	3873.308291	2.901397E+16	0	0	19.605648	1.132001	0	0
15.668905	6.35039	5.295993	64.641013	1.622731	64.050015	1.622731	3.165817E+15	0.000262	3797.875886	2.826951E+16	0	0	19.609128	1.129049	0	0
21.681384	6.341904	4.554047	64.473093	1.925234	63.760957	1.925234	3.025493E+15	0.000268	3722.572356	2.761141E+16	0	0	19.658439	1.124338	0	0
27.864248	6.316337	3.901078	64.305336	2.207255	63.47632	2.207255	2.891962E+15	0.000273	3647.289678	2.698516E+16	0	0	19.628321	1.116595	0	0
33.699777	6.311559	3.019198	64.137375	2.47178	63.194922	2.47178	2.763504E+15	0.000279	3575.574549	2.638271E+16	0	0	19.619679	1.107922	0	0
39.285651	6.329486	1.957546	63.969619	2.719209	62.91735	2.719209	2.639683E+15	0.000284	3506.280489	2.5802E+16	0	0	19.534509	1.100243	0	0
45.099589	6.302323	1.283174	63.799371	2.950034	62.64074	2.950034	2.520651E+15	0.00029	3439.584958	2.524376E+16	0	0	19.624863	1.091251	0	0
46.549847	6.290843	1.12656	63.629981	3.163333	62.369398	3.163333	2.404444E+15	0.000295	3378.592133	2.469877E+16	0	0	19.579131	1.080739	0	0
47.995086	6.269871	1.004938	63.46545	3.36224	62.106837	3.36224	2.293269E+15	0.0003	3322.145726	2.417737E+16	0	0	19.635413	1.069607	0	0
49.414924	6.23199	0.924963	63.29994	3.547051	61.846732	3.547051	2.189398E+15	0.000306	3264.524054	2.369022E+16	0	0	19.536586	1.059191	0	0
50.850628	6.177916	0.847874	63.137002	3.718634	61.592942	3.718634	2.088872E+15	0.000311	3211.96341	2.321877E+16	0	0	19.570607	1.04953	0	0
52.250586	6.120538	0.743885	62.972308	3.879282	61.339869	3.879282	1.993674E+15	0.000316	3161.30494	2.277231E+16	0	0	19.52838	1.038565	0	0
53.693854	6.031878	0.653495	62.814066	4.028772	61.097093	4.028772	1.901132E+15	0.00032	3114.812028	2.233829E+16	0	0	19.61069	1.027568	0	0
55.134416	5.902715	0.572137	62.65464	4.16492	60.857118	4.16492	1.815596E+15	0.000326	3066.226197	2.193714E+16	0	0	19.562771	1.01716	0	0
56.548741	5.671611	0.535134	62.499502	4.291782	60.624641	4.291782	1.732671E+15	0.00033	3026.53988	2.154824E+16	0	0	19.538027	1.007515	0	0
57.936375	5.340675	0.500898	62.339912	4.410429	60.389342	4.410429	1.655017E+15	0.000334	2986.615842	2.118405E+16	0	0	19.530161	0.997704	0	0
59.308177	4.853223	0.480745	62.186244	4.521533	60.162966	4.521533	1.578172E+15	0.000338	2953.581757	2.082365E+16	0	0	19.536694	0.987423	0	0
