Vload_(V)	ILoad_(A)	RsLoad_(ohm)	SunsVoc_Voltage_(V)	SunsVoc_Current_(A)	Model_Voltage_(V)	Model_Current_(A)	Carrier_Density_(cm-3)	Lifetime_(s)	Inverse_Lifetime_(s-1)	(Carrier_Density+Doping)/qWni^2_(cm^2/C)	Carrier_Density_at_Vmp_(cm-3)	Lifetime_at_Vmp_(s)	Efficiency_(%)	Intensity_(suns)	Dark_IV_Voltage_(V)	Dark_IV_Current_(A)
3.198404	6.027231	0	52.703878	0.166458	52.576567	0.166458	1.029849E+16	0.000818	1046.933541	8.420909E+16	8.103808E+14	0.001045	19.603137	1.148425	0	0
3.067486	6.027744	0.476189	52.590679	0.469176	52.232517	0.469176	1.022862E+16	0.000759	1142.979488	8.38814E+16	0	0	19.455352	1.14502	0	0
3.377911	6.027602	0.938547	52.474826	0.803855	51.862362	0.803855	9.930686E+15	0.000754	1162.977615	8.248412E+16	0	0	19.242146	1.140128	0	0
6.47731	6.023003	4.162591	52.353827	1.13467	51.491062	1.13467	9.548637E+15	0.000764	1157.146111	8.069236E+16	0	0	19.071186	1.138073	0	0
11.006655	6.006818	4.603305	52.232869	1.435984	51.14321	1.435984	9.170507E+15	0.000781	1140.809436	7.891898E+16	0	0	18.998626	1.135571	0	0
15.383368	6.00628	3.891421	52.116403	1.721559	50.812599	1.721559	8.789084E+15	0.000799	1123.13496	7.713016E+16	0	0	18.953554	1.130047	0	0
19.174994	6.001075	3.393588	51.991034	1.994506	50.483705	1.994506	8.421165E+15	0.000816	1107.884099	7.540466E+16	0	0	18.892289	1.121782	0	0
23.093776	5.989369	2.947708	51.871342	2.246247	50.17719	2.246247	8.079171E+15	0.000835	1089.672349	7.380076E+16	0	0	18.803545	1.113772	0	0
26.815372	5.988387	2.340798	51.749854	2.489445	49.876132	2.489445	7.724073E+15	0.000852	1074.627218	7.213539E+16	0	0	18.746576	1.106674	0	0
31.149942	5.982869	1.687753	51.623995	2.706438	49.591293	2.706438	7.397288E+15	0.00087	1058.176244	7.060282E+16	0	0	18.734803	1.097273	0	0
35.543224	5.958887	1.17285	51.509408	2.907251	49.33013	2.907251	7.07745E+15	0.00089	1040.540397	6.910281E+16	0	0	18.69237	1.086433	0	0
36.639464	5.931623	1.149524	51.387592	3.094708	49.072602	3.094708	6.758318E+15	0.000905	1028.754397	6.760613E+16	0	0	18.637867	1.075825	0	0
37.733358	5.92596	0.992623	51.267247	3.26057	48.833187	3.26057	6.478248E+15	0.000924	1012.978825	6.629264E+16	0	0	18.602765	1.066097	0	0
38.83062	5.915392	0.854123	51.146983	3.422017	48.597647	3.422017	6.191142E+15	0.000939	1001.15835	6.494614E+16	0	0	18.609097	1.056369	0	0
39.95014	5.893478	0.74724	51.020185	3.576804	48.361318	3.576804	5.917942E+15	0.000952	992.801529	6.366487E+16	0	0	18.611914	1.045729	0	0
41.06052	5.839858	0.711504	50.899105	3.720048	48.139497	3.720048	5.654984E+15	0.000966	982.543395	6.243163E+16	0	0	18.600105	1.034953	0	0
42.154999	5.75203	0.696038	50.77978	3.855569	47.925506	3.855569	5.3883E+15	0.000978	974.112225	6.118092E+16	0	0	18.578095	1.024865	0	0
43.262138	5.606511	0.697957	50.658782	3.981109	47.717711	3.981109	5.143449E+15	0.000992	964.453512	6.00326E+16	0	0	18.590549	1.014897	0	0
44.334565	5.385204	0.706646	50.537987	4.097693	47.517099	4.097693	4.911241E+15	0.001006	953.975222	5.894357E+16	0	0	18.629209	1.004633	0	0
45.393079	5.0821	0.709853	50.418703	4.206842	47.323746	4.206842	4.684715E+15	0.001018	945.407789	5.78812E+16	0	0	18.63764	0.994233	0	0
46.407857	4.691206	0.711704	50.296806	4.309578	47.132964	4.309578	4.467284E+15	0.00103	937.832682	5.686147E+16	0	0	18.637025	0.984105	0	0
47.420373	4.19113	0.715169	50.175481	4.404609	46.948685	4.404609	4.260858E+15	0.001041	930.278163	5.589336E+16	0	0	18.636344	0.974512	0	0
48.381849	3.607451	0.719891	50.056687	4.494549	46.770808	4.494549	4.05816E+15	0.001051	924.139119	5.494273E+16	0	0	18.64384	0.964576	0	0
49.309498	2.92021	0.740688	49.936505	4.579142	46.595798	4.579142	3.864442E+15	0.001059	919.102235	5.403422E+16	0	0	18.636297	0.954495	0	0
50.193153	2.173737	0.795057	49.81812	4.656884	46.427724	4.656884	3.682293E+15	0.001069	913.167984	5.317997E+16	0	0	18.642044	0.944631	0	0
50.947211	1.459022	0.900345	49.699816	4.731765	46.262041	4.731765	3.505363E+15	0.001077	908.257384	5.235019E+16	0	0	18.631243	0.935023	0	0
51.558454	0.860947	1.066796	49.579185	4.800282	46.099012	4.800282	3.338083E+15	0.001084	904.340928	5.156567E+16	0	0	18.599194	0.92551	0	0
51.99666	0.377122	1.616815	49.46423	4.865402	45.943975	4.865402	3.177653E+15	0.001091	899.694132	5.081327E+16	0	0	18.575381	0.915925	0	0
42.787698	5.683181	0.68828	49.342455	4.927908	45.784626	4.927908	3.020783E+15	0.001095	897.911606	5.007757E+16	0	0	18.559737	0.906525	0	0
52.751575	0	0	49.226765	4.984139	45.635689	4.984139	2.877413E+15	0.001102	893.93403	4.940518E+16	0	0	18.556439	0.897412	0	0
0	0	0	49.109768	5.039425	45.486375	5.039425	2.731845E+15	0.001105	892.220621	4.872249E+16	0	0	18.556939	0.888475	0	0
0	0	0	48.988606	5.091617	45.335551	5.091617	2.599375E+15	0.001109	890.865126	4.810122E+16	0	0	18.581366	0.879737	0	0
0	0	0	48.875611	5.140899	45.194604	5.140899	2.470995E+15	0.001113	888.516448	4.749913E+16	0	0	18.628399	0.870872	0	0
0	0	0	48.756491	5.186036	45.05104	5.186036	2.343777E+15	0.001114	888.253109	4.69025E+16	0	0	18.62371	0.862271	0	0
0	0	0	48.637697	5.2287	44.909681	5.2287	2.230221E+15	0.001119	885.13272	4.636993E+16	0	0	18.62718	0.854165	0	0
0	0	0	48.520986	5.270565	44.770963	5.270565	2.115649E+15	0.001119	886.379189	4.583261E+16	0	0	18.593044	0.845972	0	0
0	0	0	48.402029	5.308826	44.632833	5.308826	2.006474E+15	0.001118	887.961	4.532059E+16	0	0	18.560061	0.838026	0	0
0	0	0	48.28981	5.34529	44.502373	5.34529	1.903986E+15	0.001119	887.354316	4.483993E+16	0	0	18.581445	0.830088	0	0
