Vload_(V)	ILoad_(A)	RsLoad_(ohm)	SunsVoc_Voltage_(V)	SunsVoc_Current_(A)	Model_Voltage_(V)	Model_Current_(A)	Carrier_Density_(cm-3)	Lifetime_(s)	Inverse_Lifetime_(s-1)	(Carrier_Density+Doping)/qWni^2_(cm^2/C)	Carrier_Density_at_Vmp_(cm-3)	Lifetime_at_Vmp_(s)	Efficiency_(%)	Intensity_(suns)	Dark_IV_Voltage_(V)	Dark_IV_Current_(A)
5.201933	9.268326	0	38.688967	-0.531473	38.899093	-0.531473	6.829466E+14	4.765734E-5	20982.350184	4.029756E+16	3.439098E+13	4.202402E-5	15.636824	1.137224	0	0
5.281149	9.269082	-0.44575	38.574984	0.137717	38.520493	0.137717	6.376336E+14	4.775641E-5	20938.920429	4.008505E+16	0	0	15.618326	1.134614	0	0
5.397682	9.270196	-0.595628	38.45922	0.785734	38.148085	0.785734	5.94504E+14	4.792769E-5	20864.180153	3.988278E+16	0	0	15.616721	1.130886	0	0
6.166111	9.266904	1.284567	38.345008	1.378165	37.798862	1.378165	5.546494E+14	4.807208E-5	20801.583088	3.969586E+16	0	0	15.6384	1.129465	0	0
8.324902	9.259252	1.767563	38.232136	1.913106	37.473424	1.913106	5.177466E+14	4.813731E-5	20773.461335	3.952279E+16	0	0	15.61139	1.127206	0	0
10.829586	9.259063	1.504481	38.1232	2.400361	37.17055	2.400361	4.843421E+14	4.822636E-5	20735.160206	3.936613E+16	0	0	15.609338	1.121866	0	0
13.260519	9.25393	1.390503	38.015114	2.853558	36.881776	2.853558	4.532257E+14	4.831632E-5	20696.599557	3.92202E+16	0	0	15.621533	1.114626	0	0
15.678038	9.245985	1.263259	37.906391	3.281628	36.602084	3.281628	4.238505E+14	4.841563E-5	20654.187805	3.908243E+16	0	0	15.620494	1.107746	0	0
18.03768	9.240607	1.069441	37.799039	3.675943	36.336954	3.675943	3.966339E+14	4.850129E-5	20617.748273	3.895479E+16	0	0	15.631116	1.101487	0	0
20.449167	9.239397	0.820252	37.693126	4.037895	36.085933	4.037895	3.714252E+14	4.856173E-5	20592.117973	3.883657E+16	0	0	15.627386	1.09321	0	0
22.856466	9.23218	0.619296	37.585203	4.378924	35.841008	4.378924	3.473223E+14	4.857773E-5	20585.363625	3.872353E+16	0	0	15.633166	1.083607	0	0
